security,correlation,beta,r2,benchmark
XLV,1.0,1.0,1.0,XLV
DJI,0.73916,0.7521,0.54636,XLV
IWD,0.73208,0.76094,0.53594,XLV
QUAL,0.68809,0.8283,0.47346,XLV
SPX,0.67273,0.78875,0.45256,XLV
MSCI_W,0.64744,0.64984,0.41917,XLV
IVW,0.57872,0.84779,0.33492,XLV
BRKb,0.57489,0.68471,0.3305,XLV
NASDAQ,0.537,0.85045,0.28837,XLV
SOXL,0.41956,3.07196,0.17603,XLV
SOX,0.41011,1.02317,0.16819,XLV
BAC,0.40777,0.76347,0.16627,XLV
USB,0.40734,0.84793,0.16592,XLV
QCOM,0.3932,1.03788,0.1546,XLV
NVDA,0.28262,1.0185,0.07988,XLV
GAP,0.27549,1.05814,0.07589,XLV
MXX,0.26766,0.28087,0.07164,XLV
NFLX,0.25908,0.77633,0.06712,XLV
MARA,0.24776,1.96925,0.06139,XLV
CEMEXCPO,0.24745,0.61939,0.06123,XLV
PINFRA,0.16103,0.28786,0.02593,XLV
GCARSOA1,0.15172,0.36863,0.02302,XLV
BBVA,0.15025,0.32623,0.02257,XLV
BBAJIOO,0.1483,0.32315,0.02199,XLV
GFNORTEO,0.14505,0.32502,0.02104,XLV
OMAB,0.14165,0.32225,0.02006,XLV
GFINBURO,0.14049,0.29851,0.01974,XLV
BIMBOA,0.13686,0.29123,0.01873,XLV
ASURB,0.13572,0.28028,0.01842,XLV
GMEXICOB,0.13399,0.34278,0.01795,XLV
TerraClassicUSD,0.1257,0.9632,0.0158,XLV
KOFUBL,0.11532,0.1789,0.0133,XLV
KIMBERA,0.11075,0.19537,0.01227,XLV
USDMXNm,0.10801,0.24545,0.01167,XLV
IAU,0.10692,0.11393,0.01143,XLV
LIVEPOLC1,0.10216,0.16258,0.01044,XLV
BACHOCOB,0.10027,0.19934,0.01005,XLV
CHDRAUIB,0.09977,0.17357,0.00996,XLV
MSCI_EM,0.0995,0.10825,0.0099,XLV
ALPEKA,0.09918,0.24329,0.00984,XLV
NEMAKA,0.09692,0.24825,0.00939,XLV
PEOLES,0.07956,0.25274,0.00633,XLV
URTH,0.06563,0.29208,0.00431,XLV
IYY,0.06502,0.31069,0.00423,XLV
AUTLANB,0.05631,0.10878,0.00317,XLV
GPAGF,0.05513,0.44491,0.00304,XLV
BRENT,0.01273,0.02969,0.00016,XLV
MU,-0.01241,-0.18283,0.00015,XLV
XAU_USD,-0.01265,-0.06459,0.00016,XLV
USD_XAU,-0.01378,-356.03877,0.00019,XLV
inflationmex,-0.14472,-0.04349,0.02094,XLV
inflationusa,-0.19423,-0.06858,0.03773,XLV
USDEUR,-0.21575,-0.1132,0.04655,XLV
DXY,-0.22324,-0.10878,0.04984,XLV
USDMXN,-0.26395,-0.20449,0.06967,XLV
UVIX,-0.49348,-4.54956,0.24352,XLV
VIX,-0.49589,-4.42651,0.24591,XLV
VIX,1.0,1.0,1.0,VIX
UVIX,0.89327,1.00301,0.79792,VIX
USDMXN,0.39949,0.03462,0.15959,VIX
DXY,0.13634,0.00743,0.01859,VIX
USDEUR,0.12928,0.00762,0.01671,VIX
USDMXNm,0.11145,0.03396,0.01242,VIX
GPAGF,0.05045,0.042,0.00255,VIX
USD_XAU,-0.0275,-80.97058,0.00076,VIX
