Date,Close,Open,High,Low,Vol.,% var.
27.10.2025,"124,60","124,08","124,69","123,87","1,91M","1,57%"
24.10.2025,"122,67","122,38","123,00","122,24","1,54M","1,00%"
23.10.2025,"121,45","120,41","121,64","120,40","2,14M","0,81%"
22.10.2025,"120,48","121,46","121,59","119,46","2,23M","-0,58%"
21.10.2025,"121,18","121,43","121,53","120,93","1,77M","-0,20%"
20.10.2025,"121,42","120,84","121,65","120,84","1,62M","0,85%"
17.10.2025,"120,40","119,25","120,60","118,89","2,11M","0,53%"
16.10.2025,"119,76","120,85","121,36","118,98","3,31M","-0,53%"
15.10.2025,"120,40","121,01","121,48","119,19","2,30M","0,48%"
14.10.2025,"119,82","119,42","120,75","118,18","4,01M","-0,75%"
13.10.2025,"120,73","120,25","120,95","119,88","1,87M","2,06%"
10.10.2025,"118,29","122,24","122,66","118,24","3,50M","-3,09%"
09.10.2025,"122,06","122,22","122,24","121,57","2,28M","0,05%"
08.10.2025,"122,00","121,24","122,02","121,21","1,63M","0,84%"
07.10.2025,"120,98","121,76","121,95","120,57","1,26M","-0,54%"
06.10.2025,"121,64","121,22","121,86","120,97","1,52M","0,48%"
03.10.2025,"121,06","121,62","121,76","120,66","1,62M","-0,28%"
02.10.2025,"121,40","121,92","121,92","120,97","1,38M","0,14%"
01.10.2025,"121,23","120,01","121,45","119,90","1,78M","0,42%"
30.09.2025,"120,72","120,10","120,80","119,69","1,98M","0,47%"
29.09.2025,"120,16","120,38","120,82","119,84","1,45M","0,34%"
26.09.2025,"119,75","119,55","119,85","118,83","1,48M","0,46%"
25.09.2025,"119,20","119,02","119,68","118,27","1,42M","-0,58%"
24.09.2025,"119,90","120,81","120,84","119,43","1,36M","-0,42%"
23.09.2025,"120,41","121,63","121,64","120,12","3,34M","-1,02%"
22.09.2025,"121,65","120,54","121,77","120,44","3,27M","0,72%"
19.09.2025,"120,78","120,48","120,92","120,11","1,55M","0,69%"
18.09.2025,"119,95","119,99","120,55","119,57","1,46M","0,66%"
17.09.2025,"119,16","119,62","119,71","118,13","3,16M","-0,48%"
16.09.2025,"119,74","120,14","120,17","119,56","5,26M","-0,33%"
15.09.2025,"120,14","119,54","120,19","119,50","1,74M","0,96%"
12.09.2025,"119,00","118,94","119,29","118,67","936,10K","0,11%"
11.09.2025,"118,87","118,79","119,01","118,27","1,54M","0,52%"
10.09.2025,"118,25","118,36","118,87","117,86","2,76M","0,94%"
09.09.2025,"117,15","116,79","117,21","116,24","2,70M","0,46%"
08.09.2025,"116,61","116,50","117,02","116,50","1,41M","0,53%"
05.09.2025,"115,99","117,02","117,11","115,04","2,48M","-0,09%"
04.09.2025,"116,10","115,25","116,14","114,92","1,58M","0,91%"
03.09.2025,"115,05","114,74","115,29","114,35","1,85M","1,04%"
02.09.2025,"113,87","113,08","113,94","112,63","1,89M","-0,90%"
29.08.2025,"114,90","115,82","115,82","114,46","1,58M","-1,14%"
28.08.2025,"116,23","115,61","116,39","115,30","1,59M","0,55%"
27.08.2025,"115,59","115,32","115,80","115,06","1,11M","0,12%"
26.08.2025,"115,45","114,71","115,48","114,50","2,01M","0,61%"
25.08.2025,"114,75","114,76","115,39","114,53","1,56M","-0,16%"
22.08.2025,"114,93","113,29","115,25","113,09","1,81M","1,61%"
21.08.2025,"113,11","113,28","113,74","112,70","1,59M","-0,44%"
20.08.2025,"113,61","113,92","113,92","112,11","2,18M","-0,44%"
19.08.2025,"114,11","115,56","115,56","113,90","1,93M","-1,26%"
18.08.2025,"115,57","115,23","115,64","115,08","2,86M","0,10%"
15.08.2025,"115,45","115,91","116,00","115,14","1,37M","-0,30%"
14.08.2025,"115,80","115,25","116,09","115,24","1,67M","0,12%"
13.08.2025,"115,66","116,20","116,38","115,22","1,58M","-0,15%"
12.08.2025,"115,83","115,04","115,84","114,44","1,16M","1,12%"
11.08.2025,"114,55","114,71","115,22","114,30","1,20M","-0,16%"
08.08.2025,"114,73","114,20","114,90","114,14","1,07M","0,74%"
07.08.2025,"113,89","114,86","114,99","113,09","1,94M","-0,39%"
06.08.2025,"114,34","113,13","114,43","113,10","2,72M","1,14%"
05.08.2025,"113,05","113,92","114,21","112,80","1,71M","-0,75%"
04.08.2025,"113,90","112,61","113,93","112,61","3,33M","1,95%"
01.08.2025,"111,72","112,46","112,53","111,23","3,16M","-1,91%"
31.07.2025,"113,90","115,69","115,69","113,67","3,08M","-0,11%"
30.07.2025,"114,02","113,92","114,46","113,33","1,40M","0,23%"
