Date,Close,Open,High,Low,Vol.,% var.
27.10.2025,"257,92","257,96","258,15","257,01","746,56K","0,95%"
24.10.2025,"255,50","255,37","256,14","254,93","522,37K","1,00%"
23.10.2025,"252,96","250,78","253,61","250,78","479,53K","0,81%"
22.10.2025,"250,92","253,43","254,12","248,78","825,61K","-1,05%"
21.10.2025,"253,57","254,63","254,63","253,09","468,45K","-0,26%"
20.10.2025,"254,22","253,68","254,86","253,23","1,46M","0,56%"
17.10.2025,"252,80","252,08","253,36","250,17","539,04K","-0,04%"
16.10.2025,"252,89","255,96","256,71","251,91","888,11K","-0,77%"
15.10.2025,"254,86","256,31","257,93","253,05","1,06M","0,29%"
14.10.2025,"254,12","252,32","255,90","249,82","690,12K","-0,24%"
13.10.2025,"254,74","253,30","254,97","252,88","755,70K","1,91%"
10.10.2025,"249,97","256,17","257,38","249,94","1,40M","-2,37%"
09.10.2025,"256,04","255,97","256,36","254,86","639,08K","0,05%"
08.10.2025,"255,92","255,31","255,93","254,27","496,81K","0,56%"
07.10.2025,"254,50","255,15","255,37","252,56","751,54K","0,11%"
06.10.2025,"254,21","255,20","255,49","253,72","1,15M","-0,02%"
03.10.2025,"254,27","256,31","256,34","253,78","618,44K","-0,60%"
02.10.2025,"255,81","256,73","256,73","254,46","828,25K","-0,04%"
01.10.2025,"255,90","255,18","256,22","254,26","1,09M","-0,21%"
30.09.2025,"256,45","255,43","256,67","254,69","920,03K","0,32%"
29.09.2025,"255,64","255,95","256,74","255,01","540,27K","0,38%"
26.09.2025,"254,66","254,25","255,33","253,26","577,65K","0,42%"
25.09.2025,"253,59","252,99","254,55","251,75","931,72K","-0,61%"
24.09.2025,"255,15","257,14","257,44","254,64","477,38K","-0,64%"
23.09.2025,"256,79","257,76","258,00","255,67","1,23M","-0,35%"
22.09.2025,"257,69","255,92","257,99","255,74","904,71K","0,34%"
19.09.2025,"256,81","255,55","257,08","254,60","507,74K","0,84%"
18.09.2025,"254,68","254,39","255,78","253,61","998,53K","0,62%"
17.09.2025,"253,12","253,77","253,93","250,92","2,31M","-0,11%"
16.09.2025,"253,40","254,53","254,73","252,71","717,78K","-0,48%"
15.09.2025,"254,62","253,97","254,82","253,71","459,30K","0,43%"
12.09.2025,"253,52","254,19","254,32","252,92","368,92K","-0,17%"
11.09.2025,"253,96","255,12","255,21","253,70","837,57K","-0,16%"
10.09.2025,"254,37","253,11","255,39","252,80","1,07M","2,39%"
09.09.2025,"248,44","246,73","248,64","246,26","530,47K","0,80%"
08.09.2025,"246,48","245,54","247,12","245,54","626,45K","0,89%"
05.09.2025,"244,30","247,42","248,10","241,75","1,09M","-0,26%"
04.09.2025,"244,94","243,10","245,10","243,10","594,46K","0,94%"
03.09.2025,"242,67","242,77","243,50","241,20","973,83K","0,07%"
