Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,579.74,562.0,584.31,559.01,337.24K,3.58%
10.12.2025,559.68,559.99,565.0,554.0,245.92K,0.44%
09.12.2025,557.21,558.0,561.99,553.13,328.29K,0.02%
08.12.2025,557.09,549.0,562.47,548.0,253.22K,1.57%
05.12.2025,548.5,555.35,556.26,545.5,319.37K,-0.74%
04.12.2025,552.59,546.5,558.72,546.5,246.11K,1.18%
03.12.2025,546.16,556.31,556.9,545.1,525.79K,-1.34%
02.12.2025,553.55,554.1,558.46,551.01,223.45K,0.24%
01.12.2025,552.21,555.95,558.01,547.01,442.20K,-0.25%
28.11.2025,553.6,549.85,558.0,549.01,316.00K,0.16%
27.11.2025,552.72,553.0,554.61,547.3,83.51K,0.12%
26.11.2025,552.05,550.0,552.91,540.5,500.11K,-1.94%
25.11.2025,562.96,559.25,565.21,556.06,744.84K,0.99%
24.11.2025,557.42,553.04,560.0,551.07,894.77K,1.30%
21.11.2025,550.29,546.35,557.47,545.83,264.68K,1.08%
20.11.2025,544.42,554.8,558.22,543.14,324.53K,-0.87%
19.11.2025,549.19,551.97,551.97,543.0,166.64K,0.50%
18.11.2025,546.45,549.99,556.89,544.89,465.36K,-0.38%
14.11.2025,548.52,555.48,559.98,547.46,294.19K,-1.63%
13.11.2025,557.61,555.95,562.99,551.59,320.42K,1.10%
12.11.2025,551.53,564.54,565.35,551.0,276.82K,-2.31%
11.11.2025,564.59,559.0,567.5,557.11,242.90K,1.32%
10.11.2025,557.26,572.0,572.0,555.02,174.75K,-2.29%
07.11.2025,570.33,572.0,582.97,568.24,227.21K,-0.70%
06.11.2025,574.36,580.25,583.27,573.06,178.39K,-0.52%
05.11.2025,577.37,563.95,581.0,559.11,772.00K,2.23%
04.11.2025,564.75,556.99,570.78,553.7,219.22K,0.99%
03.11.2025,559.22,563.0,566.21,551.57,154.14K,-0.49%
31.10.2025,561.99,580.0,580.0,560.58,597.73K,-0.99%
30.10.2025,567.63,571.54,581.46,565.91,436.02K,-1.11%
29.10.2025,574.0,565.77,576.78,565.05,176.87K,1.14%
28.10.2025,567.52,565.25,570.0,560.75,648.74K,0.90%
27.10.2025,562.44,565.14,567.52,555.91,385.90K,0.01%
24.10.2025,562.38,563.34,567.11,557.61,319.65K,-0.06%
23.10.2025,562.69,560.54,564.48,546.74,349.44K,-0.62%
22.10.2025,566.2,555.52,567.46,549.7,543.10K,2.43%
21.10.2025,552.76,558.0,559.97,550.5,434.00K,-1.02%
20.10.2025,558.46,562.0,569.04,554.07,335.35K,-0.14%
17.10.2025,559.24,562.35,566.33,549.7,1.71M,-0.26%
16.10.2025,560.72,569.33,573.71,557.96,228.09K,-1.58%
15.10.2025,569.71,570.2,576.48,565.38,2.22M,0.41%
14.10.2025,567.36,575.0,577.5,560.55,398.02K,-1.55%
13.10.2025,576.29,582.78,585.64,574.19,182.99K,-0.62%
10.10.2025,579.89,583.1,583.1,572.42,463.72K,0.45%
09.10.2025,577.32,588.82,591.47,575.22,330.84K,-1.95%
08.10.2025,588.82,580.14,590.0,578.26,426.86K,1.50%
07.10.2025,580.14,580.0,587.96,575.01,215.37K,-0.44%
06.10.2025,582.69,583.35,586.19,572.24,312.24K,0.39%
03.10.2025,580.42,584.8,592.52,577.06,139.97K,-1.25%
02.10.2025,587.78,578.35,592.19,578.35,474.05K,1.63%
01.10.2025,578.35,594.44,597.77,576.51,336.42K,-2.21%
30.09.2025,591.41,599.29,605.81,589.07,736.32K,-0.92%
29.09.2025,596.88,622.39,622.39,596.17,304.07K,-4.11%
26.09.2025,622.46,625.05,630.0,615.43,251.36K,-0.33%
25.09.2025,624.54,618.06,632.28,611.99,422.29K,1.51%
24.09.2025,615.22,634.27,634.49,612.0,281.55K,-2.52%
23.09.2025,631.12,626.62,631.8,620.37,129.39K,0.72%
22.09.2025,626.62,622.81,628.18,617.6,186.29K,1.11%
19.09.2025,619.72,625.9,628.79,617.6,890.67K,-0.17%
18.09.2025,620.78,616.7,625.92,612.01,277.72K,1.09%
17.09.2025,614.09,624.01,631.36,610.6,385.16K,-2.04%
15.09.2025,626.91,637.51,639.95,624.94,180.56K,-2.16%
12.09.2025,640.72,641.55,646.5,636.02,326.43K,-0.21%
11.09.2025,642.09,625.7,647.19,625.64,269.72K,2.99%
10.09.2025,623.44,637.53,642.93,622.64,345.48K,-1.93%
09.09.2025,635.73,631.37,641.36,626.91,376.72K,0.42%
08.09.2025,633.04,625.55,636.02,625.55,147.13K,-0.47%
05.09.2025,636.05,628.99,642.54,621.04,415.21K,1.29%
04.09.2025,627.95,622.45,629.0,613.03,245.66K,1.23%
03.09.2025,620.29,620.0,623.03,614.0,314.51K,0.34%
02.09.2025,618.21,611.0,620.0,605.02,332.61K,1.25%
01.09.2025,610.55,607.95,619.03,602.78,75.24K,0.25%
29.08.2025,609.01,613.23,613.92,606.21,501.80K,-0.24%
28.08.2025,610.48,613.45,620.0,604.16,262.38K,-0.35%
27.08.2025,612.61,619.0,619.0,600.66,210.67K,0.99%
26.08.2025,606.63,602.52,610.94,597.83,1.06M,0.54%
25.08.2025,603.38,614.56,614.56,602.35,202.97K,-1.47%
22.08.2025,612.41,619.29,619.3,603.01,299.80K,-0.76%
21.08.2025,617.13,606.11,618.26,602.07,156.79K,2.33%
20.08.2025,603.1,610.0,618.94,601.83,385.04K,-1.87%
19.08.2025,614.58,615.0,619.63,609.66,163.71K,-0.02%
18.08.2025,614.72,613.02,619.0,601.53,155.71K,0.32%
15.08.2025,612.74,603.21,614.9,600.0,212.42K,2.09%
14.08.2025,600.21,603.94,608.82,597.18,383.72K,-0.29%
13.08.2025,601.93,602.78,614.04,596.65,349.66K,-0.14%
12.08.2025,602.75,585.93,614.81,583.02,350.24K,2.98%
11.08.2025,585.3,583.13,586.75,579.24,134.55K,0.83%
08.08.2025,580.5,579.0,583.27,573.5,154.93K,-0.42%
07.08.2025,582.96,583.5,588.61,581.15,267.92K,0.21%
06.08.2025,581.75,577.29,589.87,574.79,351.44K,1.21%
05.08.2025,574.82,570.0,582.75,570.0,226.63K,0.83%
04.08.2025,570.09,575.29,577.62,566.41,204.58K,-0.90%
01.08.2025,575.28,573.66,578.99,562.75,415.97K,0.60%
31.07.2025,571.84,573.09,575.41,562.3,952.50K,0.84%
30.07.2025,567.05,569.99,576.05,561.01,278.61K,-0.24%
29.07.2025,568.4,565.16,572.45,556.86,257.68K,0.36%
28.07.2025,566.36,566.98,572.98,558.08,290.64K,-0.07%
25.07.2025,566.77,570.04,574.68,556.85,418.00K,-0.38%
24.07.2025,568.96,567.24,574.89,565.0,292.47K,-0.48%
23.07.2025,571.71,565.25,575.44,545.01,367.31K,1.14%
22.07.2025,565.24,578.89,583.49,556.83,290.68K,-1.89%
21.07.2025,576.13,583.8,586.07,570.02,241.99K,-1.16%
18.07.2025,582.88,591.0,593.42,576.68,153.52K,-1.24%
17.07.2025,590.22,584.04,594.45,582.01,222.88K,1.33%
