Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
09.02.2024,85.0,89.42,89.42,85.0,0.60K,-7.61%
31.01.2024,92.0,92.0,92.0,92.0,1.12K,0.00%
30.01.2024,92.0,88.0,92.0,88.0,15.69K,0.00%
29.01.2024,92.0,74.9,92.0,74.9,5.25M,25.85%
19.01.2024,73.1,73.1,73.1,73.1,0.23K,0.00%
03.01.2024,73.1,73.1,73.1,73.1,0.38K,0.14%
15.12.2023,73.0,73.0,73.0,73.0,0.26K,-1.35%
14.12.2023,74.0,74.0,74.0,74.0,0.68K,0.00%
11.12.2023,74.0,74.0,74.0,74.0,0.43K,1.37%
06.12.2023,73.0,73.0,73.0,73.0,1.11K,0.01%
01.12.2023,72.99,72.99,72.99,72.99,0.33K,0.12%
18.10.2023,72.9,73.5,73.5,72.9,1.53K,-0.21%
17.10.2023,73.05,72.9,73.05,72.9,1.36K,0.21%
12.10.2023,72.9,72.9,72.9,72.9,0.64K,-0.14%
11.10.2023,73.0,76.55,76.55,73.0,2.14K,0.14%
10.10.2023,72.9,75.75,75.75,72.9,12.89K,-4.08%
09.10.2023,76.0,77.0,77.0,76.0,3.57K,-5.00%
05.10.2023,80.0,80.0,80.0,80.0,2.72K,-4.76%
03.10.2023,84.0,84.0,84.0,84.0,0.61K,-4.83%
02.10.2023,88.26,88.26,88.26,88.26,0.15K,0.00%
29.09.2023,88.26,82.0,88.26,82.0,0.15K,3.26%
27.09.2023,85.47,85.47,85.47,85.47,0.52K,0.00%
26.09.2023,85.47,86.41,86.41,83.32,0.90K,-2.04%
25.09.2023,87.25,88.0,88.36,87.25,1.33K,-1.75%
22.09.2023,88.8,87.25,88.8,87.25,5.68K,-0.19%
21.09.2023,88.97,87.4,90.0,87.4,28.48K,1.68%
20.09.2023,87.5,87.27,87.55,87.27,2.90K,0.26%
19.09.2023,87.27,87.25,87.27,87.25,3.18K,0.02%
18.09.2023,87.25,87.2,87.25,87.2,9.32K,0.17%
15.09.2023,87.1,87.4,87.5,87.0,9.13K,-0.23%
14.09.2023,87.3,87.21,87.3,86.5,7.57K,0.05%
13.09.2023,87.26,87.21,87.26,87.21,1.12K,0.06%
12.09.2023,87.21,87.21,87.21,87.0,1.64K,0.01%
11.09.2023,87.2,87.2,87.2,87.2,0.27K,-0.07%
08.09.2023,87.26,87.4,87.4,87.26,9.21K,0.01%
07.09.2023,87.25,87.24,87.25,87.24,0.81K,0.22%
05.09.2023,87.06,87.05,87.06,87.05,44.12K,0.07%
04.09.2023,87.0,87.0,87.0,87.0,6.23K,0.00%
01.09.2023,87.0,86.25,87.1,86.22,27.20K,-0.11%
31.08.2023,87.1,86.0,87.1,86.0,7.72K,0.00%
30.08.2023,87.1,87.1,87.1,87.1,0.85K,0.00%
29.08.2023,87.1,87.0,87.1,87.0,17.31K,0.18%
28.08.2023,86.94,87.0,87.0,85.0,402.71K,-0.03%
25.08.2023,86.97,83.25,87.0,83.25,2.36M,3.01%
24.08.2023,84.43,82.85,84.5,82.85,7.18K,-0.08%
23.08.2023,84.5,85.19,85.19,84.5,17.33K,0.61%
22.08.2023,83.99,85.0,85.0,83.99,0.74K,-1.19%
21.08.2023,85.0,86.0,86.0,83.15,0.77K,0.00%
18.08.2023,85.0,84.0,85.0,84.0,1.60K,1.19%
17.08.2023,84.0,85.12,85.12,84.0,0.71K,-1.18%
16.08.2023,85.0,85.0,85.0,85.0,0.59K,0.00%
15.08.2023,85.0,83.33,85.0,83.33,1.10K,-0.04%
14.08.2023,85.03,83.74,85.2,83.72,59.67K,0.04%
11.08.2023,85.0,85.0,85.0,84.0,5.57K,0.00%
10.08.2023,85.0,84.0,85.0,84.0,1.30K,0.83%
09.08.2023,84.3,84.0,85.0,84.0,25.99K,0.18%
08.08.2023,84.15,84.0,85.5,84.0,26.01K,-1.81%
07.08.2023,85.7,83.32,85.71,83.32,10.41K,2.86%
04.08.2023,83.32,83.0,84.21,83.0,63.28K,-1.41%
03.08.2023,84.51,83.5,85.0,81.01,125.33K,0.23%
02.08.2023,84.32,84.75,86.0,84.31,18.34K,-0.46%
01.08.2023,84.71,84.71,84.75,84.71,2.26K,-2.00%
28.07.2023,86.44,85.03,86.5,84.29,74.16K,0.82%
27.07.2023,85.74,85.74,86.5,85.74,10.21K,0.04%
26.07.2023,85.71,85.0,87.0,85.0,74.54K,-0.91%
24.07.2023,86.5,84.2,86.5,84.2,254.82K,1.76%
21.07.2023,85.0,84.5,86.0,84.5,32.39K,-0.47%
20.07.2023,85.4,84.0,86.0,82.6,26.93K,1.36%
19.07.2023,84.25,82.3,84.25,82.3,2.26K,0.30%
18.07.2023,84.0,82.2,84.0,82.2,1.65K,0.60%
17.07.2023,83.5,82.0,83.5,82.0,29.30K,-1.42%
14.07.2023,84.7,85.7,85.7,84.68,13.17K,-1.17%
13.07.2023,85.7,85.5,85.7,83.8,1.41K,0.23%
12.07.2023,85.5,85.0,85.5,85.0,63.05K,0.62%
11.07.2023,84.97,84.2,84.97,84.2,1.88K,1.34%
10.07.2023,83.85,83.0,83.85,83.0,69.70K,1.64%
07.07.2023,82.5,81.38,84.98,81.38,14.87K,-0.60%
06.07.2023,83.0,82.5,86.0,82.5,29.26K,-3.03%
05.07.2023,85.59,83.4,86.0,83.4,5.11K,-0.52%
04.07.2023,86.04,86.03,86.04,86.03,0.42K,0.01%
03.07.2023,86.03,85.52,86.29,85.52,3.86K,0.03%
29.06.2023,86.0,85.0,86.0,85.0,4.11K,0.58%
27.06.2023,85.5,83.0,86.3,83.0,7.39K,3.01%
26.06.2023,83.0,81.07,83.0,81.07,2.17K,1.22%
22.06.2023,82.0,82.0,82.0,82.0,0.68K,-1.96%
20.06.2023,83.64,82.7,83.64,82.0,2.44K,-0.85%
19.06.2023,84.36,81.0,84.5,81.0,27.81K,4.15%
16.06.2023,81.0,83.0,83.6,80.5,26.20K,-2.11%
15.06.2023,82.75,83.0,83.0,82.7,1.09K,0.12%
12.06.2023,82.65,82.5,82.65,82.5,1.64K,-0.42%
08.06.2023,83.0,83.0,83.0,83.0,9.25K,0.00%
07.06.2023,83.0,83.1,83.1,82.5,46.91K,-0.60%
06.06.2023,83.5,83.5,83.5,83.5,1.56K,-0.29%
05.06.2023,83.74,84.04,84.04,83.01,1.12K,1.23%
