Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,59.72,59.9,60.69,59.2,1.21M,-0.33%
10.12.2025,59.92,59.93,61.14,59.02,2.94M,0.47%
09.12.2025,59.64,59.23,60.15,59.07,1.81M,0.18%
08.12.2025,59.53,59.9,60.15,59.17,2.35M,-0.58%
05.12.2025,59.88,58.97,60.72,58.89,1.86M,1.68%
04.12.2025,58.89,59.72,59.9,58.55,2.66M,-0.91%
03.12.2025,59.43,60.33,61.05,59.05,2.87M,-2.00%
02.12.2025,60.64,58.0,60.96,57.9,3.21M,4.55%
01.12.2025,58.0,58.39,58.39,57.48,1.58M,-0.26%
28.11.2025,58.15,58.25,58.67,57.19,1.20M,0.85%
27.11.2025,57.66,57.95,58.14,57.04,417.21K,0.12%
26.11.2025,57.59,59.04,59.49,57.31,1.57M,-2.72%
25.11.2025,59.2,59.13,59.34,58.37,1.14M,1.09%
24.11.2025,58.56,57.4,59.23,56.5,10.70M,2.54%
21.11.2025,57.11,58.3,58.34,56.81,1.33M,-1.81%
20.11.2025,58.16,59.55,59.78,57.88,1.42M,-1.66%
19.11.2025,59.14,60.74,60.74,59.01,1.67M,-1.81%
18.11.2025,60.23,60.24,60.88,59.24,1.82M,0.18%
14.11.2025,60.12,61.07,61.34,59.87,1.66M,-1.62%
13.11.2025,61.11,62.88,62.88,61.03,1.54M,-2.32%
12.11.2025,62.56,65.19,65.19,62.3,1.59M,-3.69%
11.11.2025,64.96,63.51,65.2,63.51,1.16M,2.19%
10.11.2025,63.57,65.0,65.0,63.38,1.03M,-2.63%
07.11.2025,65.29,64.76,65.43,64.62,733.62K,0.93%
06.11.2025,64.69,65.5,65.77,64.5,1.29M,-1.85%
05.11.2025,65.91,65.72,66.89,65.03,2.17M,0.00%
04.11.2025,65.91,63.98,66.0,63.05,1.32M,2.98%
03.11.2025,64.0,64.2,65.17,63.58,882.25K,-0.31%
31.10.2025,64.2,65.15,65.15,63.6,1.38M,-1.73%
30.10.2025,65.33,65.48,66.2,65.04,1.68M,-0.77%
29.10.2025,65.84,65.73,67.79,64.86,2.27M,-0.35%
