"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2025","503.71","500.98","505.11","500.33","2.90M","0.53%"
"29.12.2025","501.05","499.20","501.50","497.21","3.06M","0.55%"
"26.12.2025","498.30","500.45","501.56","496.83","2.25M","-0.61%"
"24.12.2025","501.34","500.29","501.51","499.25","2.00M","0.17%"
"23.12.2025","500.51","500.48","502.33","498.15","3.68M","0.11%"
"22.12.2025","499.95","496.34","500.31","495.55","4.07M","1.10%"
"19.12.2025","494.53","503.05","503.82","494.53","14.65M","-1.76%"
"18.12.2025","503.39","502.23","505.43","501.01","3.65M","-0.17%"
"17.12.2025","504.27","499.90","505.19","499.50","4.13M","0.89%"
"16.12.2025","499.84","507.05","508.10","499.45","4.38M","-1.29%"
"15.12.2025","506.38","500.42","506.62","500.27","5.17M","1.37%"
"12.12.2025","499.52","496.71","500.00","494.50","4.11M","0.74%"
"11.12.2025","495.85","491.83","498.14","491.83","4.49M","1.11%"
"10.12.2025","490.43","490.86","495.88","488.92","4.56M","-0.20%"
"09.12.2025","491.43","497.63","499.21","490.83","4.57M","-1.17%"
"08.12.2025","497.23","502.10","502.97","490.62","7.03M","-1.41%"
"05.12.2025","504.34","503.86","505.76","500.54","3.46M","0.22%"
"04.12.2025","503.23","504.38","506.50","500.70","3.57M","-0.07%"
"03.12.2025","503.60","507.52","509.60","503.60","3.80M","-0.60%"
"02.12.2025","506.65","507.59","508.11","503.11","3.38M","-0.37%"
"01.12.2025","508.55","513.65","514.49","508.18","4.00M","-1.02%"
"28.11.2025","513.81","511.89","516.85","511.56","2.31M","0.50%"
"26.11.2025","511.23","509.25","512.70","507.65","3.69M","0.52%"
"25.11.2025","508.57","508.93","512.35","506.86","4.06M","0.15%"
"24.11.2025","507.81","501.89","509.20","497.17","13.40M","0.75%"
"21.11.2025","504.04","503.27","507.84","502.49","6.06M","0.58%"
"20.11.2025","501.12","501.11","506.45","500.81","5.49M","-0.03%"
"19.11.2025","501.26","503.68","504.25","495.55","4.69M","-0.62%"
"18.11.2025","504.37","503.39","506.64","500.60","5.46M","0.22%"
"17.11.2025","503.26","510.73","511.26","502.84","5.37M","-1.12%"
"14.11.2025","508.94","514.70","516.55","506.35","5.46M","-0.81%"
"13.11.2025","513.11","504.82","514.26","504.82","7.34M","2.13%"
"12.11.2025","502.40","497.16","504.45","496.99","5.46M","1.07%"
"11.11.2025","497.07","498.59","499.69","494.20","2.96M","0.02%"
"10.11.2025","496.98","497.08","501.28","495.13","5.08M","-0.42%"
"07.11.2025","499.06","494.93","500.16","493.35","6.38M","1.20%"
"06.11.2025","493.15","490.00","494.03","486.75","4.96M","0.90%"
"05.11.2025","488.77","487.33","493.89","487.33","6.55M","0.23%"
"04.11.2025","487.66","475.50","488.79","475.50","7.80M","2.52%"
"03.11.2025","475.68","479.51","479.99","473.15","5.87M","-0.39%"
"31.10.2025","477.54","476.80","478.71","475.31","7.15M","-0.20%"
"30.10.2025","478.52","474.84","480.91","474.84","4.79M","0.58%"
"29.10.2025","475.76","477.32","478.80","473.72","6.20M","-1.18%"
"28.10.2025","481.44","484.96","485.67","481.11","5.03M","-1.36%"
"27.10.2025","488.07","491.92","492.30","484.55","6.45M","-0.82%"
"24.10.2025","492.10","490.91","492.98","489.40","3.17M","0.40%"
"23.10.2025","490.16","492.19","492.45","488.11","3.06M","-0.34%"
"22.10.2025","491.81","491.73","492.98","488.19","3.38M","0.11%"
"21.10.2025","491.29","493.70","495.70","491.25","2.71M","-0.56%"
"20.10.2025","494.08","492.36","494.42","490.32","4.61M","0.34%"
"17.10.2025","492.42","490.00","493.45","489.25","3.79M","0.74%"
"16.10.2025","488.81","495.60","496.00","485.80","4.25M","-1.53%"
"15.10.2025","496.39","493.90","496.73","490.35","3.57M","0.08%"
"14.10.2025","495.97","490.00","497.06","489.95","3.06M","0.82%"
"13.10.2025","491.93","488.15","493.80","487.82","3.18M","0.57%"
"10.10.2025","489.13","497.25","497.99","489.06","4.76M","-1.53%"
"09.10.2025","496.74","499.98","501.22","494.51","3.17M","-0.62%"
"08.10.2025","499.84","502.71","503.50","498.56","2.94M","-0.49%"
"07.10.2025","502.30","500.16","504.46","498.61","3.06M","0.46%"
"06.10.2025","500.02","499.50","504.97","498.02","3.52M","0.25%"
"03.10.2025","498.75","495.90","502.55","495.05","4.68M","0.57%"
"02.10.2025","495.92","496.96","499.61","493.22","3.46M","-0.46%"
"01.10.2025","498.20","502.50","502.87","495.90","4.48M","-0.90%"
"30.09.2025","502.74","497.64","503.78","497.00","3.87M","0.70%"
"29.09.2025","499.25","500.00","500.25","495.02","5.16M","-0.16%"
"26.09.2025","500.03","496.94","502.10","496.65","3.71M","1.02%"
"25.09.2025","494.96","496.15","499.00","494.73","4.06M","-0.43%"
"24.09.2025","497.09","493.30","497.16","493.11","2.81M","0.61%"
"23.09.2025","494.10","493.77","499.28","493.52","3.93M","0.08%"
"22.09.2025","493.71","490.57","494.71","489.23","3.58M","0.17%"
"19.09.2025","492.85","491.87","494.50","488.88","7.36M","0.48%"
"18.09.2025","490.50","489.64","494.88","488.00","4.06M","-0.37%"
"17.09.2025","492.33","490.93","495.99","490.30","5.06M","0.27%"
"16.09.2025","490.99","491.27","491.92","487.20","4.07M","-0.11%"
"15.09.2025","491.54","493.60","495.27","489.50","3.63M","-0.45%"
"12.09.2025","493.74","495.74","497.63","493.34","2.95M","-0.64%"
"11.09.2025","496.91","489.33","497.24","489.03","3.67M","1.39%"
"10.09.2025","490.08","490.00","491.70","486.27","5.56M","-0.54%"
"09.09.2025","492.72","492.45","496.85","491.72","3.75M","-0.21%"
"08.09.2025","493.78","499.00","499.65","493.46","5.15M","-1.20%"
"05.09.2025","499.77","506.00","507.66","497.75","4.22M","-1.41%"
"04.09.2025","506.91","502.90","507.38","501.26","2.98M","1.08%"
"03.09.2025","501.49","499.55","502.11","496.59","3.21M","0.07%"
"02.09.2025","501.14","504.24","505.90","497.62","4.98M","-0.37%"
"29.08.2025","502.98","500.85","506.72","500.85","4.66M","0.62%"
"28.08.2025","499.86","498.03","500.14","496.07","4.53M","0.84%"
"27.08.2025","495.72","491.08","497.21","490.60","4.39M","0.71%"
"26.08.2025","492.21","485.02","492.79","484.53","8.22M","1.24%"
"25.08.2025","486.18","489.01","489.02","481.83","3.94M","-0.58%"
"22.08.2025","489.00","491.50","493.14","486.57","4.21M","0.08%"
"21.08.2025","488.59","487.24","489.05","483.68","3.08M","-0.02%"
"20.08.2025","488.68","487.00","492.22","485.83","4.78M","0.69%"
"19.08.2025","485.31","479.77","485.90","479.77","4.73M","1.42%"
"18.08.2025","478.52","477.97","479.00","474.66","3.91M","0.28%"
"15.08.2025","477.20","482.35","482.48","476.29","5.23M","-0.42%"
