Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
31.12.2015,70.98,72.25,73.24,67.1,661.91K,-0.20%
30.12.2015,71.12,73.29,73.3,70,285.99K,-1.84%
29.12.2015,72.45,72.09,73.16,72.07,140.56K,0.35%
28.12.2015,72.2,73.18,73.18,71.57,404.46K,-1.34%
24.12.2015,73.18,72.4,73.71,72.4,100.59K,1.33%
23.12.2015,72.22,72.24,72.43,71.03,288.26K,1.11%
22.12.2015,71.43,72.99,72.99,70.84,445.11K,-0.81%
21.12.2015,72.01,71.1,72.39,70.55,219.17K,1.44%
18.12.2015,70.99,72.09,72.09,70.5,830.78K,-1.55%
17.12.2015,72.11,72.98,73.09,71.66,459.66K,0.63%
16.12.2015,71.66,71.93,72.89,70.71,532.49K,0.62%
15.12.2015,71.22,71.9,73.9,71.01,574.26K,-0.27%
14.12.2015,71.41,69.75,71.94,69.71,353.28K,0.75%
11.12.2015,70.88,71.51,73.47,70.51,297.41K,-2.98%
10.12.2015,73.06,71.11,73.54,71.11,382.71K,2.76%
09.12.2015,71.1,71.29,72.47,69.63,656.20K,-0.29%
08.12.2015,71.31,71.81,72.79,71.01,548.85K,-1.67%
07.12.2015,72.52,72.82,73.32,71.6,354.86K,-0.68%
04.12.2015,73.02,73.93,74.79,72.8,289.91K,0.12%
03.12.2015,72.93,73.15,73.66,72.67,420.19K,-1.83%
02.12.2015,74.29,74.01,74.54,72.72,283.67K,1.09%
01.12.2015,73.49,73.03,74.85,72.5,511.41K,0.11%
30.11.2015,73.41,74.51,75,73.18,2.32M,-1.48%
27.11.2015,74.51,75,75.24,73.93,342.76K,0.42%
26.11.2015,74.2,75.34,75.34,74.1,130.53K,-1.37%
25.11.2015,75.23,75.53,76.5,74.3,203.95K,-0.42%
24.11.2015,75.55,74.51,75.8,74.25,282.29K,0.87%
23.11.2015,74.9,75.42,77,74.5,389.68K,-1.20%
20.11.2015,75.81,74.01,76.06,74.01,231.23K,2.43%
19.11.2015,74.01,75.74,75.99,73.52,364.22K,-2.03%
18.11.2015,75.54,73.55,75.74,73.55,373.44K,2.58%
17.11.2015,73.64,73.52,74.8,73.03,404.79K,0.18%
13.11.2015,73.51,73.06,74.1,72.17,365.57K,-0.03%
12.11.2015,73.53,73.87,74.38,72.88,162.61K,-0.64%
11.11.2015,74,75.29,75.29,73.83,247.56K,-0.67%
10.11.2015,74.5,73.84,75.4,73.84,259.85K,-0.07%
09.11.2015,74.55,75.8,76.29,74.1,235.48K,-2.84%
06.11.2015,76.73,77.5,77.5,74,255.63K,-0.85%
05.11.2015,77.39,75.7,77.49,75.7,179.04K,1.88%
04.11.2015,75.96,76.26,76.4,75.55,241.83K,-0.04%
03.11.2015,75.99,73.7,76.29,73.62,581.50K,3.19%
30.10.2015,73.64,73.4,74.7,73.04,610.87K,-0.50%
29.10.2015,74.01,76.41,76.5,73.13,474.54K,-1.53%
28.10.2015,75.16,76.92,77.3,74.01,387.54K,-2.33%
27.10.2015,76.95,76.4,78.19,75.9,275.92K,-1.95%
26.10.2015,78.48,76,79.6,75.88,350.00K,4.03%
23.10.2015,75.44,77,77.7,75,346.17K,-1.98%
22.10.2015,76.96,74.31,77.7,74.3,648.18K,2.01%
21.10.2015,75.44,78.14,78.14,73,320.97K,-2.73%
20.10.2015,77.56,77.64,78.73,75.6,395.12K,-1.25%
19.10.2015,78.54,77.8,78.75,77,172.80K,0.78%
16.10.2015,77.93,78.78,78.8,75.39,281.91K,0.61%
15.10.2015,77.46,80.69,80.72,77.21,302.11K,-3.54%
14.10.2015,80.3,78.03,80.48,78.01,304.99K,2.50%
13.10.2015,78.34,77.23,79.65,77.22,383.34K,-0.67%
12.10.2015,78.87,80.79,80.79,77.17,278.47K,-1.28%
09.10.2015,79.89,79,80.75,77.54,236.56K,-0.06%
08.10.2015,79.94,80.41,81,79.48,424.51K,-0.57%
07.10.2015,80.4,77.7,81,75.56,499.08K,4.08%
06.10.2015,77.25,75.3,77.67,75.09,296.67K,1.56%
05.10.2015,76.06,77.47,78.23,74.69,393.29K,0.05%
02.10.2015,76.02,76.39,76.39,74.71,320.44K,-0.43%
01.10.2015,76.35,75.8,76.5,74.41,359.59K,0.78%
30.09.2015,75.76,73.11,76.2,73.11,752.52K,1.72%
29.09.2015,74.48,72.04,74.95,72.01,381.78K,2.67%
28.09.2015,72.54,71.63,73.01,71.63,394.46K,1.23%
25.09.2015,71.66,73.79,73.99,71,243.90K,-2.14%
24.09.2015,73.23,72.02,73.69,70.9,401.63K,0.95%
23.09.2015,72.54,75.38,75.5,72.24,397.41K,-3.42%
22.09.2015,75.11,72.51,75.41,72.51,175.89K,0.47%
21.09.2015,74.76,73,75.19,73,297.47K,1.49%
18.09.2015,73.66,73.33,73.97,72.5,767.35K,0.45%
17.09.2015,73.33,75.25,75.49,72.4,768.14K,-2.19%
15.09.2015,74.97,75,75.21,74.39,613.42K,0.87%
14.09.2015,74.32,74.26,75.5,73.26,436.03K,0.24%
11.09.2015,74.14,71.61,74.74,71.61,313.72K,1.17%
10.09.2015,73.28,71.7,73.5,71.15,518.22K,2.20%
09.09.2015,71.7,73.25,74.49,71.42,369.70K,-1.55%
08.09.2015,72.83,73,73.05,72.01,388.59K,0.39%
07.09.2015,72.55,72.01,73.25,72,73.32K,0.67%
04.09.2015,72.07,74.32,74.34,70.5,488.17K,-2.05%
03.09.2015,73.58,73,76.29,73,396.18K,-0.12%
02.09.2015,73.67,73.4,74.09,72.74,425.48K,3.05%
01.09.2015,71.49,76.11,76.3,71.08,745.39K,-6.06%
31.08.2015,76.1,72.9,77,71.24,1.74M,5.86%
28.08.2015,71.89,71.85,73,70,482.88K,0.14%
27.08.2015,71.79,68.4,73.17,67.54,524.29K,6.31%
26.08.2015,67.53,68.41,68.41,66.18,316.53K,-0.54%
25.08.2015,67.9,66.65,68.4,66.17,475.54K,3.16%
24.08.2015,65.82,66.52,68.19,64.21,602.23K,-3.45%
21.08.2015,68.17,68,69,67.11,353.77K,-0.47%
20.08.2015,68.49,69.06,69.67,68,202.75K,-1.45%
19.08.2015,69.5,69.25,69.96,68.6,329.74K,-0.70%
18.08.2015,69.99,70.27,70.76,69.15,397.74K,-1.48%
17.08.2015,71.04,70.27,71.25,70.27,311.40K,0.69%
14.08.2015,70.55,70.3,71.5,70.21,302.70K,-0.40%
13.08.2015,70.83,71.51,72.89,70.45,329.66K,-1.73%
12.08.2015,72.08,73.18,73.9,71.2,456.57K,-1.50%
11.08.2015,73.18,73.1,74.47,72.6,343.76K,-1.73%
10.08.2015,74.47,72.92,74.93,72.63,205.50K,2.48%
07.08.2015,72.67,72.81,73.38,72.46,202.88K,-0.75%
06.08.2015,73.22,74.29,74.29,73.01,139.27K,-1.48%
05.08.2015,74.32,72.81,75,72.81,272.86K,-0.48%
04.08.2015,74.68,73,75.5,73,279.39K,-0.41%
03.08.2015,74.99,72.9,75,70.68,373.74K,2.52%
31.07.2015,73.15,70.72,73.6,70.28,773.53K,3.99%
30.07.2015,70.34,68.24,70.85,68.24,212.81K,3.08%
29.07.2015,68.24,69.68,71.26,68.02,622.51K,-2.05%
28.07.2015,69.67,72.06,72.5,69.45,394.94K,-3.29%
27.07.2015,72.04,72,72.72,71.36,237.22K,-1.45%
24.07.2015,73.1,73.81,74.13,72.3,345.76K,-1.46%
23.07.2015,74.18,72,74.82,72,395.55K,2.91%
22.07.2015,72.08,73.45,74,71,495.05K,-3.55%
21.07.2015,74.73,74.5,75,72.51,385.19K,1.49%
20.07.2015,73.63,72.76,74.16,72.63,206.50K,1.03%
17.07.2015,72.88,73,73,72.51,174.16K,-0.16%
16.07.2015,73,72.94,73,72.19,277.72K,0.79%
15.07.2015,72.43,72.95,72.95,72,265.73K,-0.63%
14.07.2015,72.89,73.49,73.49,72.64,410.14K,1.00%
13.07.2015,72.17,73,75.08,71.61,295.19K,-1.22%
10.07.2015,73.06,71,73.5,71,543.44K,3.65%
09.07.2015,70.49,71.15,71.59,69.44,487.94K,-0.41%
08.07.2015,70.78,70.8,71.58,70.39,455.01K,-1.21%
07.07.2015,71.65,68.8,72.45,68,563.13K,3.62%
06.07.2015,69.15,69.05,69.52,66.8,626.48K,0.12%
03.07.2015,69.07,67.2,69.99,67.13,237.80K,2.02%
02.07.2015,67.7,66.35,67.96,66.11,975.07K,2.44%
01.07.2015,66.09,65.4,67.5,65.37,723.67K,0.90%
30.06.2015,65.5,64.3,65.59,64.21,1.25M,1.36%
29.06.2015,64.62,65.5,65.5,64.45,553.34K,-1.34%
26.06.2015,65.5,65.2,65.59,65,439.56K,0.58%
25.06.2015,65.12,65.02,65.36,64.8,481.87K,0.05%
24.06.2015,65.09,65.5,65.95,64.53,605.46K,-0.70%
23.06.2015,65.55,65.5,65.77,65.2,498.61K,0.40%
22.06.2015,65.29,65.44,65.86,64.92,558.17K,-0.26%
19.06.2015,65.46,65.59,65.71,65.05,1.35M,-0.26%
18.06.2015,65.63,65.01,65.76,65.01,1.05M,0.20%
17.06.2015,65.5,65.37,65.65,64.21,643.71K,0.20%
16.06.2015,65.37,64.7,65.55,64.15,422.32K,0.21%
15.06.2015,65.23,64.2,65.66,63.9,430.87K,0.65%
12.06.2015,64.81,65.76,65.76,64.05,446.18K,-0.93%
11.06.2015,65.42,64.5,65.78,64.14,364.72K,0.58%
10.06.2015,65.04,65.95,65.95,64.9,1.56M,-1.26%
09.06.2015,65.87,65.6,66.84,64.2,1.02M,0.80%
