Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,172.54,166.39,174.75,165.13,6.62M,4.21%
10.12.2025,165.57,167.11,167.7,163.9,4.01M,-0.76%
09.12.2025,166.84,166.14,169.8,166.0,10.19M,-0.29%
08.12.2025,167.32,169.0,169.5,166.36,8.77M,0.70%
05.12.2025,166.15,167.49,169.49,165.84,2.93M,-0.51%
04.12.2025,167.01,165.4,167.45,162.41,3.22M,1.32%
03.12.2025,164.84,163.0,165.7,160.3,4.12M,1.78%
02.12.2025,161.95,162.29,164.53,161.07,5.03M,-0.12%
01.12.2025,162.15,162.03,163.0,160.4,5.24M,1.66%
28.11.2025,159.5,157.1,162.0,156.0,2.89M,1.30%
27.11.2025,157.46,157.52,159.78,156.58,703.02K,-0.51%
26.11.2025,158.27,159.71,161.37,155.0,5.15M,-0.50%
25.11.2025,159.07,155.59,160.0,154.99,8.18M,2.04%
24.11.2025,155.89,150.0,156.44,149.73,15.17M,4.39%
21.11.2025,149.33,146.98,151.4,140.0,5.04M,1.59%
20.11.2025,146.99,152.07,154.16,146.47,3.88M,-2.84%
19.11.2025,151.28,149.6,152.63,149.6,6.79M,0.97%
18.11.2025,149.83,155.81,155.81,149.11,5.47M,-3.18%
14.11.2025,154.75,155.8,156.89,153.12,3.45M,-1.21%
13.11.2025,156.64,160.83,162.45,155.82,4.32M,-1.92%
12.11.2025,159.71,162.5,163.74,159.17,5.96M,-1.51%
11.11.2025,162.16,158.91,162.51,158.68,4.41M,2.19%
10.11.2025,158.68,161.31,163.45,157.5,4.23M,-0.66%
07.11.2025,159.74,158.83,160.99,158.82,1.96M,0.58%
06.11.2025,158.82,160.0,160.5,158.22,1.84M,0.23%
05.11.2025,158.46,153.02,159.79,152.77,4.63M,4.01%
04.11.2025,152.35,154.89,156.84,151.55,4.27M,-2.45%
03.11.2025,156.18,161.43,161.43,155.66,3.96M,-2.76%
31.10.2025,160.62,165.71,167.0,159.21,6.76M,-2.74%
30.10.2025,165.15,163.25,166.49,160.0,4.36M,-0.30%
29.10.2025,165.65,157.0,167.85,156.95,5.33M,6.19%
28.10.2025,156.0,153.0,158.09,153.0,4.92M,0.65%
27.10.2025,154.99,151.8,155.74,149.4,3.43M,3.95%
24.10.2025,149.1,151.07,151.84,148.58,2.88M,-1.25%
23.10.2025,150.99,149.13,151.93,149.13,2.69M,1.25%
22.10.2025,149.12,150.27,150.79,148.0,2.54M,-0.27%
21.10.2025,149.53,151.29,151.82,147.54,6.98M,-1.94%
20.10.2025,152.49,148.9,152.83,148.53,4.53M,2.41%
17.10.2025,148.9,150.11,151.2,148.0,4.33M,-1.31%
16.10.2025,150.88,149.91,151.44,147.54,6.27M,1.11%
15.10.2025,149.22,150.0,151.57,148.69,15.78M,-0.04%
14.10.2025,149.28,147.49,149.61,145.95,4.65M,0.69%
13.10.2025,148.26,148.49,149.74,144.93,6.60M,2.34%
10.10.2025,144.87,144.71,149.0,144.08,7.38M,0.62%
09.10.2025,143.98,141.5,149.88,139.72,13.63M,1.85%
08.10.2025,141.36,138.01,144.56,138.01,10.31M,2.28%
07.10.2025,138.21,137.47,140.25,136.75,21.85M,1.63%
06.10.2025,135.99,136.69,139.0,128.08,38.29M,-15.43%
03.10.2025,160.81,157.15,161.29,157.15,3.69M,1.86%
02.10.2025,157.87,157.15,158.02,151.94,4.92M,1.06%
01.10.2025,156.22,159.94,160.53,153.48,14.88M,-2.19%
30.09.2025,159.72,155.02,160.56,153.02,20.84M,2.05%
29.09.2025,156.51,147.52,157.21,147.52,8.68M,5.82%
26.09.2025,147.9,146.5,152.98,146.5,4.14M,0.46%
25.09.2025,147.23,142.0,147.71,142.0,6.53M,2.97%
24.09.2025,142.99,139.37,144.98,138.5,7.92M,4.24%
23.09.2025,137.17,138.0,138.0,135.04,4.19M,0.06%
22.09.2025,137.09,133.41,137.96,132.14,3.06M,2.80%
19.09.2025,133.36,132.38,135.45,131.83,28.49M,-0.01%
18.09.2025,133.37,134.3,134.75,131.62,8.18M,-1.27%
17.09.2025,135.09,135.04,136.95,134.12,12.70M,-1.66%
15.09.2025,137.37,137.49,138.0,134.55,3.57M,1.51%
12.09.2025,135.33,133.85,136.0,133.78,3.64M,1.52%
11.09.2025,133.31,132.49,135.99,131.27,3.53M,1.30%
10.09.2025,131.6,131.08,132.74,130.04,4.97M,0.47%
09.09.2025,130.99,128.86,132.02,128.61,11.06M,1.94%
08.09.2025,128.5,127.5,129.25,126.49,4.49M,1.17%
05.09.2025,127.02,126.43,128.75,126.08,4.24M,0.35%
04.09.2025,126.58,127.45,127.45,125.1,3.25M,-0.68%
03.09.2025,127.45,125.08,128.0,124.89,5.67M,1.93%
02.09.2025,125.04,124.49,125.4,121.55,3.79M,1.51%
01.09.2025,123.18,122.49,124.89,121.5,1.20M,0.68%
29.08.2025,122.35,123.61,123.91,121.71,5.82M,-0.53%
28.08.2025,123.0,124.41,125.5,122.48,4.75M,-1.14%
27.08.2025,124.42,124.0,125.79,121.79,3.20M,0.13%
26.08.2025,124.26,123.52,124.62,121.72,11.44M,-0.31%
25.08.2025,124.65,128.18,128.2,123.67,3.76M,-2.31%
22.08.2025,127.6,124.72,128.69,124.42,2.09M,2.02%
21.08.2025,125.07,124.32,126.25,124.0,5.24M,0.81%
20.08.2025,124.07,128.5,128.5,123.98,6.52M,-2.34%
19.08.2025,127.04,127.21,128.49,126.0,2.33M,-0.60%
18.08.2025,127.81,127.23,128.92,125.47,6.46M,0.31%
15.08.2025,127.41,127.81,129.86,126.78,3.30M,-0.22%
14.08.2025,127.69,126.72,128.02,125.78,3.81M,-0.06%
13.08.2025,127.77,128.46,129.98,127.25,7.27M,-1.04%
12.08.2025,129.11,124.9,130.5,123.9,11.76M,4.28%
11.08.2025,123.81,123.2,124.34,122.59,3.55M,0.43%
