Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
15.12.2025,81.01,81.46,81.64,80.72,5.21M,0.02%
12.12.2025,80.99,81.76,81.98,80.18,13.73M,0.56%
11.12.2025,80.54,79.67,80.71,79.57,13.20M,1.09%
10.12.2025,79.67,79.05,79.82,78.76,8.63M,0.42%
09.12.2025,79.34,78.97,79.5,78.91,5.25M,0.49%
08.12.2025,78.95,79.28,79.3,78.64,6.33M,-0.24%
05.12.2025,79.14,79.7,80.21,79.08,6.57M,-0.18%
04.12.2025,79.28,79.23,79.46,78.93,4.03M,0.06%
03.12.2025,79.23,79.56,79.89,79.01,5.42M,-0.08%
02.12.2025,79.29,79.61,79.65,78.43,8.13M,-0.65%
01.12.2025,79.81,80.0,80.0,79.47,10.41M,0.50%
28.11.2025,79.41,79.05,79.42,78.84,6.23M,1.24%
26.11.2025,78.44,78.03,78.58,77.92,9.14M,0.78%
25.11.2025,77.83,77.88,78.32,77.43,12.68M,-0.01%
24.11.2025,77.84,76.76,77.86,76.63,7.41M,1.61%
21.11.2025,76.61,76.6,77.24,76.38,10.29M,-0.22%
20.11.2025,76.78,76.84,77.35,76.15,8.52M,0.00%
19.11.2025,76.78,77.35,77.84,76.39,9.16M,0.12%
18.11.2025,76.69,76.75,76.9,76.11,10.23M,0.76%
17.11.2025,76.11,76.59,76.88,75.47,10.49M,-1.13%
14.11.2025,76.98,76.35,77.44,75.94,15.96M,-1.82%
13.11.2025,78.41,79.3,79.47,78.07,12.30M,-0.80%
12.11.2025,79.04,77.83,79.33,77.7,13.81M,1.59%
11.11.2025,77.8,77.8,77.89,77.18,6.74M,0.43%
10.11.2025,77.47,76.98,77.54,76.75,6.05M,2.70%
07.11.2025,75.43,75.34,75.86,75.04,8.57M,0.61%
06.11.2025,74.97,75.16,75.38,74.68,7.51M,-0.11%
05.11.2025,75.05,75.04,75.17,74.67,5.95M,1.13%
04.11.2025,74.21,74.44,74.88,74.0,6.98M,-1.76%
03.11.2025,75.54,75.54,75.92,75.26,6.97M,0.20%
31.10.2025,75.39,75.85,75.88,74.84,9.57M,-0.53%
30.10.2025,75.79,74.76,75.83,74.64,10.40M,1.99%
29.10.2025,74.31,75.7,75.78,74.0,15.94M,-0.38%
28.10.2025,74.59,74.07,74.79,73.74,11.19M,-0.75%
27.10.2025,75.15,75.97,76.07,74.81,19.10M,-2.79%
24.10.2025,77.31,77.5,77.96,77.18,11.59M,-0.31%
23.10.2025,77.55,78.11,78.25,77.53,10.75M,0.35%
22.10.2025,77.28,76.31,77.48,75.54,24.70M,-0.13%
21.10.2025,77.38,79.14,79.6,76.9,39.83M,-6.21%
20.10.2025,82.5,81.38,82.55,80.87,15.79M,3.60%
17.10.2025,79.63,81.3,81.34,78.87,40.40M,-1.87%
16.10.2025,81.15,80.09,81.24,79.94,17.70M,2.31%
15.10.2025,79.32,79.03,79.39,78.76,11.41M,1.65%
14.10.2025,78.03,77.43,78.29,77.38,11.45M,0.77%
13.10.2025,77.43,77.08,77.57,76.9,9.39M,2.45%
10.10.2025,75.58,75.24,75.81,74.82,12.97M,1.00%
09.10.2025,74.83,76.39,76.4,74.3,23.85M,-1.82%
08.10.2025,76.22,76.08,76.49,75.86,11.06M,1.61%
07.10.2025,75.01,75.05,75.2,74.64,8.73M,0.52%
06.10.2025,74.62,74.12,74.8,74.0,9.40M,1.91%
03.10.2025,73.22,73.13,73.32,72.85,9.03M,0.78%
02.10.2025,72.65,73.35,73.43,71.95,11.71M,-0.32%
01.10.2025,72.88,72.93,73.08,72.64,10.14M,0.15%
30.09.2025,72.77,71.88,72.79,71.84,7.68M,0.85%
29.09.2025,72.16,72.02,72.23,71.92,7.26M,1.65%
26.09.2025,70.99,70.8,71.3,70.71,7.11M,0.58%
25.09.2025,70.58,70.49,70.8,70.11,7.90M,0.41%
24.09.2025,70.29,71.0,71.01,70.04,9.12M,-0.92%
23.09.2025,70.94,71.3,71.4,70.71,11.21M,0.44%
22.09.2025,70.63,70.16,70.65,69.99,6.52M,1.71%
19.09.2025,69.44,68.88,69.45,68.86,5.77M,1.06%
18.09.2025,68.71,68.83,68.86,68.35,9.24M,-0.42%
17.09.2025,69.0,69.29,69.86,68.7,17.51M,-0.78%
16.09.2025,69.54,69.62,69.79,69.32,27.36M,0.23%
15.09.2025,69.38,68.86,69.45,68.83,4.46M,1.02%
12.09.2025,68.68,68.75,68.87,68.63,3.75M,0.22%
11.09.2025,68.53,68.26,68.61,68.17,10.09M,-0.16%
10.09.2025,68.64,68.74,68.89,68.51,6.80M,0.34%
09.09.2025,68.41,68.99,69.26,68.36,8.80M,-0.19%
08.09.2025,68.54,68.3,68.75,68.22,6.84M,1.15%
05.09.2025,67.76,67.47,67.85,67.35,8.37M,1.27%
04.09.2025,66.91,66.95,67.05,66.61,6.44M,-0.43%
03.09.2025,67.2,67.12,67.44,66.89,5.17M,0.83%
02.09.2025,66.65,65.69,66.72,65.56,9.97M,2.38%
29.08.2025,65.1,64.43,65.11,64.41,6.36M,0.95%
28.08.2025,64.49,64.14,64.5,64.09,4.90M,0.75%
27.08.2025,64.01,63.75,64.05,63.62,2.93M,0.20%
26.08.2025,63.88,63.58,63.91,63.52,7.91M,0.69%
25.08.2025,63.44,63.41,63.63,63.4,2.22M,-0.22%
22.08.2025,63.58,62.73,63.67,62.73,12.58M,1.08%
21.08.2025,62.9,63.03,63.08,62.85,6.38M,-0.36%
20.08.2025,63.13,62.97,63.14,62.93,3.61M,1.02%
19.08.2025,62.49,62.79,62.93,62.48,4.42M,-0.56%
18.08.2025,62.84,63.0,63.03,62.77,7.06M,-0.16%
15.08.2025,62.94,62.93,63.05,62.82,7.67M,0.06%
14.08.2025,62.9,63.03,63.11,62.74,3.84M,-0.62%
13.08.2025,63.29,63.29,63.53,63.13,3.00M,0.30%
12.08.2025,63.1,63.1,63.31,62.78,5.40M,-0.11%
11.08.2025,63.17,63.18,63.38,62.98,7.02M,-1.39%
08.08.2025,64.06,63.93,64.17,63.63,10.13M,-0.03%
07.08.2025,64.08,63.83,64.1,63.59,5.78M,0.82%
06.08.2025,63.56,63.51,63.71,63.43,3.18M,-0.20%
05.08.2025,63.69,63.54,63.91,63.51,5.55M,0.08%
04.08.2025,63.64,63.62,63.82,63.53,3.89M,0.55%
01.08.2025,63.29,63.16,63.36,62.92,8.42M,2.06%
31.07.2025,62.01,62.34,62.35,61.99,4.85M,0.63%
30.07.2025,61.62,62.3,62.36,61.6,8.43M,-1.71%
29.07.2025,62.69,62.6,62.84,62.42,3.66M,0.27%
28.07.2025,62.52,62.72,62.75,62.23,4.61M,-0.62%
25.07.2025,62.91,63.0,63.1,62.67,5.51M,-0.98%
24.07.2025,63.53,63.3,63.65,63.26,3.27M,-0.59%
23.07.2025,63.91,64.28,64.46,63.74,11.58M,-1.22%
22.07.2025,64.7,64.38,64.72,64.19,5.05M,0.95%
21.07.2025,64.09,63.83,64.13,63.78,5.24M,1.52%
18.07.2025,63.13,63.31,63.32,63.11,7.45M,0.27%
17.07.2025,62.96,62.52,62.97,62.45,4.90M,-0.24%
16.07.2025,63.11,62.86,63.66,62.58,10.32M,0.53%
15.07.2025,62.78,62.98,63.19,62.59,10.49M,-0.43%
14.07.2025,63.05,63.26,63.33,62.98,4.62M,-0.39%
11.07.2025,63.3,63.2,63.5,63.14,5.65M,1.01%
10.07.2025,62.67,62.67,62.73,62.39,3.57M,0.24%
09.07.2025,62.52,62.13,62.53,62.06,4.48M,0.42%
08.07.2025,62.26,62.71,62.72,61.96,8.18M,-1.05%
07.07.2025,62.92,62.35,62.98,62.33,4.47M,0.08%
03.07.2025,62.87,62.83,62.95,62.66,3.16M,-0.69%
02.07.2025,63.31,63.03,63.32,62.82,9.06M,0.62%
01.07.2025,62.92,63.16,63.23,62.9,5.33M,0.90%
30.06.2025,62.36,61.88,62.37,61.8,10.44M,1.15%
27.06.2025,61.65,61.4,61.89,61.37,7.10M,-1.83%
26.06.2025,62.8,62.56,62.89,62.4,4.16M,-0.08%
25.06.2025,62.85,62.5,62.9,62.45,4.08M,0.27%
24.06.2025,62.68,62.43,62.71,62.13,9.30M,-1.55%
23.06.2025,63.67,63.52,63.99,63.51,10.78M,0.35%
20.06.2025,63.45,63.3,63.63,63.28,4.57M,-0.05%
18.06.2025,63.48,64.02,64.06,63.42,9.44M,-0.53%
17.06.2025,63.82,63.98,64.04,63.46,8.62M,0.03%
16.06.2025,63.8,64.42,64.43,63.78,8.94M,-1.45%
13.06.2025,64.74,64.93,65.0,64.46,11.71M,1.33%
12.06.2025,63.89,63.78,64.08,63.69,11.87M,1.22%
11.06.2025,63.12,62.95,63.15,62.6,7.22M,0.56%
