Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,"211,79","213,36","213,53","211,22","5,65M","-0,50%"
11.12.2025,"212,85","211,42","213,00","211,40","5,05M","0,64%"
10.12.2025,"211,49","208,80","211,92","208,64","5,64M","1,37%"
09.12.2025,"208,64","209,22","210,16","208,60","3,07M","-0,23%"
08.12.2025,"209,13","210,57","210,57","208,82","4,10M","-0,64%"
05.12.2025,"210,47","210,51","211,41","210,28","7,18M","0,11%"
04.12.2025,"210,24","210,38","210,68","209,69","3,88M","-0,04%"
03.12.2025,"210,33","208,66","210,49","208,66","3,29M","0,91%"
02.12.2025,"208,43","208,98","209,15","207,86","3,47M","-0,06%"
01.12.2025,"208,55","208,85","209,97","208,41","3,47M","-0,68%"
28.11.2025,"209,98","208,94","210,18","208,71","4,43M","0,72%"
26.11.2025,"208,48","207,36","209,21","207,36","2,66M","0,59%"
25.11.2025,"207,26","205,00","207,51","204,80","4,00M","1,36%"
24.11.2025,"204,48","203,64","204,91","202,99","3,96M","0,71%"
21.11.2025,"203,04","201,02","204,12","200,60","7,16M","1,55%"
20.11.2025,"199,94","204,12","204,85","199,79","9,12M","-1,06%"
19.11.2025,"202,08","202,38","203,17","201,20","4,37M","-0,12%"
18.11.2025,"202,33","201,92","203,58","201,17","8,63M","-0,12%"
17.11.2025,"202,58","204,78","205,30","201,90","5,51M","-1,08%"
14.11.2025,"204,79","204,21","205,79","203,72","5,41M","-0,33%"
13.11.2025,"205,47","207,42","207,93","205,20","4,59M","-1,22%"
12.11.2025,"208,01","207,62","208,66","207,54","2,36M","0,37%"
11.11.2025,"207,25","206,00","207,55","205,98","2,49M","0,68%"
10.11.2025,"205,85","205,31","206,29","204,25","3,40M","0,70%"
07.11.2025,"204,42","202,69","204,49","202,05","5,02M","0,65%"
06.11.2025,"203,10","204,02","204,72","202,77","4,63M","-0,53%"
05.11.2025,"204,19","202,98","204,77","202,76","2,76M","0,65%"
04.11.2025,"202,87","202,50","203,59","202,12","4,26M","-0,58%"
03.11.2025,"204,06","204,72","204,72","202,39","2,79M","-0,25%"
31.10.2025,"204,57","203,97","205,12","203,49","3,68M","0,38%"
30.10.2025,"203,80","203,96","205,85","203,69","4,00M","-0,45%"
29.10.2025,"204,73","205,69","206,15","203,89","4,42M","-0,66%"
28.10.2025,"206,10","207,44","207,44","205,99","2,57M","-0,67%"
27.10.2025,"207,50","207,29","207,58","206,82","1,87M","0,58%"
24.10.2025,"206,30","206,38","206,87","206,21","1,98M","0,59%"
23.10.2025,"205,09","204,52","205,34","204,03","2,38M","0,42%"
22.10.2025,"204,23","205,05","205,17","203,35","4,32M","-0,41%"
21.10.2025,"205,08","204,89","205,74","204,53","2,93M","0,08%"
20.10.2025,"204,91","203,71","205,12","203,68","2,82M","1,02%"
17.10.2025,"202,84","201,90","203,23","201,67","9,31M","0,50%"
