Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,38.82,38.15,39.28,38.11,3.63M,2.45%
10.12.2025,37.89,38.29,38.4,37.5,2.93M,-0.53%
09.12.2025,38.09,38.21,38.33,37.48,1.72M,-0.52%
08.12.2025,38.29,37.83,38.45,37.39,3.22M,0.98%
05.12.2025,37.92,37.98,38.21,37.62,1.18M,-0.11%
04.12.2025,37.96,37.52,38.26,37.41,1.69M,0.77%
03.12.2025,37.67,37.66,38.43,37.35,2.67M,-1.34%
02.12.2025,38.18,39.7,39.73,38.02,4.68M,-4.31%
01.12.2025,39.9,38.95,40.1,37.91,4.96M,2.36%
28.11.2025,38.98,36.85,39.31,36.83,3.90M,5.69%
27.11.2025,36.88,36.82,37.14,36.5,680.86K,0.38%
26.11.2025,36.74,36.96,37.09,36.58,3.27M,-0.16%
25.11.2025,36.8,36.62,36.93,36.4,2.20M,0.96%
24.11.2025,36.45,36.09,36.63,35.78,11.13M,0.16%
21.11.2025,36.39,36.55,36.96,36.05,3.53M,-1.33%
20.11.2025,36.88,36.87,37.3,36.64,2.45M,0.27%
19.11.2025,36.78,36.88,37.43,36.6,3.22M,-0.70%
18.11.2025,37.04,38.07,38.07,36.4,6.02M,-0.30%
14.11.2025,37.15,35.52,37.75,35.52,2.94M,2.03%
13.11.2025,36.41,35.65,36.68,35.61,3.13M,1.82%
12.11.2025,35.76,35.58,36.22,35.58,6.60M,-0.17%
11.11.2025,35.82,35.57,36.21,35.46,2.35M,0.20%
10.11.2025,35.75,36.09,36.09,35.41,3.74M,-0.72%
07.11.2025,36.01,35.13,36.14,35.03,1.67M,2.39%
06.11.2025,35.17,35.22,35.48,34.97,4.48M,0.34%
05.11.2025,35.05,35.13,35.44,34.77,3.63M,0.92%
04.11.2025,34.73,34.21,35.59,34.0,5.60M,1.61%
03.11.2025,34.18,36.13,36.13,33.79,6.02M,-4.95%
31.10.2025,35.96,35.69,36.17,35.46,2.67M,1.21%
30.10.2025,35.53,35.98,35.98,35.36,2.74M,-0.78%
29.10.2025,35.81,36.13,36.21,35.48,1.13M,-1.05%
28.10.2025,36.19,35.35,36.33,35.23,2.81M,2.90%
27.10.2025,35.17,34.67,35.29,34.64,1.89M,1.06%
24.10.2025,34.8,35.54,35.72,34.57,1.77M,-1.89%
23.10.2025,35.47,35.09,35.55,34.82,2.03M,1.08%
22.10.2025,35.09,35.11,35.4,34.95,1.89M,-0.09%
21.10.2025,35.12,35.58,35.7,35.03,1.47M,-0.79%
20.10.2025,35.4,36.08,36.08,35.33,2.17M,-1.45%
17.10.2025,35.92,36.66,37.03,35.71,6.05M,-2.71%
16.10.2025,36.92,36.56,37.33,36.49,2.03M,1.48%
15.10.2025,36.38,36.3,36.73,36.12,2.27M,0.22%
14.10.2025,36.3,36.48,36.58,36.22,1.03M,-0.36%
13.10.2025,36.43,36.76,37.55,36.2,2.10M,-0.82%
10.10.2025,36.73,37.02,37.28,35.9,2.28M,-0.84%
09.10.2025,37.04,36.98,37.38,36.37,1.74M,0.16%
08.10.2025,36.98,37.46,38.06,36.75,1.81M,-1.20%
07.10.2025,37.43,38.01,38.41,37.24,1.39M,-1.89%
06.10.2025,38.15,37.85,38.38,37.57,2.25M,0.69%
03.10.2025,37.89,37.12,37.98,37.12,1.19M,1.07%
02.10.2025,37.49,37.31,37.6,36.46,1.85M,0.97%
01.10.2025,37.13,38.48,38.48,36.8,2.72M,-4.16%
30.09.2025,38.74,37.66,39.4,37.61,4.10M,2.54%
29.09.2025,37.78,37.04,37.98,36.62,2.26M,2.08%
26.09.2025,37.01,36.52,37.33,36.44,2.47M,1.73%
25.09.2025,36.38,36.73,37.11,36.14,2.21M,-1.01%
24.09.2025,36.75,37.41,37.41,36.51,6.41M,-1.69%
23.09.2025,37.38,37.2,37.58,37.03,1.85M,0.78%
22.09.2025,37.09,36.36,37.42,36.36,1.80M,2.37%
19.09.2025,36.23,37.54,37.89,36.02,12.52M,-3.64%
18.09.2025,37.6,37.43,37.82,36.46,1.86M,0.67%
17.09.2025,37.35,38.38,38.38,37.2,3.72M,-1.79%
