Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,167.37,162.72,169.12,162.72,582.09K,0.29%
10.12.2025,166.89,167.03,167.52,165.01,1.07M,0.18%
09.12.2025,166.59,167.7,169.49,164.59,1.21M,-0.70%
08.12.2025,167.76,164.0,168.03,161.51,1.58M,2.04%
05.12.2025,164.41,165.98,167.11,163.28,602.14K,-0.99%
04.12.2025,166.06,164.92,166.56,163.49,652.74K,1.19%
03.12.2025,164.1,162.17,164.92,161.43,1.21M,1.20%
02.12.2025,162.16,160.5,163.0,159.59,968.31K,1.29%
01.12.2025,160.09,158.43,160.57,158.34,775.81K,0.91%
28.11.2025,158.64,159.49,160.64,158.11,478.07K,0.27%
27.11.2025,158.21,161.24,161.24,158.0,139.70K,-1.79%
26.11.2025,161.09,159.0,161.95,159.0,487.53K,1.28%
25.11.2025,159.05,159.02,159.72,157.0,563.56K,-0.28%
24.11.2025,159.5,162.12,162.36,159.03,3.39M,-2.24%
21.11.2025,163.16,160.91,164.75,160.91,1.04M,1.31%
20.11.2025,161.05,161.55,162.55,160.08,450.06K,-0.05%
19.11.2025,161.13,161.14,162.53,160.5,317.67K,-0.17%
18.11.2025,161.4,161.48,162.67,160.4,561.82K,0.32%
14.11.2025,160.89,162.3,162.39,160.43,400.99K,-0.34%
13.11.2025,161.44,164.15,165.79,161.07,508.59K,-1.19%
12.11.2025,163.38,166.4,166.45,162.81,478.67K,-2.04%
11.11.2025,166.78,164.83,167.33,163.91,425.93K,2.26%
10.11.2025,163.09,167.09,167.09,162.92,298.74K,-2.39%
07.11.2025,167.09,164.21,167.5,164.1,568.59K,1.87%
06.11.2025,164.03,163.91,165.72,163.36,263.67K,-0.39%
05.11.2025,164.67,160.54,166.05,159.69,476.31K,2.42%
04.11.2025,160.78,160.0,161.89,159.09,491.52K,0.29%
03.11.2025,160.32,159.3,161.99,158.5,213.66K,0.30%
31.10.2025,159.84,161.12,161.29,158.44,779.62K,-0.98%
30.10.2025,161.42,159.49,163.02,159.49,727.82K,1.90%
29.10.2025,158.41,160.47,160.47,156.95,657.14K,-1.38%
28.10.2025,160.63,161.62,163.0,160.0,352.56K,-0.68%
27.10.2025,161.73,161.04,162.61,158.87,315.36K,0.51%
24.10.2025,160.91,156.53,162.98,156.31,499.92K,3.47%
23.10.2025,155.52,157.22,157.95,155.0,404.32K,-1.68%
22.10.2025,158.18,155.01,158.74,155.0,2.21M,2.06%
21.10.2025,154.99,155.7,156.89,153.8,1.24M,-0.28%
20.10.2025,155.42,158.68,158.68,153.39,1.49M,-1.78%
17.10.2025,158.24,157.46,158.49,155.11,2.17M,0.47%
16.10.2025,157.5,150.57,158.27,150.57,781.61K,4.91%
15.10.2025,150.13,149.86,151.06,149.0,4.33M,0.73%
14.10.2025,149.04,150.73,151.61,148.59,1.86M,-1.76%
13.10.2025,151.71,152.95,153.25,151.33,543.55K,-0.78%
10.10.2025,152.9,153.76,154.75,152.52,1.04M,-0.22%
09.10.2025,153.23,154.99,155.68,152.78,446.36K,-0.80%
08.10.2025,154.46,151.9,156.0,151.79,2.25M,2.12%
07.10.2025,151.26,152.08,155.33,150.9,1.04M,-0.38%
06.10.2025,151.84,150.02,152.46,147.78,2.23M,1.52%
03.10.2025,149.57,152.0,152.11,148.07,626.10K,-1.12%
02.10.2025,151.27,151.46,151.75,149.59,414.99K,0.22%
01.10.2025,150.94,152.5,153.99,149.91,609.88K,-0.66%
30.09.2025,151.95,153.7,154.45,151.75,1.80M,-0.93%
29.09.2025,153.37,154.8,155.02,152.67,847.07K,-1.01%
