Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,"1,389.99","1,378.15","1,390.62","1,377.78",,0.96%
11.12.2025,"1,376.73","1,385.16","1,388.73","1,372.32",,-0.42%
10.12.2025,"1,382.51","1,379.22","1,385.64","1,376.93",,0.26%
09.12.2025,"1,378.93","1,385.78","1,385.81","1,376.15",,-0.55%
08.12.2025,"1,386.62","1,384.73","1,389.90","1,383.62",,0.08%
05.12.2025,"1,385.48","1,375.64","1,389.45","1,374.87",,0.63%
04.12.2025,"1,376.79","1,372.79","1,377.08","1,367.30",,0.28%
03.12.2025,"1,372.95","1,374.97","1,378.69","1,370.89",,-0.07%
02.12.2025,"1,373.87","1,368.85","1,377.56","1,368.66",,0.41%
01.12.2025,"1,368.27","1,368.04","1,372.65","1,364.62",,0.10%
28.11.2025,"1,366.92","1,371.02","1,371.02","1,364.33",,-0.25%
27.11.2025,"1,370.39","1,372.53","1,379.04","1,370.19",,-0.08%
26.11.2025,"1,371.46","1,356.27","1,372.36","1,355.92",,1.30%
25.11.2025,"1,353.84","1,342.96","1,357.51","1,342.96",,0.87%
24.11.2025,"1,342.10","1,336.91","1,347.28","1,336.53",,0.61%
21.11.2025,"1,333.96","1,368.95","1,368.95","1,332.29",,-2.74%
20.11.2025,"1,371.54","1,365.02","1,377.79","1,364.42",,0.83%
19.11.2025,"1,360.31","1,363.97","1,366.44","1,356.64",,-0.11%
18.11.2025,"1,361.75","1,385.70","1,385.70","1,361.50",,-1.88%
17.11.2025,"1,387.85","1,390.81","1,395.92","1,384.64",,0.16%
14.11.2025,"1,385.61","1,405.49","1,405.49","1,384.03",,-1.72%
13.11.2025,"1,409.80","1,405.34","1,413.65","1,401.87",,0.15%
12.11.2025,"1,407.73","1,403.15","1,409.23","1,402.16",,0.36%
11.11.2025,"1,402.67","1,401.87","1,409.27","1,393.79",,0.18%
10.11.2025,"1,400.21","1,382.92","1,400.42","1,382.92",,1.34%
07.11.2025,"1,381.63","1,390.75","1,393.96","1,377.09",,-0.87%
06.11.2025,"1,393.77","1,385.55","1,397.45","1,384.86",,0.78%
05.11.2025,"1,382.96","1,391.65","1,391.65","1,363.83",,-0.75%
04.11.2025,"1,393.38","1,410.06","1,410.06","1,391.21",,-1.21%
03.11.2025,"1,410.43","1,400.45","1,411.14","1,400.38",,0.63%
31.10.2025,"1,401.55","1,410.49","1,413.75","1,400.01",,-0.72%
30.10.2025,"1,411.65","1,415.06","1,424.95","1,409.24",,-0.33%
29.10.2025,"1,416.39","1,405.69","1,417.71","1,404.28",,0.98%
28.10.2025,"1,402.66","1,406.41","1,407.43","1,397.88",,-0.38%
27.10.2025,"1,407.94","1,389.18","1,409.12","1,389.18",,1.34%
24.10.2025,"1,389.39","1,382.31","1,390.46","1,382.31",,0.58%
23.10.2025,"1,381.37","1,378.02","1,382.49","1,372.42",,0.09%
22.10.2025,"1,380.07","1,382.61","1,382.87","1,372.12",,-0.26%
21.10.2025,"1,383.64","1,384.56","1,397.62","1,382.48",,0.03%
20.10.2025,"1,383.26","1,363.25","1,384.51","1,360.79",,1.59%
17.10.2025,"1,361.60","1,377.81","1,378.73","1,359.35",,-1.26%
16.10.2025,"1,378.96","1,366.33","1,379.77","1,366.33",,0.97%
15.10.2025,"1,365.69","1,340.75","1,365.95","1,340.75",,1.99%
14.10.2025,"1,338.98","1,353.79","1,364.34","1,336.67",,-1.06%
