Date,Close,Open,High,Low,Vol.,Change %
12/16/2025,231.93,235.8,239.4,230.71,11.72M,-2.35%
12/15/2025,237.5,247.11,250.11,236.0,27.48M,-1.51%
12/12/25,241.14,255.67,255.82,239.32,25.94M,-6.70%
12/11/25,258.46,261.53,262.85,251.55,18.87M,-1.99%
12/10/25,263.71,255.13,264.75,250.58,21.96M,4.47%
12/09/25,252.42,244.49,255.51,242.83,17.07M,2.23%
12/08/25,246.92,243.49,249.23,241.61,20.50M,4.09%
12/05/25,237.22,228.95,240.57,226.68,21.16M,4.66%
12/04/25,226.65,230.28,234.16,223.33,23.51M,-3.21%
12/03/25,234.16,236.39,237.8,228.09,19.19M,-2.23%
12/02/25,239.49,238.74,244.37,234.33,18.17M,-0.40%
12/01/25,240.46,232.29,242.36,231.5,18.24M,1.68%
11/28/2025,236.48,235.62,238.1,233.47,12.91M,2.70%
11/26/2025,230.26,229.62,233.83,226.0,17.82M,2.55%
11/25/2025,224.53,219.22,226.19,216.0,17.44M,0.27%
11/24/2025,223.93,213.41,226.11,212.36,33.05M,7.99%
11/21/2025,207.37,204.53,212.0,192.59,36.68M,2.98%
11/20/2025,201.37,230.24,230.6,199.6,47.42M,-10.87%
11/19/2025,225.92,226.91,234.35,216.36,35.26M,-1.13%
11/18/2025,228.5,235.48,238.93,225.52,33.84M,-5.56%
11/17/2025,241.95,246.92,260.58,239.46,30.30M,-1.98%
11/14/2025,246.83,231.45,255.17,231.23,36.17M,4.17%
11/13/2025,236.95,243.6,249.5,230.16,32.32M,-3.25%
11/12/25,244.9,244.9,249.19,240.84,17.26M,1.57%
11/11/25,241.11,248.34,249.99,238.79,22.62M,-4.81%
11/10/25,253.3,247.96,257.07,247.81,27.87M,6.46%
11/07/25,237.92,234.03,242.55,226.4,30.61M,-0.17%
11/06/25,238.33,237.84,246.41,234.88,32.02M,0.35%
11/05/25,237.5,225.66,239.88,224.73,28.62M,8.93%
11/04/25,218.03,222.14,228.67,217.4,23.70M,-7.10%
11/03/25,234.7,233.88,237.62,231.8,21.20M,4.88%
10/31/2025,223.77,227.75,231.25,218.82,16.32M,-0.11%
10/30/2025,224.01,226.1,227.4,220.74,14.80M,-1.16%
10/29/2025,226.63,229.05,232.4,226.1,23.22M,2.13%
10/28/2025,221.91,218.93,222.9,217.56,14.96M,0.82%
10/27/2025,220.1,224.81,224.98,215.74,23.87M,0.49%
10/24/2025,219.02,212.39,219.82,209.98,25.82M,5.96%
10/23/2025,206.71,196.7,209.0,195.2,19.40M,4.15%
10/22/2025,198.47,202.25,205.58,192.4,21.95M,-1.89%
10/21/2025,202.29,204.3,205.87,200.84,13.72M,-2.17%
10/20/2025,206.77,209.65,214.75,205.5,23.27M,2.17%
10/17/2025,202.38,199.28,203.39,195.55,23.28M,-0.07%
10/16/2025,202.53,199.96,206.34,195.2,42.04M,5.52%
10/15/2025,191.94,192.48,192.88,187.42,17.79M,2.61%
10/14/2025,187.06,186.96,192.46,186.25,15.91M,-2.96%
10/13/2025,192.77,190.79,193.4,187.99,20.93M,6.15%
10/10/25,181.6,192.96,193.44,179.61,26.99M,-5.58%
10/09/25,192.33,192.96,196.62,189.5,19.72M,-2.14%
10/08/25,196.54,188.99,196.95,188.8,26.83M,5.84%
10/07/25,185.69,194.85,195.3,183.24,27.83M,-2.76%
10/06/25,190.96,195.01,201.0,189.43,36.39M,1.67%
