Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,"64,712.07","63,448.49","65,016.87","63,448.49",169.32M,2.05%
10.12.2025,"63,409.40","63,674.19","63,847.98","63,227.74",162.29M,-0.45%
09.12.2025,"63,694.68","63,602.03","64,087.31","63,317.02",184.97M,0.26%
08.12.2025,"63,528.00","63,496.47","63,794.01","63,166.49",142.32M,0.24%
05.12.2025,"63,378.30","63,745.21","64,006.48","63,338.26",109.97M,-0.53%
04.12.2025,"63,714.86","63,587.52","63,760.74","63,411.57",143.74M,0.18%
03.12.2025,"63,597.44","63,816.78","63,938.04","63,326.67",140.34M,-0.35%
02.12.2025,"63,820.61","63,556.16","64,077.48","63,532.14",165.68M,0.42%
01.12.2025,"63,551.13","63,720.63","63,809.73","63,106.87",168.11M,-0.07%
28.11.2025,"63,596.78","62,736.83","63,876.43","62,577.94",96.88M,1.44%
27.11.2025,"62,694.73","63,221.23","63,298.32","62,623.51",28.96M,-0.87%
26.11.2025,"63,242.71","63,257.85","63,592.47","62,987.39",134.31M,0.04%
25.11.2025,"63,214.56","62,461.23","63,266.88","62,391.54",121.38M,1.11%
24.11.2025,"62,522.61","61,840.51","62,648.06","61,840.51",546.77M,1.04%
21.11.2025,"61,877.27","61,655.39","62,358.89","61,454.54",172.13M,0.33%
20.11.2025,"61,672.19","62,091.09","62,764.31","61,590.58",142.36M,-0.66%
19.11.2025,"62,080.58","61,964.18","62,387.71","61,790.36",187.67M,0.16%
18.11.2025,"61,984.45","62,388.78","62,734.24","61,901.53",199.84M,-0.55%
14.11.2025,"62,328.63","62,487.36","62,820.88","62,180.97",168.64M,-0.32%
13.11.2025,"62,529.44","63,316.56","63,686.45","62,449.74",156.92M,-1.05%
12.11.2025,"63,190.66","64,195.10","64,365.75","63,098.36",166.92M,-1.76%
11.11.2025,"64,321.27","63,178.65","64,406.21","63,153.25",152.35M,1.95%
10.11.2025,"63,094.01","63,379.65","63,633.59","63,061.90",152.14M,-0.45%
07.11.2025,"63,376.13","63,149.79","63,491.55","62,971.59",134.55M,0.45%
06.11.2025,"63,093.12","63,458.48","63,599.56","62,996.49",140.70M,-0.45%
05.11.2025,"63,378.51","62,288.18","63,682.80","62,288.18",197.03M,1.58%
04.11.2025,"62,390.73","61,880.18","62,817.24","61,289.77",129.59M,-0.42%
03.11.2025,"62,653.89","62,729.51","62,834.99","62,102.06",73.04M,-0.18%
31.10.2025,"62,769.18","63,007.90","63,229.49","62,433.83",245.95M,-0.19%
30.10.2025,"62,889.86","63,014.09","63,275.83","62,841.22",180.28M,-0.73%
29.10.2025,"63,352.85","62,569.06","63,540.28","62,558.72",110.23M,0.89%
28.10.2025,"62,795.24","61,900.30","62,879.31","61,900.30",230.14M,1.51%
27.10.2025,"61,860.30","61,424.85","62,065.05","61,219.45",158.25M,1.17%
24.10.2025,"61,145.49","61,741.03","61,836.01","61,018.72",158.56M,-0.60%
23.10.2025,"61,511.95","61,299.12","61,643.03","60,983.56",147.34M,0.33%
22.10.2025,"61,308.20","60,779.03","61,391.53","60,695.24",147.37M,0.88%
21.10.2025,"60,773.78","61,582.89","61,582.89","60,599.10",147.26M,-1.46%
20.10.2025,"61,672.35","61,871.33","62,086.52","61,159.05",139.13M,-0.12%
17.10.2025,"61,743.92","62,501.49","62,501.49","61,482.91",178.47M,-1.28%
16.10.2025,"62,544.56","61,652.45","62,920.80","61,611.33",161.66M,1.47%
15.10.2025,"61,637.54","60,927.27","61,716.71","60,927.27",298.67M,1.40%
14.10.2025,"60,785.62","60,967.32","61,044.14","60,698.99",166.81M,-0.43%
13.10.2025,"61,045.09","60,808.00","61,471.70","60,678.03",99.92M,0.79%
10.10.2025,"60,568.93","60,869.44","61,160.67","60,455.32",160.81M,-0.41%
09.10.2025,"60,819.31","60,931.10","61,274.75","60,388.66",169.96M,-0.11%
08.10.2025,"60,888.56","60,178.29","60,930.93","60,178.29",145.65M,1.12%
07.10.2025,"60,215.75","60,414.49","60,828.42","60,155.69",131.56M,-0.31%
06.10.2025,"60,404.19","60,749.65","60,933.92","60,110.48",144.00M,-2.55%
03.10.2025,"61,984.43","62,132.50","62,521.92","61,774.12",135.29M,-0.38%
02.10.2025,"62,220.31","61,947.15","62,290.10","61,184.81",166.01M,0.47%
01.10.2025,"61,929.72","62,946.16","63,182.59","61,710.58",174.39M,-1.57%
30.09.2025,"62,915.57","62,521.06","63,128.53","62,397.59",271.75M,0.49%
29.09.2025,"62,610.12","62,274.63","62,962.93","62,274.63",160.83M,0.49%
26.09.2025,"62,307.07","61,914.70","62,548.59","61,899.73",151.68M,0.58%
25.09.2025,"61,945.04","61,796.63","62,273.93","61,688.19",133.10M,0.06%
24.09.2025,"61,905.95","62,484.14","62,665.94","61,689.64",179.97M,-0.74%
23.09.2025,"62,368.19","61,983.80","62,453.19","61,833.76",158.77M,0.59%
22.09.2025,"62,004.11","61,175.56","62,051.34","61,102.77",106.77M,1.31%
19.09.2025,"61,200.27","61,301.22","61,680.69","61,085.46",1.10B,-0.20%
18.09.2025,"61,323.95","61,605.75","61,605.75","60,860.09",249.21M,-0.44%
17.09.2025,"61,596.23","61,926.29","62,177.86","61,493.16",217.96M,-0.81%
15.09.2025,"62,102.13","61,894.85","62,252.13","61,730.36",134.05M,0.49%
12.09.2025,"61,798.94","61,596.89","61,941.99","61,535.96",157.24M,0.40%
11.09.2025,"61,553.58","60,686.63","61,886.12","60,605.32",201.09M,1.76%
10.09.2025,"60,489.19","60,643.14","60,987.35","60,431.63",156.04M,-0.31%
09.09.2025,"60,679.53","60,688.06","60,820.86","60,447.13",172.27M,0.05%
08.09.2025,"60,649.76","60,489.14","60,684.35","60,199.84",175.93M,0.28%
05.09.2025,"60,479.76","59,954.93","60,560.44","59,954.93",186.05M,1.02%
04.09.2025,"59,867.62","59,659.48","59,937.24","59,331.23",175.74M,0.36%
03.09.2025,"59,651.57","59,735.03","60,120.44","59,449.95",191.42M,-0.16%
02.09.2025,"59,747.88","58,949.49","59,822.81","58,503.90",159.10M,1.50%
01.09.2025,"58,865.03","58,670.29","58,982.75","58,398.75",21.56M,0.27%
29.08.2025,"58,708.86","59,218.58","59,256.86","58,670.57",174.17M,-0.75%
28.08.2025,"59,151.68","58,663.99","59,421.61","58,531.28",159.75M,0.86%
27.08.2025,"58,647.52","58,138.32","58,699.37","57,623.87",178.61M,0.89%
26.08.2025,"58,132.40","58,504.22","58,623.46","58,058.01",370.25M,-0.62%
25.08.2025,"58,492.13","59,242.39","59,250.21","58,400.13",130.13M,-1.24%
22.08.2025,"59,225.48","58,598.15","59,399.72","58,564.05",278.17M,0.96%
21.08.2025,"58,663.97","58,169.86","58,838.82","58,169.86",210.63M,0.76%
