Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,3.87,3.94,4.01,3.82,3.80M,-2.76%
10.12.2025,3.98,4.0,4.03,3.93,4.22M,0.25%
09.12.2025,3.97,4.0,4.01,3.9,2.36M,-0.50%
08.12.2025,3.99,4.09,4.09,3.95,4.05M,-1.97%
05.12.2025,4.07,4.1,4.11,4.0,1.68M,-0.25%
04.12.2025,4.08,3.96,4.1,3.96,3.15M,0.74%
03.12.2025,4.05,3.96,4.09,3.94,4.89M,2.02%
02.12.2025,3.97,3.91,3.99,3.91,2.17M,1.53%
01.12.2025,3.91,3.88,3.93,3.82,1.10M,0.77%
28.11.2025,3.88,3.8,3.93,3.8,973.75K,0.26%
27.11.2025,3.87,3.92,3.92,3.8,622.00K,-0.77%
26.11.2025,3.9,3.96,3.96,3.88,1.02M,-0.26%
25.11.2025,3.91,3.92,3.93,3.87,767.90K,0.00%
24.11.2025,3.91,3.76,3.95,3.76,2.30M,2.36%
21.11.2025,3.82,3.76,3.83,3.76,938.73K,1.06%
20.11.2025,3.78,3.82,3.85,3.78,1.03M,-0.26%
19.11.2025,3.79,3.9,3.91,3.77,2.53M,-2.32%
18.11.2025,3.88,3.88,4.04,3.85,4.99M,-1.77%
14.11.2025,3.95,3.91,3.97,3.86,1.58M,0.51%
13.11.2025,3.93,4.04,4.07,3.87,3.94M,-2.96%
12.11.2025,4.05,4.04,4.09,4.02,2.17M,-0.74%
11.11.2025,4.08,4.06,4.09,4.02,1.72M,0.49%
10.11.2025,4.06,4.1,4.13,4.02,1.09M,-0.98%
07.11.2025,4.1,4.05,4.14,4.01,876.35K,0.24%
06.11.2025,4.09,4.11,4.13,4.0,1.89M,-0.49%
05.11.2025,4.11,4.07,4.14,4.06,2.25M,0.74%
04.11.2025,4.08,4.01,4.1,3.98,4.14M,0.74%
03.11.2025,4.05,3.98,4.09,3.92,1.94M,3.05%
31.10.2025,3.93,3.77,3.98,3.75,3.48M,2.61%
30.10.2025,3.83,3.85,3.92,3.76,2.96M,0.26%
29.10.2025,3.82,3.64,3.94,3.61,11.60M,4.95%
28.10.2025,3.64,3.61,3.69,3.61,17.48M,-0.82%
27.10.2025,3.67,3.76,3.82,3.62,5.15M,-1.87%
24.10.2025,3.74,3.7,3.77,3.23,2.68M,1.63%
23.10.2025,3.68,3.64,3.73,3.64,1.81M,0.55%
22.10.2025,3.66,3.66,3.69,3.64,2.76M,0.00%
21.10.2025,3.66,3.7,3.7,3.64,2.02M,0.55%
20.10.2025,3.64,3.7,3.77,3.59,3.08M,-1.36%
17.10.2025,3.69,3.65,3.76,3.59,2.13M,2.22%
16.10.2025,3.61,3.7,3.72,3.55,929.82K,-2.43%
15.10.2025,3.7,3.75,3.8,3.65,2.36M,0.00%
14.10.2025,3.7,3.78,3.86,3.66,1.83M,-1.86%
13.10.2025,3.77,3.71,3.84,3.58,2.70M,4.43%
10.10.2025,3.61,3.79,3.81,3.56,1.23M,-4.75%
09.10.2025,3.79,3.78,3.87,3.76,1.55M,-0.52%
08.10.2025,3.81,3.88,3.93,3.76,2.34M,-2.06%
07.10.2025,3.89,3.97,3.98,3.86,1.26M,-1.52%
06.10.2025,3.95,4.0,4.08,3.92,1.62M,-1.74%
03.10.2025,4.02,4.18,4.18,4.01,1.03M,-1.95%
02.10.2025,4.1,4.17,4.22,4.08,1.08M,-2.84%
01.10.2025,4.22,4.28,4.28,4.15,1.17M,-0.47%
30.09.2025,4.24,4.23,4.37,3.99,3.30M,-1.85%
29.09.2025,4.32,4.31,4.36,4.28,1.95M,0.47%
26.09.2025,4.3,4.33,4.38,4.2,1.09M,0.70%
25.09.2025,4.27,4.33,4.36,4.19,973.22K,-1.39%
24.09.2025,4.33,4.25,4.37,4.25,1.16M,1.17%
23.09.2025,4.28,4.35,4.39,4.25,1.07M,0.00%
22.09.2025,4.28,4.25,4.39,4.13,1.76M,1.42%
19.09.2025,4.22,4.1,4.35,4.06,21.71M,0.00%
18.09.2025,4.22,4.28,4.28,4.18,1.80M,-0.94%
17.09.2025,4.26,4.2,4.28,4.18,2.38M,0.95%
15.09.2025,4.22,4.26,4.27,4.15,941.31K,0.24%
12.09.2025,4.21,4.21,4.26,4.14,1.37M,0.24%
11.09.2025,4.2,4.08,4.23,4.08,2.51M,1.94%
10.09.2025,4.12,4.19,4.19,4.08,1.77M,0.00%
09.09.2025,4.12,4.17,4.19,4.03,1.44M,0.49%
08.09.2025,4.1,4.16,4.24,4.06,1.64M,-1.44%
05.09.2025,4.16,4.15,4.19,4.06,2.14M,0.48%
04.09.2025,4.14,4.07,4.26,4.0,2.46M,2.99%
03.09.2025,4.02,3.95,4.04,3.94,1.29M,1.26%
02.09.2025,3.97,3.95,3.97,3.91,986.26K,1.53%
01.09.2025,3.91,3.95,3.95,3.85,853.69K,0.51%
29.08.2025,3.89,3.77,4.03,3.77,4.59M,3.73%
28.08.2025,3.75,3.69,3.79,3.66,1.91M,2.18%
27.08.2025,3.67,3.65,3.75,3.61,1.20M,0.55%
26.08.2025,3.65,3.67,3.71,3.63,863.38K,-1.35%
25.08.2025,3.7,3.72,3.79,3.67,2.10M,-1.07%
22.08.2025,3.74,3.64,3.8,3.56,1.73M,0.27%
21.08.2025,3.73,3.78,3.83,3.68,1.12M,-2.10%
20.08.2025,3.81,3.76,3.83,3.75,1.39M,0.53%
19.08.2025,3.79,3.7,3.81,3.69,578.21K,0.26%
18.08.2025,3.78,3.82,3.82,3.72,603.54K,-0.26%
15.08.2025,3.79,3.8,3.85,3.77,836.20K,-0.26%
14.08.2025,3.8,3.8,3.85,3.76,622.55K,0.53%
13.08.2025,3.78,3.73,3.85,3.73,1.17M,-0.26%
12.08.2025,3.79,3.64,3.81,3.59,2.51M,3.84%
11.08.2025,3.65,3.55,3.71,3.53,3.02M,2.24%
08.08.2025,3.57,3.59,3.59,3.51,1.02M,0.28%
