Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,95.19,95.5,96.92,94.65,49.32M,1.17%
11.12.2025,94.09,93.89,94.82,92.76,43.95M,1.49%
10.12.2025,92.71,96.74,96.97,92.35,74.13M,-4.14%
09.12.2025,96.71,97.03,97.24,95.45,51.75M,-0.08%
08.12.2025,96.79,99.87,99.89,95.3,100.91M,-3.44%
05.12.2025,100.24,98.78,104.79,97.74,133.36M,-2.89%
04.12.2025,103.22,103.57,103.8,101.77,51.78M,-0.71%
03.12.2025,103.96,106.59,106.87,102.03,53.59M,-4.93%
02.12.2025,109.35,109.21,109.73,107.52,25.76M,0.20%
01.12.2025,109.13,106.51,109.33,106.31,24.87M,1.44%
28.11.2025,107.58,106.43,107.94,106.24,15.02M,1.36%
26.11.2025,106.14,105.74,106.95,105.22,27.95M,1.67%
25.11.2025,104.4,106.12,106.3,103.82,35.12M,-2.40%
24.11.2025,106.97,104.25,108.04,103.32,62.92M,2.55%
21.11.2025,104.31,105.13,106.53,103.81,41.23M,-1.29%
20.11.2025,105.67,111.0,111.1,105.39,36.92M,-3.94%
19.11.2025,110.0,113.0,113.34,108.61,31.87M,-3.58%
18.11.2025,114.09,110.29,115.25,109.2,43.44M,3.45%
17.11.2025,110.29,110.75,111.85,109.55,26.08M,-0.83%
14.11.2025,111.22,114.27,114.27,110.72,47.61M,-3.64%
13.11.2025,115.42,115.85,116.73,114.57,40.14M,-0.28%
12.11.2025,115.75,113.82,116.43,112.83,39.22M,1.85%
11.11.2025,113.64,111.76,113.92,111.28,27.97M,1.46%
10.11.2025,112.01,110.67,112.82,110.4,36.93M,1.49%
07.11.2025,110.37,109.42,110.82,108.75,44.13M,0.61%
06.11.2025,109.7,109.46,110.37,108.51,36.53M,-0.13%
05.11.2025,109.85,108.5,110.08,107.34,35.54M,0.50%
04.11.2025,109.3,110.0,110.46,108.67,38.72M,-0.65%
03.11.2025,110.01,113.32,113.35,107.51,58.63M,-1.68%
31.10.2025,111.89,110.54,113.49,110.2,68.67M,2.74%
30.10.2025,108.9,109.44,110.62,108.81,41.58M,-1.04%
29.10.2025,110.04,109.98,110.86,109.6,33.99M,-0.19%
28.10.2025,110.25,109.4,111.7,109.3,40.21M,0.73%
27.10.2025,109.46,110.07,110.23,108.73,46.91M,-0.01%
24.10.2025,109.47,111.1,111.45,109.44,60.28M,-1.70%
23.10.2025,111.36,112.69,112.78,109.97,68.50M,-0.25%
22.10.2025,111.64,114.29,115.76,111.25,147.89M,-10.07%
21.10.2025,124.14,124.28,124.86,123.18,65.08M,0.23%
20.10.2025,123.86,120.79,124.78,120.69,39.86M,3.27%
17.10.2025,119.94,118.36,120.31,117.89,29.57M,1.33%
16.10.2025,118.36,121.21,121.67,117.6,28.33M,-1.64%
15.10.2025,120.33,121.3,121.96,120.16,20.25M,-0.99%
14.10.2025,121.54,121.47,122.43,120.31,23.62M,-0.30%
13.10.2025,121.9,122.14,123.11,120.68,24.61M,-0.09%
10.10.2025,122.01,122.9,124.7,121.91,42.80M,-0.89%
09.10.2025,123.11,121.43,123.75,121.18,28.24M,1.39%
08.10.2025,121.43,119.71,121.74,119.2,28.51M,1.95%
07.10.2025,119.11,117.78,120.14,117.75,33.09M,2.39%
06.10.2025,116.33,116.04,116.36,114.54,29.69M,0.87%
03.10.2025,115.33,116.5,116.8,114.32,31.37M,-0.79%
02.10.2025,116.25,116.15,116.33,113.4,46.85M,-0.71%
01.10.2025,117.09,117.55,117.91,116.32,41.10M,-2.34%
30.09.2025,119.89,120.64,120.85,117.8,38.30M,-0.62%
29.09.2025,120.64,120.5,122.45,118.75,30.33M,-0.35%
26.09.2025,121.06,120.54,121.4,120.0,19.45M,0.20%
25.09.2025,120.82,120.31,121.68,119.15,19.98M,0.36%
24.09.2025,120.39,121.86,122.15,119.42,27.73M,-1.19%
23.09.2025,121.85,122.73,122.78,120.85,24.99M,-0.73%
22.09.2025,122.74,122.19,122.98,121.42,25.47M,0.03%
19.09.2025,122.7,121.86,122.99,120.81,49.48M,1.59%
18.09.2025,120.78,122.08,123.3,120.55,31.69M,-1.69%
17.09.2025,122.85,122.1,123.39,120.66,34.60M,2.33%
16.09.2025,120.05,120.56,120.9,119.73,24.05M,-0.15%
15.09.2025,120.23,118.84,120.72,117.32,29.09M,1.16%
12.09.2025,118.84,120.31,121.18,118.24,37.85M,-1.25%
11.09.2025,120.35,125.1,125.34,119.2,56.82M,-3.54%
10.09.2025,124.77,126.4,126.7,124.64,27.01M,-1.23%
09.09.2025,126.32,124.67,126.57,124.67,22.20M,1.49%
08.09.2025,124.48,124.85,125.2,123.2,19.15M,0.08%
05.09.2025,124.38,126.0,126.71,123.9,23.80M,-1.09%
04.09.2025,125.75,122.32,125.75,122.31,30.24M,2.55%
03.09.2025,122.62,120.51,122.7,120.34,24.71M,0.99%
02.09.2025,121.41,119.7,121.54,118.28,23.03M,0.49%
29.08.2025,120.82,122.8,122.88,120.11,32.10M,-1.88%
28.08.2025,123.14,122.28,123.79,121.43,19.50M,0.65%
27.08.2025,122.35,122.36,122.92,121.3,16.65M,-0.21%
26.08.2025,122.61,122.02,123.15,121.22,19.86M,0.66%
25.08.2025,121.81,120.17,123.38,119.9,28.12M,1.11%
22.08.2025,120.46,120.89,121.36,119.82,31.28M,-0.13%
21.08.2025,120.62,121.14,122.14,119.76,20.47M,-0.63%
20.08.2025,121.39,121.8,122.3,119.33,24.34M,-0.02%
19.08.2025,121.42,124.02,124.1,119.28,37.08M,-2.48%
18.08.2025,124.51,123.56,125.12,123.54,21.11M,0.50%
15.08.2025,123.89,123.4,124.69,122.79,27.68M,0.68%
14.08.2025,123.06,120.99,124.41,120.7,39.05M,2.17%
13.08.2025,120.44,123.4,123.71,120.3,27.62M,-1.70%
12.08.2025,122.53,122.5,123.2,120.65,22.83M,0.57%
11.08.2025,121.83,121.4,122.31,120.19,24.56M,0.55%
08.08.2025,121.16,118.32,121.41,118.04,38.17M,2.65%
07.08.2025,118.04,118.18,119.12,116.82,26.28M,0.16%
06.08.2025,117.85,115.35,118.14,115.19,33.62M,2.67%
05.08.2025,114.79,117.1,117.17,114.47,26.61M,-1.97%
04.08.2025,117.1,116.76,117.7,116.26,22.45M,1.07%
01.08.2025,115.86,116.3,117.85,115.29,38.91M,-0.07%
31.07.2025,115.94,118.48,119.0,115.77,37.13M,-2.09%
30.07.2025,118.42,116.86,118.49,116.61,29.23M,1.32%
29.07.2025,116.87,117.9,117.96,116.33,27.52M,-0.50%
28.07.2025,117.46,118.12,119.78,116.85,34.47M,-0.50%
25.07.2025,118.05,117.84,118.73,117.44,26.29M,-0.02%
24.07.2025,118.08,117.78,118.35,116.27,38.46M,0.34%
23.07.2025,117.68,118.98,119.26,117.36,45.04M,-1.12%
22.07.2025,119.01,123.04,123.24,118.75,50.63M,-3.50%
21.07.2025,123.33,120.6,123.71,119.8,56.28M,1.99%
18.07.2025,120.92,124.2,124.65,120.1,106.93M,-5.10%
17.07.2025,127.42,125.3,127.75,124.48,64.70M,1.91%
16.07.2025,125.03,126.17,127.1,124.98,32.27M,-0.79%
15.07.2025,126.03,126.2,127.12,124.32,28.02M,-0.13%
14.07.2025,126.19,124.49,127.05,124.0,27.81M,1.35%
11.07.2025,124.51,125.98,126.1,123.13,39.57M,-0.44%
10.07.2025,125.06,128.55,128.96,124.6,42.36M,-2.93%
09.07.2025,128.83,127.4,128.83,126.62,23.84M,1.02%
08.07.2025,127.53,129.09,129.32,126.0,32.93M,-1.11%
07.07.2025,128.96,129.5,129.5,127.6,22.74M,-0.58%
03.07.2025,129.72,129.2,130.23,127.98,20.06M,0.96%
02.07.2025,128.49,129.7,129.99,127.16,30.49M,-0.68%
01.07.2025,129.36,133.82,133.88,128.22,49.94M,-3.40%
30.06.2025,133.91,133.1,134.12,132.12,32.83M,1.21%
27.06.2025,132.31,130.69,133.13,130.1,40.71M,1.26%
26.06.2025,130.67,128.0,130.73,128.0,26.06M,2.46%
25.06.2025,127.53,128.68,129.8,127.38,21.47M,-0.30%
24.06.2025,127.91,126.05,128.26,125.5,26.63M,2.04%
23.06.2025,125.35,123.8,125.48,121.5,26.67M,1.80%
20.06.2025,123.14,123.44,124.85,122.43,53.48M,0.75%
18.06.2025,122.23,123.0,124.2,122.05,22.81M,0.13%
17.06.2025,122.07,122.0,123.24,121.61,18.92M,-0.38%
16.06.2025,122.54,121.22,122.63,121.22,21.13M,1.09%
13.06.2025,121.21,120.66,122.06,120.19,22.10M,-0.24%
12.06.2025,121.5,122.26,123.0,121.2,20.85M,-0.40%
11.06.2025,121.99,120.26,122.83,119.6,23.82M,1.35%
10.06.2025,120.36,122.75,122.75,118.06,44.54M,-1.70%
09.06.2025,122.45,123.89,123.89,122.16,24.03M,-1.37%
06.06.2025,124.15,125.94,126.0,123.56,25.57M,-0.72%
05.06.2025,125.05,124.06,126.28,123.73,28.22M,0.88%
04.06.2025,123.97,122.07,124.26,121.99,23.59M,1.78%
03.06.2025,121.79,121.99,122.96,121.12,23.64M,-0.09%
02.06.2025,121.9,120.12,121.94,119.63,22.94M,0.97%
30.05.2025,120.72,119.83,121.18,118.09,46.97M,1.89%
29.05.2025,118.49,120.8,120.9,117.63,33.03M,-1.96%
28.05.2025,120.86,121.03,121.59,120.6,18.56M,-0.25%
27.05.2025,121.16,119.53,121.18,119.31,29.20M,2.21%
