Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,265.06,261.1,267.4,259.36,252.89K,2.30%
10.12.2025,259.09,258.19,261.43,257.32,231.40K,-0.39%
09.12.2025,260.11,259.09,263.1,258.58,337.30K,0.10%
08.12.2025,259.85,254.15,261.0,252.01,322.56K,2.24%
05.12.2025,254.15,258.22,259.99,253.04,214.06K,-2.05%
04.12.2025,259.47,251.73,260.24,248.48,247.63K,3.02%
03.12.2025,251.86,248.21,252.79,246.03,338.95K,0.05%
02.12.2025,251.74,246.0,252.13,246.0,375.23K,2.33%
01.12.2025,246.0,251.0,251.47,245.02,262.86K,-2.14%
28.11.2025,251.37,243.95,253.54,241.03,209.24K,1.82%
27.11.2025,246.87,249.24,249.24,244.0,35.15K,-1.47%
26.11.2025,250.55,251.25,252.85,247.0,195.44K,1.03%
25.11.2025,248.0,241.5,248.58,240.11,494.05K,1.97%
24.11.2025,243.22,245.56,250.53,242.47,861.84K,-0.95%
21.11.2025,245.56,249.14,249.97,239.04,312.33K,-1.24%
20.11.2025,248.64,250.5,254.52,246.27,187.02K,-0.67%
19.11.2025,250.32,246.58,255.9,246.58,268.37K,1.03%
18.11.2025,247.77,247.47,252.4,246.68,235.97K,0.12%
14.11.2025,247.47,250.95,250.95,244.51,318.97K,-0.78%
13.11.2025,249.41,250.15,256.76,246.04,410.96K,-0.80%
12.11.2025,251.41,255.0,257.62,250.72,227.10K,-1.90%
11.11.2025,256.29,255.96,258.63,253.21,201.01K,0.93%
10.11.2025,253.94,251.11,255.99,250.55,183.25K,1.11%
07.11.2025,251.16,248.92,251.96,247.54,176.68K,1.26%
06.11.2025,248.04,254.0,257.79,247.13,248.84K,-2.15%
05.11.2025,253.48,247.0,267.36,245.99,577.19K,3.14%
04.11.2025,245.77,241.59,249.9,239.8,202.96K,1.61%
03.11.2025,241.87,240.84,250.0,239.65,222.03K,0.52%
31.10.2025,240.61,240.0,244.73,236.54,376.32K,-2.16%
30.10.2025,245.91,248.71,252.98,242.3,297.77K,-1.62%
29.10.2025,249.96,239.45,251.0,239.45,276.23K,3.86%
28.10.2025,240.66,233.69,241.71,233.69,308.04K,2.96%
27.10.2025,233.73,229.0,235.22,226.75,342.77K,2.74%
24.10.2025,227.5,235.33,236.0,226.27,344.01K,-2.84%
23.10.2025,234.16,229.75,234.78,228.51,261.49K,1.88%
22.10.2025,229.83,227.79,230.5,226.52,301.04K,0.93%
21.10.2025,227.72,230.22,230.22,226.13,226.33K,-1.52%
20.10.2025,231.23,233.56,233.56,227.95,245.23K,-0.37%
17.10.2025,232.09,242.62,243.13,231.55,216.61K,-4.55%
16.10.2025,243.16,232.83,244.09,232.83,236.87K,4.75%
15.10.2025,232.13,234.37,234.37,228.5,1.18M,-0.12%
14.10.2025,232.4,234.89,236.98,230.27,196.57K,-1.18%
13.10.2025,235.17,231.57,237.83,229.38,239.44K,2.04%
10.10.2025,230.47,236.99,236.99,229.87,789.44K,-0.98%
09.10.2025,232.74,234.26,235.01,230.88,225.29K,-0.73%
08.10.2025,234.45,235.06,239.89,233.6,255.74K,-0.76%
07.10.2025,236.25,241.34,241.85,235.89,256.62K,-1.62%
06.10.2025,240.14,240.65,241.25,237.0,251.84K,0.45%
03.10.2025,239.06,245.05,247.0,235.51,194.92K,-2.19%
02.10.2025,244.41,248.65,248.72,243.02,210.13K,-1.22%
01.10.2025,247.42,251.03,251.03,242.48,303.56K,-0.97%
