Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
16.12.2025,"6,935.4","6,977.9","7,019.1","6,889.0",,-0.79%
15.12.2025,"6,990.4","7,096.3","7,126.0","6,971.4",,-0.61%
12.12.2025,"7,033.6","7,297.8","7,331.4","7,003.4",,-5.10%
11.12.2025,"7,411.5","7,353.1","7,419.6","7,208.2",,-0.75%
10.12.2025,"7,467.5","7,369.7","7,490.3","7,333.5",,1.29%
09.12.2025,"7,372.5","7,325.8","7,386.4","7,300.0",,-0.04%
08.12.2025,"7,375.2","7,358.2","7,410.5","7,302.7",,1.10%
06.12.2025,"7,294.8","7,303.1","7,294.8","7,294.8",,0.00%
05.12.2025,"7,294.8","7,303.1","7,377.3","7,282.3",,1.09%
04.12.2025,"7,216.0","7,238.7","7,267.4","7,180.8",,-0.89%
03.12.2025,"7,280.5","7,164.8","7,284.4","7,099.8",,1.83%
02.12.2025,"7,149.5","7,098.6","7,211.1","7,057.3",,1.84%
01.12.2025,"7,020.5","6,945.2","7,081.1","6,920.7",,-0.07%
28.11.2025,"7,025.1","6,926.9","7,028.1","6,907.8",,1.82%
26.11.2025,"6,899.5","6,801.6","6,958.9","6,790.3",,2.76%
25.11.2025,"6,714.2","6,617.1","6,731.0","6,457.3",,0.16%
24.11.2025,"6,703.2","6,494.9","6,733.0","6,475.4",,4.63%
21.11.2025,"6,406.4","6,351.1","6,505.9","6,160.0",,0.86%
20.11.2025,"6,352.1","6,863.1","6,883.0","6,327.8",,-4.77%
19.11.2025,"6,670.0","6,577.3","6,751.8","6,553.0",,1.82%
18.11.2025,"6,551.0","6,622.0","6,651.6","6,479.7",,-2.31%
17.11.2025,"6,705.7","6,756.6","6,886.6","6,631.3",,-1.55%
14.11.2025,"6,811.2","6,634.9","6,911.9","6,587.8",,-0.11%
13.11.2025,"6,818.7","7,003.2","7,008.4","6,750.1",,-3.72%
12.11.2025,"7,082.1","7,112.2","7,130.5","7,035.3",,1.47%
11.11.2025,"6,979.7","7,077.4","7,099.8","6,965.8",,-2.48%
10.11.2025,"7,157.0","7,136.7","7,178.3","7,066.5",,3.02%
07.11.2025,"6,947.4","6,917.8","6,949.2","6,688.8",,-1.01%
06.11.2025,"7,018.4","7,195.2","7,226.1","6,974.1",,-2.39%
05.11.2025,"7,190.3","7,024.3","7,277.8","7,023.0",,3.02%
04.11.2025,"6,979.6","7,074.4","7,190.6","6,972.4",,-4.01%
03.11.2025,"7,271.0","7,342.8","7,353.6","7,248.7",,0.59%
31.10.2025,"7,228.7","7,284.3","7,345.9","7,171.7",,0.18%
30.10.2025,"7,216.0","7,283.1","7,351.1","7,213.4",,-1.53%
29.10.2025,"7,327.9","7,342.5","7,392.6","7,257.8",,1.85%
28.10.2025,"7,194.7","7,158.2","7,223.8","7,136.4",,0.37%
27.10.2025,"7,168.0","7,103.6","7,175.5","7,083.1",,2.74%
24.10.2025,"6,976.9","6,970.2","7,021.4","6,961.2",,1.89%
23.10.2025,"6,847.4","6,648.3","6,861.5","6,648.3",,2.54%
22.10.2025,"6,677.6","6,764.4","6,819.8","6,547.4",,-2.36%
21.10.2025,"6,839.3","6,864.2","6,875.7","6,793.1",,-0.66%
20.10.2025,"6,885.0","6,858.6","6,935.6","6,855.2",,1.58%
17.10.2025,"6,778.0","6,742.0","6,812.3","6,673.6",,-0.32%
16.10.2025,"6,800.0","6,848.2","6,880.6","6,728.0",,0.49%
15.10.2025,"6,767.1","6,723.0","6,780.7","6,632.1",,2.99%
14.10.2025,"6,570.3","6,582.3","6,706.4","6,532.7",,-2.28%
13.10.2025,"6,723.5","6,662.9","6,742.4","6,612.9",,4.93%
10.10.2025,"6,407.6","6,853.4","6,867.9","6,403.2",,-6.32%
09.10.2025,"6,840.2","6,845.4","6,869.1","6,776.8",,-0.29%
08.10.2025,"6,860.2","6,625.3","6,867.1","6,624.1",,3.40%
07.10.2025,"6,634.8","6,837.7","6,847.5","6,622.6",,-2.06%
06.10.2025,"6,774.1","6,852.7","6,881.9","6,773.3",,2.89%
03.10.2025,"6,583.7","6,655.1","6,683.4","6,547.4",,-0.64%
