Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,0.8519,0.8551,0.856,0.8502,,-0.36%
10.12.2025,0.855,0.8601,0.8605,0.8547,,-0.59%
09.12.2025,0.8601,0.8594,0.861,0.8579,,0.09%
08.12.2025,0.8593,0.8588,0.8609,0.8567,,0.03%
05.12.2025,0.859,0.8588,0.86,0.8568,,0.02%
04.12.2025,0.8588,0.8569,0.8591,0.856,,0.23%
03.12.2025,0.8568,0.8602,0.8606,0.8564,,-0.42%
02.12.2025,0.8604,0.8613,0.8628,0.8601,,-0.12%
01.12.2025,0.8614,0.8624,0.8629,0.8582,,-0.12%
28.11.2025,0.8624,0.8624,0.8655,0.8614,,0.00%
27.11.2025,0.8624,0.8624,0.8639,0.861,,0.00%
26.11.2025,0.8624,0.8643,0.8661,0.862,,-0.22%
25.11.2025,0.8643,0.868,0.8688,0.8631,,-0.43%
24.11.2025,0.868,0.8686,0.8694,0.8658,,-0.07%
21.11.2025,0.8686,0.8674,0.8704,0.8656,,0.14%
20.11.2025,0.8674,0.8668,0.8691,0.8658,,0.07%
19.11.2025,0.8668,0.8635,0.8682,0.8622,,0.38%
18.11.2025,0.8635,0.8627,0.8643,0.8615,,0.09%
17.11.2025,0.8627,0.8605,0.8634,0.8602,,0.26%
14.11.2025,0.8605,0.8592,0.8617,0.858,,0.09%
13.11.2025,0.8597,0.8626,0.8637,0.8579,,-0.34%
12.11.2025,0.8626,0.8635,0.8649,0.8622,,-0.10%
11.11.2025,0.8635,0.8653,0.8661,0.8616,,-0.21%
10.11.2025,0.8653,0.8646,0.8666,0.8633,,0.08%
07.11.2025,0.8646,0.8661,0.8674,0.8627,,-0.16%
06.11.2025,0.866,0.8702,0.8703,0.8657,,-0.47%
05.11.2025,0.8701,0.8709,0.872,0.8697,,-0.09%
04.11.2025,0.8709,0.8681,0.8716,0.867,,0.32%
03.11.2025,0.8681,0.8669,0.8692,0.8665,,0.14%
31.10.2025,0.8669,0.8647,0.868,0.8637,,0.25%
30.10.2025,0.8647,0.8621,0.8661,0.8593,,0.31%
29.10.2025,0.862,0.8583,0.8638,0.8572,,0.43%
28.10.2025,0.8583,0.8588,0.8602,0.857,,-0.06%
27.10.2025,0.8588,0.8602,0.8608,0.8582,,-0.16%
24.10.2025,0.8602,0.8608,0.8621,0.8585,,-0.06%
23.10.2025,0.8607,0.8613,0.8632,0.8606,,-0.07%
22.10.2025,0.8613,0.8621,0.8638,0.8604,,-0.09%
21.10.2025,0.8621,0.8589,0.8623,0.858,,0.36%
20.10.2025,0.859,0.8575,0.8593,0.8564,,0.08%
17.10.2025,0.8583,0.8556,0.8584,0.8526,,0.30%
16.10.2025,0.8557,0.8586,0.859,0.8551,,-0.34%
15.10.2025,0.8586,0.8616,0.862,0.8585,,-0.35%
14.10.2025,0.8616,0.8643,0.8665,0.8609,,-0.32%
13.10.2025,0.8644,0.8606,0.8653,0.8599,,0.44%
10.10.2025,0.8606,0.8647,0.8654,0.8598,,-0.47%
09.10.2025,0.8647,0.8603,0.8664,0.8585,,0.55%
08.10.2025,0.86,0.8581,0.8622,0.8575,,0.24%
07.10.2025,0.8579,0.8538,0.8586,0.8535,,0.46%
06.10.2025,0.854,0.8516,0.8583,0.8516,,0.28%
03.10.2025,0.8516,0.8536,0.8538,0.8504,,-0.23%
02.10.2025,0.8536,0.8526,0.856,0.8504,,0.13%
01.10.2025,0.8525,0.8523,0.8537,0.849,,0.02%
30.09.2025,0.8523,0.8528,0.8539,0.8502,,-0.06%
29.09.2025,0.8528,0.8546,0.8547,0.8507,,-0.21%
26.09.2025,0.8546,0.8572,0.8578,0.8542,,-0.30%
25.09.2025,0.8572,0.8519,0.8587,0.8507,,0.62%
24.09.2025,0.8519,0.8464,0.8527,0.8461,,0.65%
23.09.2025,0.8464,0.8473,0.849,0.846,,-0.09%
22.09.2025,0.8472,0.8514,0.8528,0.8471,,-0.49%
19.09.2025,0.8514,0.8484,0.8526,0.848,,0.35%
18.09.2025,0.8484,0.8466,0.8511,0.844,,0.21%
17.09.2025,0.8466,0.8426,0.8469,0.839,,0.47%
16.09.2025,0.8426,0.8501,0.8506,0.8419,,-0.91%
15.09.2025,0.8503,0.8523,0.8536,0.8493,,-0.23%
12.09.2025,0.8523,0.8523,0.8547,0.8512,,0.00%
11.09.2025,0.8523,0.8551,0.8575,0.8513,,-0.33%
10.09.2025,0.8551,0.8541,0.856,0.8524,,0.11%
09.09.2025,0.8542,0.8502,0.8545,0.8489,,0.48%
08.09.2025,0.8501,0.8534,0.8546,0.8499,,-0.39%
05.09.2025,0.8534,0.8585,0.8587,0.8503,,-0.59%
04.09.2025,0.8585,0.8576,0.8599,0.8569,,0.10%
03.09.2025,0.8576,0.8592,0.8615,0.8559,,-0.17%
02.09.2025,0.8591,0.8539,0.8612,0.8533,,0.61%
01.09.2025,0.8539,0.8558,0.8558,0.852,,-0.22%
29.08.2025,0.8558,0.856,0.8583,0.854,,-0.02%
28.08.2025,0.856,0.8592,0.86,0.8548,,-0.37%
27.08.2025,0.8592,0.8589,0.864,0.8585,,0.02%
26.08.2025,0.859,0.8606,0.862,0.8572,,-0.20%
25.08.2025,0.8607,0.8535,0.8619,0.8526,,0.84%
22.08.2025,0.8535,0.8616,0.8634,0.8515,,-0.95%
21.08.2025,0.8617,0.8582,0.8621,0.8574,,0.40%
20.08.2025,0.8583,0.8587,0.8605,0.8566,,-0.03%
19.08.2025,0.8586,0.8576,0.8592,0.8552,,0.12%
18.08.2025,0.8576,0.8552,0.858,0.8534,,0.32%
15.08.2025,0.8549,0.8585,0.8587,0.8536,,-0.43%
14.08.2025,0.8586,0.8543,0.8598,0.8536,,0.50%
13.08.2025,0.8543,0.8566,0.8571,0.8525,,-0.28%
12.08.2025,0.8567,0.8609,0.8622,0.8549,,-0.49%
11.08.2025,0.8609,0.859,0.8628,0.8564,,0.21%
08.08.2025,0.8591,0.8573,0.8599,0.8562,,0.21%
07.08.2025,0.8573,0.8577,0.8613,0.8547,,-0.05%
06.08.2025,0.8577,0.8641,0.8648,0.857,,-0.72%
05.08.2025,0.8639,0.8643,0.8676,0.8629,,-0.05%
04.08.2025,0.8643,0.8637,0.8659,0.8623,,0.13%
01.08.2025,0.8632,0.8761,0.8779,0.8623,,-1.46%
31.07.2025,0.876,0.877,0.877,0.8725,,-0.09%
30.07.2025,0.8768,0.8661,0.8772,0.8641,,1.24%
29.07.2025,0.8661,0.8629,0.8683,0.8621,,0.37%
28.07.2025,0.8629,0.8513,0.8632,0.8494,,1.32%
25.07.2025,0.8517,0.8512,0.8545,0.8503,,0.06%
24.07.2025,0.8512,0.8495,0.8525,0.8482,,0.20%
23.07.2025,0.8495,0.8508,0.854,0.8492,,-0.14%
22.07.2025,0.8507,0.8551,0.8563,0.8503,,-0.51%
21.07.2025,0.8551,0.8601,0.861,0.8534,,-0.59%
18.07.2025,0.8602,0.8624,0.8628,0.8567,,-0.26%
17.07.2025,0.8624,0.8591,0.8653,0.8589,,0.34%
16.07.2025,0.8595,0.8621,0.8649,0.8531,,-0.29%
15.07.2025,0.862,0.8571,0.8627,0.8552,,0.55%
14.07.2025,0.8573,0.8578,0.8584,0.8549,,0.21%
11.07.2025,0.8555,0.8547,0.8573,0.8537,,0.09%
