Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
01.01.2016,17.17,17.18,17.18,17.18,,0.00%
31.12.2015,17.17,17.38,17.4194,17.1767,,-1.19%
30.12.2015,17.3762,17.25,17.4066,17.2438,,0.76%
29.12.2015,17.2445,17.2432,17.2794,17.154,,-0.01%
28.12.2015,17.2468,17.2293,17.3133,17.2284,,0.16%
25.12.2015,17.22,17.225,17.2321,17.225,,0.00%
24.12.2015,17.22,17.2225,17.3211,17.204,,0.00%
23.12.2015,17.22,17.1921,17.2539,17.1525,,0.19%
22.12.2015,17.1868,17.1603,17.2404,17.0947,,0.21%
21.12.2015,17.15,17.1298,17.2298,17.0275,,0.06%
18.12.2015,17.14,17.049,17.1477,16.9543,,0.59%
17.12.2015,17.04,16.9825,17.1574,16.923,,0.38%
16.12.2015,16.9752,17.1115,17.1951,16.8944,,-0.73%
15.12.2015,17.1,17.313,17.3536,17.1025,,-1.19%
14.12.2015,17.3065,17.3298,17.4687,17.2897,,-0.48%
11.12.2015,17.3901,17.1936,17.4404,17.1793,,1.17%
10.12.2015,17.1897,17.0638,17.2137,17.0287,,0.77%
09.12.2015,17.058,17.027,17.102,16.921,,0.21%
08.12.2015,17.022,16.8889,17.0793,16.8809,,0.80%
07.12.2015,16.8869,16.6618,16.9791,16.66,,1.44%
04.12.2015,16.6473,16.7128,16.7757,16.645,,-0.38%
03.12.2015,16.7114,16.5687,16.7576,16.5225,,0.89%
02.12.2015,16.5637,16.5235,16.6239,16.4984,,0.29%
01.12.2015,16.5156,16.5733,16.581,16.4679,,-0.34%
30.11.2015,16.5715,16.6322,16.6352,16.5491,,-0.29%
27.11.2015,16.6202,16.5613,16.6349,16.5364,,0.35%
26.11.2015,16.5621,16.5028,16.5738,16.4942,,0.39%
25.11.2015,16.4974,16.5357,16.59,16.4855,,-0.22%
24.11.2015,16.5333,16.5493,16.5716,16.4365,,-0.03%
23.11.2015,16.5388,16.5258,16.6309,16.4805,,0.05%
20.11.2015,16.5305,16.619,16.6604,16.4555,,-0.51%
