Date,Close,Open,High,Low,Vol.,Change %
12/12/25,0.00023255,0.00023382,0.00023455,0.00022976,,-0.56%
12/11/25,0.00023386,0.00023626,0.00023774,0.00023334,,-1.01%
12/10/25,0.00023625,0.00023746,0.00023902,0.00023597,,-0.51%
12/09/25,0.00023745,0.00023844,0.0002397,0.00023692,,-0.40%
12/08/25,0.0002384,0.00023805,0.00023938,0.00023706,,0.17%
12/07/25,0.00023799,0.00023819,0.00023838,0.00023759,,-0.08%
12/05/25,0.00023819,0.00023779,0.00023855,0.00023479,,0.18%
12/04/25,0.00023777,0.00023771,0.00023937,0.00023703,,0.03%
12/03/25,0.00023769,0.00023751,0.00023834,0.00023577,,0.13%
12/02/25,0.00023737,0.00023662,0.00024001,0.00023637,,0.35%
12/01/25,0.00023655,0.00023679,0.00023714,0.00023453,,-0.09%
11/30/2025,0.00023676,0.00023701,0.00023758,0.0002367,,-0.11%
11/28/2025,0.00023701,0.00024019,0.00024057,0.00023669,,-1.32%
11/27/2025,0.00024018,0.00024011,0.00024135,0.00023998,,0.03%
11/26/2025,0.0002401,0.0002419,0.0002419,0.00023966,,-0.76%
11/25/2025,0.00024193,0.00024136,0.00024329,0.00024055,,0.22%
11/24/2025,0.00024139,0.00024533,0.0002475,0.00024136,,-1.63%
11/23/2025,0.0002454,0.000246,0.000246,0.00024531,,-0.24%
11/21/2025,0.000246,0.00024511,0.00024816,0.00024384,,0.34%
11/20/2025,0.00024516,0.00024358,0.00024741,0.00024336,,0.62%
11/19/2025,0.00024365,0.00024549,0.00024646,0.00024201,,-0.67%
11/18/2025,0.00024529,0.00024783,0.00025004,0.00024498,,-0.97%
11/17/2025,0.0002477,0.00024419,0.0002493,0.00024382,,1.52%
11/16/2025,0.00024399,0.00024479,0.0002452,0.00024352,,-0.33%
11/14/2025,0.00024479,0.00023899,0.00024793,0.00023748,,2.43%
11/13/2025,0.00023899,0.00023864,0.00024107,0.00023568,,0.16%
11/12/25,0.00023861,0.00024139,0.00024388,0.0002375,,-1.16%
11/11/25,0.00024142,0.00024279,0.00024402,0.00024108,,-0.54%
11/10/25,0.00024273,0.00024927,0.00024927,0.00024266,,-2.65%
11/09/25,0.00024933,0.00024993,0.00024993,0.00024929,,-0.24%
11/07/25,0.00024993,0.00025077,0.00025095,0.00024836,,-0.30%
11/06/25,0.00025067,0.00025181,0.00025219,0.00024881,,-0.39%
11/05/25,0.00025165,0.00025422,0.0002544,0.00025063,,-0.96%
11/04/25,0.0002541,0.00025009,0.00025444,0.00024998,,1.60%
11/03/25,0.00025011,0.00025121,0.0002523,0.0002482,,-0.48%
11/02/25,0.00025131,0.00024984,0.00025134,0.00024984,,0.59%
10/31/2025,0.00024984,0.00024776,0.00025164,0.00024761,,0.95%
10/30/2025,0.0002475,0.00025294,0.00025495,0.00024732,,-2.15%
10/29/2025,0.00025294,0.00025237,0.0002548,0.00024819,,0.28%
