Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
17.12.2025,153.79,154.23,154.78,153.67,9.09M,-0.18%
16.12.2025,154.07,156.04,156.12,153.09,12.49M,-1.30%
15.12.2025,156.1,154.47,156.31,154.44,14.68M,1.32%
12.12.2025,154.06,153.75,154.56,153.41,13.18M,0.31%
11.12.2025,153.58,152.76,154.3,152.26,14.70M,0.95%
10.12.2025,152.14,150.38,152.18,149.87,15.53M,1.45%
09.12.2025,149.96,152.0,152.68,149.85,11.54M,-0.97%
08.12.2025,151.43,153.35,153.42,151.2,11.00M,-1.19%
05.12.2025,153.26,154.45,154.63,152.96,8.87M,-0.42%
04.12.2025,153.9,155.0,155.03,153.37,13.67M,-0.76%
03.12.2025,155.08,154.67,155.78,154.66,12.72M,0.47%
02.12.2025,154.36,155.25,155.47,154.13,16.15M,-0.60%
01.12.2025,155.29,157.04,157.86,155.18,17.32M,-1.50%
28.11.2025,157.65,158.2,158.25,157.16,8.56M,-0.49%
26.11.2025,158.42,158.42,158.95,158.15,12.40M,-0.22%
25.11.2025,158.77,155.77,158.89,155.77,17.30M,2.26%
24.11.2025,155.26,155.14,156.16,154.48,17.93M,0.42%
21.11.2025,154.61,151.79,155.71,151.71,25.53M,2.11%
20.11.2025,151.42,152.49,153.34,151.12,25.28M,-0.60%
19.11.2025,152.33,152.48,152.93,151.57,17.35M,-0.17%
18.11.2025,152.59,151.75,153.13,151.15,24.49M,0.59%
17.11.2025,151.7,151.34,153.32,151.14,17.52M,-0.09%
14.11.2025,151.83,152.21,152.91,151.19,15.47M,-0.60%
13.11.2025,152.74,152.04,154.51,151.86,21.81M,-0.05%
12.11.2025,152.82,150.99,153.16,150.72,17.85M,1.42%
11.11.2025,150.68,147.6,150.82,147.6,12.66M,2.31%
10.11.2025,147.28,145.79,147.43,145.72,12.31M,0.78%
07.11.2025,146.14,145.84,146.15,144.72,14.52M,0.14%
06.11.2025,145.94,145.14,146.11,144.94,14.40M,0.19%
05.11.2025,145.66,144.63,146.26,144.38,13.15M,0.39%
04.11.2025,145.1,143.77,145.49,143.49,14.18M,0.45%
