Date,Close
01/01/21,38.52
01/02/21,39.3
01/03/21,42.9
01/04/21,40.54
01/05/21,43.85
01/06/21,43.89
01/07/21,45.88
01/08/21,50.82
01/09/21,58.04
01/10/21,60.94
01/11/21,56.22
01/12/21,62.97
01/01/22,64.59
01/02/22,63.07
01/03/22,60.06
01/04/22,62.9
01/05/22,64.72
01/06/22,65.37
01/07/22,72.04
01/08/22,66.22
01/09/22,70.97
01/10/22,76.71
01/11/22,81.94
01/12/22,82.36
01/01/23,94.02
01/02/23,86.85
01/03/23,90.68
01/04/23,96.3
01/05/23,94.56
01/06/23,91.65
01/07/23,86.81
01/08/23,83.88
01/09/23,84.02
01/10/23,73.38
01/11/23,87.64
01/12/23,85.95
01/01/24,78.52
01/02/24,71.3
01/03/24,78.47
01/04/24,71.78
01/05/24,63.89
01/06/24,64.61
01/07/24,65.17
01/08/24,70.47
01/09/24,67.76
01/10/24,62.16
01/11/24,59.77
01/12/24,55.24
01/01/25,54.41
01/02/25,55.13
01/03/25,55.64
01/04/25,59.63
01/05/25,54.21
01/06/25,52.35
01/07/25,54.74
01/08/25,58.05
01/09/25,65.04
01/10/25,64.2
01/11/25,58.15
01/12/25,59.12
01/01/26,57.98
