Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
01.12.2025,18.0089,18.2887,18.3285,17.9889,,-1.59%
01.11.2025,18.3,18.5526,18.7765,18.2512,,-1.41%
01.10.2025,18.562,18.3225,18.6425,18.2362,,1.36%
01.09.2025,18.3127,18.6505,18.8715,18.197,,-1.84%
01.08.2025,18.6555,18.89,18.986,18.5091,,-1.18%
01.07.2025,18.8779,18.7422,18.9096,18.5102,,0.70%
01.06.2025,18.747,19.428,19.4452,18.7373,,-3.52%
01.05.2025,19.43,19.62,19.7865,19.1815,,-0.94%
01.04.2025,19.6145,20.4784,21.088,19.4694,,-4.19%
01.03.2025,20.4715,20.5265,21.0035,19.8457,,-0.36%
01.02.2025,20.5445,21.16,21.2942,20.1936,,-0.67%
01.01.2025,20.683,20.8235,20.9425,20.1321,,-0.66%
01.12.2024,20.8197,20.375,20.9105,20.0204,,2.25%
01.11.2024,20.361,20.0325,20.8365,19.76,,1.74%
01.10.2024,20.012,19.7105,20.2345,19.1112,,1.70%
01.09.2024,19.678,19.7255,20.1555,19.0654,,-0.16%
01.08.2024,19.71,18.6,20.043,18.41,,5.97%
01.07.2024,18.6,18.3047,18.9492,17.6025,,1.47%
01.06.2024,18.33,16.9825,18.9955,16.917,,7.87%
01.05.2024,16.993,17.151,17.1742,16.524,,-0.83%
01.04.2024,17.1355,16.5885,17.9465,16.2602,,3.66%
01.03.2024,16.531,17.0655,17.0755,16.5095,,-3.04%
01.02.2024,17.049,17.219,17.2955,16.9939,,-0.95%
01.01.2024,17.212,16.9734,17.3965,16.7845,,1.52%
01.12.2023,16.954,17.3859,17.5655,16.8598,,-2.44%
01.11.2023,17.3784,18.0465,18.1164,17.0326,,-3.65%
01.10.2023,18.037,17.415,18.4905,17.379,,3.68%
01.09.2023,17.397,17.035,17.8186,16.9711,,2.17%
01.08.2023,17.027,16.745,17.435,16.6925,,1.79%
01.07.2023,16.728,17.1305,17.3968,16.6248,,-2.25%
01.06.2023,17.1135,17.6895,17.7282,17.0219,,-3.21%
01.05.2023,17.6819,17.985,18.0791,17.41,,-1.66%
01.04.2023,17.98,18.015,18.408,17.9327,,-0.17%
01.03.2023,18.0099,18.308,19.2348,17.8975,,-1.59%
01.02.2023,18.301,18.8355,19.2922,18.2765,,-2.76%
01.01.2023,18.82,19.4865,19.5369,18.5655,,-3.36%
01.12.2022,19.474,19.268,19.9191,19.1075,,1.16%
01.11.2022,19.251,19.811,19.8445,19.0403,,-2.74%
01.10.2022,19.794,20.1475,20.1775,19.7805,,-1.72%
01.09.2022,20.14,20.14,20.581,19.7518,,0.03%
01.08.2022,20.1348,20.383,20.8335,19.811,,-1.06%
01.07.2022,20.35,20.1035,21.0566,20.0875,,1.30%
01.06.2022,20.089,19.6574,20.7045,19.47,,2.22%
01.05.2022,19.6525,20.403,20.5131,19.4125,,-3.72%
01.04.2022,20.411,19.8695,20.645,19.7255,,2.85%
01.03.2022,19.845,20.47,21.4687,19.814,,-3.01%
01.02.2022,20.461,20.634,20.7915,20.1565,,-0.80%
01.01.2022,20.625,20.4944,20.9134,20.2753,,0.67%
01.12.2021,20.487,21.4475,21.5226,20.3269,,-4.43%
01.11.2021,21.4368,20.5745,22.155,20.2463,,4.34%
01.10.2021,20.545,20.6415,20.9037,20.1138,,-0.41%
01.09.2021,20.63,20.073,20.6854,19.8412,,2.83%
01.08.2021,20.063,19.899,20.4678,19.8015,,1.05%
01.07.2021,19.855,19.945,20.2525,19.7444,,-0.38%
01.06.2021,19.931,19.9535,20.7507,19.5967,,-0.08%
01.05.2021,19.9461,20.2415,20.3365,19.7183,,-1.38%
01.04.2021,20.226,20.439,20.498,19.78,,-0.96%
01.03.2021,20.422,20.862,21.6381,20.2803,,-2.04%
01.02.2021,20.848,20.475,21.051,19.885,,1.28%
01.01.2021,20.5855,19.8885,20.6045,19.5436,,3.60%
