Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,128.68,128.99,130.78,128.07,670.01K,0.52%
10.12.2025,128.02,129.58,129.58,126.78,597.51K,-0.98%
09.12.2025,129.29,129.45,129.51,127.65,526.75K,0.12%
08.12.2025,129.14,128.52,129.9,127.99,643.06K,0.51%
05.12.2025,128.49,129.0,130.5,128.09,365.88K,-0.19%
04.12.2025,128.74,130.1,131.5,128.19,374.92K,-0.97%
03.12.2025,130.0,130.82,130.82,128.01,310.03K,-0.12%
02.12.2025,130.16,133.47,135.53,129.02,1.02M,-1.99%
01.12.2025,132.8,133.74,134.18,132.51,403.05K,-0.70%
28.11.2025,133.74,132.71,134.58,128.01,214.74K,1.29%
27.11.2025,132.04,132.35,133.6,128.01,80.40K,-1.07%
26.11.2025,133.47,134.0,134.59,131.38,264.88K,0.01%
25.11.2025,133.46,132.03,133.69,130.99,262.37K,0.42%
24.11.2025,132.9,133.31,137.98,131.15,1.96M,-0.29%
21.11.2025,133.29,134.75,136.64,132.56,481.52K,-0.54%
20.11.2025,134.01,135.24,136.88,133.41,257.44K,-0.18%
19.11.2025,134.25,135.0,135.83,133.07,271.88K,-0.04%
18.11.2025,134.31,137.03,137.97,134.0,445.63K,-1.72%
14.11.2025,136.66,136.99,138.5,135.51,257.20K,0.45%
13.11.2025,136.05,136.0,137.96,135.55,346.63K,0.21%
12.11.2025,135.76,138.0,138.66,135.0,568.42K,-1.41%
11.11.2025,137.7,136.3,138.83,136.3,331.84K,1.32%
10.11.2025,135.9,136.37,136.47,135.37,263.40K,0.07%
07.11.2025,135.8,136.43,137.0,135.55,208.85K,-0.48%
06.11.2025,136.46,137.0,139.41,136.29,210.09K,-0.25%
05.11.2025,136.8,136.0,138.39,135.32,249.96K,0.92%
04.11.2025,135.55,133.93,136.76,133.93,414.26K,0.89%
03.11.2025,134.35,135.0,135.55,133.89,296.54K,-0.27%
31.10.2025,134.71,134.04,135.45,133.49,583.34K,0.15%
30.10.2025,134.51,135.13,135.86,133.87,664.77K,-0.52%
29.10.2025,135.21,135.9,135.93,134.39,388.33K,-0.37%
28.10.2025,135.71,132.02,136.33,132.0,828.41K,2.74%
27.10.2025,132.09,129.92,132.35,129.85,259.07K,1.84%
24.10.2025,129.7,129.77,130.9,129.48,357.18K,-0.42%
23.10.2025,130.25,130.44,130.84,128.96,250.20K,-0.25%
22.10.2025,130.58,129.11,130.92,127.91,427.89K,1.19%
21.10.2025,129.05,131.02,131.57,127.7,308.33K,-2.45%
20.10.2025,132.29,133.0,133.33,131.11,469.69K,-0.68%
17.10.2025,133.19,133.69,133.94,131.07,474.39K,0.27%
16.10.2025,132.83,131.88,133.98,131.79,359.46K,0.67%
