"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"06.03.2026","12.61","11.85","12.72","11.84","2.87M","7.41%"
"05.03.2026","11.74","11.52","11.80","11.30","4.50M","5.10%"
"04.03.2026","11.17","11.48","11.59","11.06","5.12M","-2.73%"
"03.03.2026","11.48","11.29","11.73","11.24","5.99M","5.18%"
"02.03.2026","10.92","11.22","11.24","10.87","8.39M","5.47%"
"27.02.2026","10.35","10.23","10.52","10.21","2.66M","0.32%"
"26.02.2026","10.32","10.21","10.36","9.94","2.73M","1.20%"
"25.02.2026","10.20","10.26","10.32","10.15","1.24M","-0.81%"
"24.02.2026","10.28","10.34","10.43","10.23","1.18M","-0.66%"
"23.02.2026","10.35","10.21","10.43","10.18","604.64K","0.85%"
"20.02.2026","10.26","10.30","10.33","10.23","1.17M","-0.48%"
"19.02.2026","10.31","10.18","10.31","10.16","1.23M","2.96%"
"18.02.2026","10.02","9.72","10.02","9.71","627.01K","3.54%"
"17.02.2026","9.67","9.80","9.90","9.61","669.08K","-1.94%"
"16.02.2026","9.86","9.74","9.86","9.70","520.96K","1.16%"
"13.02.2026","9.75","9.72","9.80","9.65","631.67K","-0.55%"
"12.02.2026","9.81","10.04","10.07","9.80","307.08K","-2.81%"
"11.02.2026","10.09","10.00","10.17","10.00","602.24K","1.58%"
"10.02.2026","9.93","9.95","10.01","9.90","399.15K","-0.36%"
"09.02.2026","9.97","9.73","9.97","9.72","354.53K","0.67%"
"06.02.2026","9.90","9.88","9.95","9.63","3.20M","1.54%"
"05.02.2026","9.75","9.87","9.95","9.68","1.00M","0.00%"
"04.02.2026","9.75","9.75","9.81","9.69","776.78K","0.78%"
"03.02.2026","9.68","9.52","9.70","9.42","478.54K","1.63%"
"02.02.2026","9.52","9.52","9.63","9.46","1.60M","-5.90%"
"30.01.2026","10.12","9.86","10.13","9.86","1.34M","0.58%"
"29.01.2026","10.06","9.86","10.19","9.86","6.04M","3.66%"
"28.01.2026","9.71","9.64","9.76","9.59","661.40K","1.62%"
"27.01.2026","9.55","9.35","9.57","9.32","481.75K","1.68%"
"26.01.2026","9.39","9.43","9.49","9.36","447.03K","-0.29%"
"23.01.2026","9.42","9.25","9.45","9.24","424.88K","2.23%"
"22.01.2026","9.22","9.34","9.35","9.20","405.58K","-1.54%"
"21.01.2026","9.36","9.21","9.38","9.16","240.20K","0.54%"
"20.01.2026","9.31","9.12","9.32","9.10","259.32K","1.28%"
"19.01.2026","9.19","9.14","9.20","9.07","287.53K","-0.51%"
"16.01.2026","9.24","9.16","9.27","9.14","1.08M","1.06%"
"15.01.2026","9.14","9.27","9.29","8.84","981.76K","-3.36%"
"14.01.2026","9.46","9.33","9.52","9.29","678.53K","0.62%"
"13.01.2026","9.40","9.21","9.42","9.20","779.04K","3.21%"
