"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"03.03.2026","204.980","216.900","216.900","198.000","12.66M","-6.92%"
"02.03.2026","220.230","219.000","220.940","214.910","5.21M","0.55%"
"27.02.2026","219.030","216.620","221.300","213.740","11.13M","1.21%"
"26.02.2026","216.420","213.950","216.950","205.000","7.02M","1.15%"
"25.02.2026","213.960","209.000","215.500","206.540","7.89M","2.93%"
"24.02.2026","207.870","204.990","208.730","202.030","9.06M","1.41%"
"23.02.2026","204.970","203.920","208.780","201.570","5.45M","0.00%"
"20.02.2026","204.960","201.180","205.040","200.610","2.89M","1.55%"
"19.02.2026","201.830","199.000","203.000","195.500","4.57M","1.14%"
"18.02.2026","199.550","196.950","202.930","196.770","6.30M","1.99%"
"17.02.2026","195.650","202.680","203.470","192.250","4.81M","-3.95%"
"16.02.2026","203.700","205.480","205.480","202.010","442.64K","-0.52%"
"13.02.2026","204.760","203.790","205.230","198.520","4.68M","0.86%"
"12.02.2026","203.020","206.780","208.260","200.100","4.98M","-1.33%"
"11.02.2026","205.760","203.030","206.370","201.800","6.87M","2.00%"
"10.02.2026","201.720","209.000","209.280","201.290","6.36M","-3.70%"
"09.02.2026","209.460","208.000","213.360","207.700","6.16M","1.23%"
"06.02.2026","206.920","200.520","207.710","199.440","5.91M","2.62%"
"05.02.2026","201.640","200.710","203.020","197.100","6.79M","-1.54%"
"04.02.2026","204.800","209.500","209.900","198.670","8.83M","-1.94%"
"03.02.2026","208.850","196.110","209.900","196.110","11.91M","7.63%"
"30.01.2026","194.050","207.000","208.650","192.410","11.43M","-7.00%"
"29.01.2026","208.650","207.220","210.000","203.100","11.79M","3.73%"
"28.01.2026","201.150","202.670","204.800","196.470","11.06M","0.60%"
"27.01.2026","199.950","199.570","201.990","198.100","6.81M","0.28%"
"26.01.2026","199.400","195.000","203.770","194.030","7.82M","3.35%"
"23.01.2026","192.930","194.910","196.020","187.340","9.17M","-0.53%"
"22.01.2026","193.950","196.000","198.000","193.000","6.61M","-0.89%"
"21.01.2026","195.700","198.910","204.000","195.000","7.29M","-1.61%"
"20.01.2026","198.910","199.980","200.000","196.190","4.93M","-0.37%"
"19.01.2026","199.650","195.270","200.000","194.500","1.84M","2.90%"
"16.01.2026","194.020","193.950","194.820","190.850","8.45M","-0.47%"
"15.01.2026","194.930","196.990","199.480","192.490","9.85M","-1.13%"
"14.01.2026","197.150","190.100","198.100","190.100","7.31M","3.99%"
"13.01.2026","189.580","190.510","191.880","187.000","7.57M","0.03%"
"12.01.2026","189.530","183.130","190.020","183.130","5.52M","3.58%"
"09.01.2026","182.980","177.180","183.400","177.000","9.64M","3.81%"
"08.01.2026","176.260","176.990","177.340","173.550","6.12M","-0.44%"
"07.01.2026","177.040","178.970","178.970","172.010","6.03M","-1.68%"
"06.01.2026","180.060","175.500","181.500","175.500","9.72M","2.47%"
"05.01.2026","175.720","171.500","177.700","171.500","5.85M","3.21%"
"02.01.2026","170.260","172.290","176.420","166.540","2.36M","0.14%"
"31.12.2025","170.030","169.990","170.500","168.020","1.89M","0.11%"
"30.12.2025","169.850","171.740","173.240","169.000","3.10M","-0.15%"
"29.12.2025","170.110","172.800","172.800","168.120","3.12M","-1.84%"
"26.12.2025","173.290","175.320","176.990","173.000","987.93K","-0.60%"
"24.12.2025","174.330","174.990","175.000","171.260","521.16K","-0.13%"
"23.12.2025","174.560","170.870","175.320","169.620","3.09M","2.62%"
"22.12.2025","170.110","164.640","171.210","164.640","3.93M","3.33%"
"19.12.2025","164.630","169.000","174.410","163.890","41.07M","-3.17%"
"18.12.2025","170.020","165.990","171.370","162.220","5.52M","4.46%"
"17.12.2025","162.760","168.020","168.940","162.090","4.53M","-2.35%"
"16.12.2025","166.680","170.690","170.690","165.770","7.14M","-1.96%"
"15.12.2025","170.010","172.540","174.010","168.710","4.64M","-1.47%"
"11.12.2025","172.540","166.390","174.750","165.130","6.62M","4.21%"
