Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
10.12.2025,18.6,18.6,19.29,18.59,4.00K,16.98%
25.09.2025,15.9,15.9,15.9,15.9,0.18K,-22.89%
22.09.2025,20.62,20.62,20.62,20.62,1.53K,18.46%
06.08.2025,17.41,17.41,17.41,17.41,0.88K,16.35%
01.08.2025,14.96,16.24,16.24,14.96,0.60K,-14.98%
17.07.2025,17.59,17.59,17.59,17.59,0.28K,2.95%
10.07.2025,17.09,17.09,17.09,17.09,4.61K,8.37%
26.06.2025,15.77,15.77,15.77,15.77,0.50K,-16.78%
27.05.2025,18.95,18.95,18.95,18.95,0.63K,2.43%
16.05.2025,18.5,18.5,18.5,18.5,0.20K,1.90%
15.05.2025,18.16,18.16,18.16,18.16,0.63K,2.04%
28.04.2025,17.79,17.79,17.79,17.79,0.15K,-6.36%
09.04.2025,19.0,19.0,19.0,19.0,0.10K,0.00%
03.04.2025,19.0,19.0,19.0,19.0,0.10K,15.92%
01.04.2025,16.39,16.13,17.75,16.07,1.25K,3.15%
31.03.2025,15.89,15.89,15.89,15.89,0.13K,-6.76%
20.03.2025,17.04,16.09,17.04,16.09,0.35K,1.19%
19.03.2025,16.84,16.28,16.84,16.28,0.25K,-8.96%
07.03.2025,18.5,18.5,18.5,18.5,0.20K,14.20%
05.02.2025,16.2,16.2,16.2,16.2,0.30K,-6.64%
03.02.2025,17.35,17.35,17.35,17.35,0.11K,-0.84%
31.01.2025,17.5,17.5,17.5,17.5,0.20K,-6.87%
27.01.2025,18.79,18.79,18.79,18.79,0.13K,21.23%
07.01.2025,15.5,14.16,15.5,14.16,0.62K,-3.13%
30.12.2024,16.0,16.2,16.2,16.0,0.40K,-3.61%
24.12.2024,16.6,16.16,17.33,16.16,1.17K,3.49%
11.12.2024,16.04,16.04,16.04,16.04,0.12K,-1.47%
08.11.2024,16.28,16.28,16.28,16.28,0.10K,-8.79%
29.10.2024,17.85,17.85,17.85,17.85,0.30K,2.00%
