Date,Close,Open,High,Low,Vol.,Change %
12/12/25,166.04,167.72,167.79,165.35,43.46K,-1.04%
12/11/25,167.79,166.94,167.86,166.37,20.85K,0.21%
12/10/25,167.44,166.2,167.72,166.07,24.80K,0.73%
12/09/25,166.22,166.32,166.83,166.14,19.29K,-0.11%
12/08/25,166.4,167.05,167.05,165.9,39.28K,-0.30%
12/05/25,166.9,166.94,167.48,166.68,38.63K,0.16%
12/04/25,166.64,166.79,166.79,166.07,52.91K,0.13%
12/03/25,166.43,165.5,166.62,165.5,19.30K,0.36%
12/02/25,165.84,165.94,166.35,165.63,19.69K,0.19%
12/01/25,165.52,165.02,166.21,165.02,30.69K,-0.42%
11/28/2025,166.22,165.69,166.22,165.69,12.15K,0.50%
11/26/2025,165.39,164.97,165.79,164.83,15.09K,0.70%
11/25/2025,164.24,162.6,164.24,161.74,49.73K,1.01%
11/24/2025,162.6,161.09,162.87,161.09,27.77K,1.55%
11/21/2025,160.13,159.28,161.43,158.24,34.24K,1.06%
11/20/2025,158.45,163.7,164.2,158.45,32.53K,-1.63%
11/19/2025,161.08,160.58,162.14,160.26,40.16K,0.38%
11/18/2025,160.47,160.79,161.61,159.79,40.75K,-0.75%
11/17/2025,161.69,162.98,163.89,161.0,20.30K,-0.98%
11/14/2025,163.29,161.77,164.29,161.49,28.14K,-0.07%
11/13/2025,163.4,165.69,165.69,163.23,47.35K,-1.72%
11/12/25,166.26,166.72,166.83,166.07,20.98K,0.05%
11/11/25,166.18,165.66,166.4,165.37,14.14K,0.14%
11/10/25,165.95,165.07,166.13,164.63,17.79K,1.54%
11/07/25,163.44,162.41,163.44,161.0,75.97K,0.22%
11/06/25,163.08,164.8,164.8,162.94,18.42K,-1.25%
11/05/25,165.14,164.12,165.68,164.12,17.21K,0.52%
11/04/25,164.29,164.49,165.4,164.27,29.30K,-1.21%
11/03/25,166.3,166.96,166.96,165.68,17.61K,0.09%
10/31/2025,166.15,166.83,166.83,165.48,12.31K,0.33%
10/30/2025,165.6,166.34,166.96,165.6,17.13K,-0.96%
10/29/2025,167.2,167.57,167.88,166.51,16.53K,-0.14%
10/28/2025,167.44,167.56,167.7,166.97,25.92K,0.23%
10/27/2025,167.05,166.55,167.11,166.41,22.61K,1.21%
10/24/2025,165.06,165.1,165.48,164.97,15.62K,0.76%
10/23/2025,163.81,162.82,164.0,162.82,14.98K,0.66%
10/22/2025,162.73,163.73,163.91,161.77,24.00K,-0.64%
10/21/2025,163.77,163.56,164.1,163.5,16.74K,-0.01%
10/20/2025,163.78,162.62,163.93,162.62,29.68K,1.11%
10/17/2025,161.99,160.74,162.24,160.74,16.89K,0.57%
10/16/2025,161.08,162.67,163.05,160.77,24.26K,-0.77%
10/15/2025,162.32,162.87,163.41,161.24,20.13K,0.39%
10/14/2025,161.69,160.22,162.46,159.47,35.40K,-0.02%
10/13/2025,161.72,161.02,161.96,161.02,26.62K,1.52%
10/10/25,159.3,163.9,164.27,159.24,82.02K,-2.62%
10/09/25,163.58,164.26,164.26,163.32,15.37K,-0.35%
10/08/25,164.15,163.55,164.18,163.34,21.16K,0.63%
10/07/25,163.13,164.11,164.11,162.77,16.33K,-0.43%
10/06/25,163.82,164.04,164.05,163.34,13.12K,0.37%
10/03/25,163.22,163.41,164.11,163.02,14.76K,-0.04%
10/02/25,163.28,163.58,163.58,162.75,11.61K,0.15%
10/01/25,163.04,161.69,163.14,161.69,27.41K,0.35%
09/30/2025,162.48,161.89,162.53,161.37,26.11K,0.36%
09/29/2025,161.89,162.02,162.22,161.59,13.21K,0.28%
09/26/2025,161.44,160.8,161.48,160.54,8.44K,0.60%
09/25/2025,160.47,160.43,160.86,159.96,15.40K,-0.53%
09/24/2025,161.33,162.34,162.34,161.0,12.00K,-0.37%
09/23/2025,161.92,162.9,162.9,161.69,28.49K,-0.55%
09/22/2025,162.82,161.82,162.92,161.82,12.48K,0.46%
09/19/2025,162.08,162.04,162.26,161.3,29.90K,0.43%
09/18/2025,161.39,161.35,161.94,160.97,26.93K,0.55%
09/17/2025,160.5,160.87,161.2,159.6,25.02K,-0.09%
09/16/2025,160.64,160.97,160.97,160.52,27.55K,-0.40%
09/15/2025,161.29,160.95,161.37,160.95,14.68K,0.49%
09/12/25,160.5,160.77,160.85,160.5,11.64K,-0.10%
09/11/25,160.66,159.69,160.81,159.67,22.60K,0.82%
09/10/25,159.35,159.72,159.87,158.96,19.14K,0.29%
09/09/25,158.89,158.74,158.93,158.18,16.72K,0.18%
09/08/25,158.6,158.41,158.7,158.25,16.96K,0.26%
09/05/25,158.19,159.18,159.37,157.35,11.16K,-0.22%
09/04/25,158.54,157.3,158.54,157.16,15.34K,0.88%
09/03/25,157.16,157.02,157.28,156.42,19.23K,0.43%
09/02/25,156.48,155.69,156.48,155.11,30.59K,-0.64%
08/29/2025,157.49,158.19,158.19,157.12,14.16K,-0.60%
08/28/2025,158.44,158.02,158.57,157.83,22.41K,0.35%
08/27/2025,157.88,157.3,158.07,157.3,8.22K,0.21%
08/26/2025,157.55,156.72,157.55,156.72,11.17K,0.46%
08/25/2025,156.82,157.19,157.48,156.82,18.08K,-0.48%
08/22/2025,157.57,155.5,157.85,155.5,14.04K,1.63%
08/21/2025,155.04,155.26,155.56,154.72,27.76K,-0.34%
08/20/2025,155.57,156.02,156.02,154.43,8.55K,-0.26%
08/19/2025,155.97,156.81,157.1,155.78,20.80K,-0.61%
08/18/2025,156.93,156.89,156.99,156.7,19.97K,0.04%
08/15/2025,156.86,157.56,157.56,156.83,26.27K,-0.29%
08/14/2025,157.31,156.74,157.39,156.74,11.73K,-0.09%
08/13/2025,157.45,157.24,157.54,156.87,31.77K,0.42%
08/12/25,156.79,155.89,156.79,155.57,17.08K,1.16%
08/11/25,154.99,155.3,155.68,154.71,13.89K,-0.19%
08/08/25,155.28,154.62,155.44,154.62,10.41K,0.65%
08/07/25,154.28,155.23,155.5,153.5,23.33K,-0.02%
08/06/25,154.31,153.62,154.43,153.34,11.24K,0.65%
08/05/25,153.32,154.2,154.34,152.99,11.44K,-0.43%
08/04/25,153.98,152.79,153.98,152.79,19.45K,1.48%
08/01/25,151.74,152.68,152.68,151.09,36.64K,-1.70%
07/31/2025,154.37,156.1,156.17,154.16,17.15K,-0.30%
07/30/2025,154.84,155.38,155.65,154.29,17.27K,-0.15%
07/29/2025,155.08,155.81,155.87,154.89,23.46K,-0.25%
07/28/2025,155.47,155.73,155.76,155.22,16.35K,0.00%
07/25/2025,155.48,155.1,155.61,155.0,9.40K,0.46%
07/24/2025,154.76,154.99,155.15,154.76,18.43K,0.00%
07/23/2025,154.76,154.1,154.76,153.88,22.00K,0.78%
07/22/2025,153.56,153.61,153.72,153.06,15.68K,0.11%
07/21/2025,153.39,153.44,154.18,153.39,28.42K,0.07%
07/18/2025,153.28,153.78,153.78,152.97,34.83K,-0.02%
07/17/2025,153.31,152.56,153.47,152.56,17.95K,0.59%
07/16/2025,152.41,152.27,152.45,150.9,17.09K,0.32%
07/15/2025,151.93,153.33,153.33,151.93,18.16K,-0.37%
07/14/2025,152.5,151.98,152.67,151.94,36.92K,0.16%
07/11/25,152.25,152.13,152.55,151.9,27.37K,-0.39%
07/10/25,152.84,152.52,153.13,152.18,30.21K,0.24%
07/09/25,152.48,152.12,152.56,151.9,18.14K,0.61%
07/08/25,151.56,151.83,151.92,151.45,36.82K,-0.07%
07/07/25,151.67,152.31,152.39,151.29,27.17K,-0.67%
07/03/25,152.69,152.13,152.85,152.12,12.99K,0.81%
07/02/25,151.46,150.57,151.51,150.57,59.12K,0.47%
07/01/25,150.74,150.43,151.03,150.2,249.46K,-0.09%
06/30/2025,150.87,150.53,151.0,150.18,128.48K,0.57%
06/27/2025,150.02,149.48,150.38,149.38,21.74K,0.53%
06/26/2025,149.24,148.67,149.26,148.52,19.43K,0.82%
06/25/2025,148.02,148.39,148.47,147.92,12.05K,-0.11%
