Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,11.52,11.81,12.26,11.36,42.72M,-2.70%
11.12.2025,11.84,11.59,11.86,11.17,44.29M,-0.67%
10.12.2025,11.92,12.06,12.34,11.77,37.83M,-2.69%
09.12.2025,12.25,11.87,12.87,11.76,42.52M,1.66%
08.12.2025,12.05,12.03,12.11,11.56,33.65M,2.64%
05.12.2025,11.74,12.2,12.2,11.63,37.61M,-5.63%
04.12.2025,12.44,12.32,12.59,12.12,32.41M,-0.24%
03.12.2025,12.47,12.06,12.54,11.8,42.57M,4.70%
02.12.2025,11.91,11.98,12.42,11.7,46.13M,3.39%
01.12.2025,11.52,11.08,11.65,10.62,47.15M,-2.46%
28.11.2025,11.81,11.74,11.98,11.54,31.84M,6.30%
26.11.2025,11.11,11.32,11.52,10.9,49.74M,-0.54%
25.11.2025,11.17,10.9,11.23,10.63,39.38M,-0.36%
24.11.2025,11.21,10.38,11.27,10.12,53.59M,11.32%
21.11.2025,10.07,10.12,10.48,9.71,56.53M,-1.66%
20.11.2025,10.24,11.48,11.74,10.21,55.55M,-7.75%
19.11.2025,11.1,11.86,11.89,10.84,51.76M,-6.57%
18.11.2025,11.88,11.41,12.12,11.36,49.78M,3.21%
17.11.2025,11.51,12.02,12.27,11.1,53.54M,-4.00%
14.11.2025,11.99,12.39,12.69,11.96,49.80M,-6.18%
13.11.2025,12.78,14.25,14.28,12.68,53.57M,-11.31%
12.11.2025,14.41,14.96,14.98,13.98,41.65M,-1.50%
11.11.2025,14.63,15.27,15.32,14.49,50.68M,-6.10%
10.11.2025,15.58,16.56,16.62,15.56,37.14M,-1.83%
07.11.2025,15.87,15.39,15.89,14.81,51.50M,-0.56%
06.11.2025,15.96,17.0,17.06,15.93,40.69M,-6.83%
05.11.2025,17.13,17.22,18.04,17.07,43.79M,3.07%
04.11.2025,16.62,17.48,17.91,16.54,51.71M,-6.68%
03.11.2025,17.81,18.6,18.69,17.41,38.63M,-2.52%
31.10.2025,18.27,18.3,18.39,17.65,33.42M,2.87%
30.10.2025,17.76,18.47,18.68,17.76,34.39M,-5.93%
29.10.2025,18.88,19.04,19.27,18.15,33.79M,0.00%
28.10.2025,18.88,19.63,20.29,18.67,40.46M,-3.48%
27.10.2025,19.56,20.37,20.47,19.54,34.11M,0.10%
24.10.2025,19.54,19.77,20.04,19.2,30.81M,1.66%
23.10.2025,19.22,19.33,19.92,19.13,32.71M,0.37%
22.10.2025,19.15,19.57,20.02,18.39,41.37M,-4.58%
21.10.2025,20.07,20.37,21.04,19.66,40.02M,-3.18%
20.10.2025,20.73,20.55,22.09,20.1,49.22M,5.93%
17.10.2025,19.57,19.57,20.18,19.0,49.86M,-3.43%
16.10.2025,20.26,23.16,23.16,19.9,63.83M,-11.27%
15.10.2025,22.84,22.7,23.45,22.22,58.50M,2.70%
14.10.2025,22.24,19.37,22.98,19.0,72.23M,9.88%
13.10.2025,20.24,19.34,20.6,18.98,42.34M,8.53%
10.10.2025,18.65,20.76,22.06,18.18,80.37M,-7.67%
09.10.2025,20.2,20.33,20.66,19.43,49.47M,0.00%
08.10.2025,20.2,20.42,20.97,20.03,50.17M,-0.25%
07.10.2025,20.25,20.7,20.93,19.12,56.24M,-1.56%
06.10.2025,20.57,19.67,20.6,19.24,73.38M,9.30%
03.10.2025,18.82,19.03,19.61,18.45,60.74M,0.16%
02.10.2025,18.79,19.17,19.75,18.63,58.15M,0.97%
01.10.2025,18.61,18.86,19.41,18.2,65.82M,1.92%
30.09.2025,18.26,18.27,18.61,18.03,57.43M,-2.14%
29.09.2025,18.66,16.49,18.73,16.38,104.49M,15.69%
26.09.2025,16.13,16.21,16.37,15.73,51.92M,0.37%
25.09.2025,16.07,17.27,17.28,15.73,85.06M,-8.90%
24.09.2025,17.64,18.13,19.29,17.55,71.46M,-0.40%
23.09.2025,17.71,18.64,19.17,17.63,66.85M,-3.49%
22.09.2025,18.35,17.68,18.43,17.0,84.87M,0.33%
19.09.2025,18.29,18.5,18.71,18.26,62.94M,-1.14%
18.09.2025,18.5,17.75,19.22,17.38,83.11M,6.69%
17.09.2025,17.34,17.37,17.82,16.75,79.42M,-1.08%
16.09.2025,17.53,16.31,17.62,16.17,112.74M,7.94%
15.09.2025,16.24,16.24,16.35,15.57,76.84M,-0.43%
12.09.2025,16.31,15.84,16.64,15.58,70.58M,3.82%
11.09.2025,15.71,15.86,16.39,15.67,53.84M,-0.95%
10.09.2025,15.86,16.09,16.44,15.76,59.25M,-0.44%
09.09.2025,15.93,15.41,15.99,15.35,71.69M,4.80%
08.09.2025,15.2,15.2,15.35,14.98,59.27M,0.07%
05.09.2025,15.19,15.5,15.72,14.61,62.43M,0.53%
04.09.2025,15.11,15.73,15.87,15.04,53.26M,-4.91%
03.09.2025,15.89,16.15,16.68,15.65,56.72M,-1.06%
02.09.2025,16.06,15.66,16.55,15.38,56.25M,0.50%
29.08.2025,15.98,15.85,16.1,15.54,66.81M,0.13%
28.08.2025,15.96,16.1,16.31,15.84,38.34M,0.69%
27.08.2025,15.85,15.78,16.14,15.55,49.79M,0.06%
26.08.2025,15.84,15.33,15.97,15.21,50.80M,2.86%
25.08.2025,15.4,15.85,15.91,15.02,75.37M,-5.46%
22.08.2025,16.29,15.41,16.63,15.27,79.10M,5.03%
21.08.2025,15.51,15.13,15.58,15.02,47.74M,0.39%
20.08.2025,15.45,15.07,15.46,14.48,40.59M,1.85%
19.08.2025,15.17,16.15,16.25,15.02,40.76M,-5.72%
18.08.2025,16.09,15.26,16.35,15.26,50.67M,2.68%
15.08.2025,15.67,15.69,15.92,15.36,37.13M,-0.51%
