Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
"Mar 16, 2026","4,369.53","4,328.81","4,386.38","4,326.20",,0.93%
"Mar 15, 2026","4,329.25","4,328.81","4,329.36","4,328.46",,-0.01%
"Mar 13, 2026","4,329.54","4,361.74","4,392.45","4,324.01",,-0.76%
"Mar 12, 2026","4,373.72","4,424.08","4,423.11","4,361.24",,-1.18%
"Mar 11, 2026","4,426.04","4,434.32","4,448.76","4,409.82",,-0.27%
"Mar 10, 2026","4,438.01","4,421.62","4,470.23","4,421.62",,0.46%
"Mar 09, 2026","4,417.80","4,399.69","4,426.45","4,327.43",,0.40%
"Mar 08, 2026","4,400.04","4,401.78","4,401.78","4,399.67",,-0.16%
06.03.2026,"4,390.12","4,457.48","4,465.64","4,387.76",,-1.53%
05.03.2026,"4,458.16","4,488.73","4,499.95","4,427.58",,-0.65%
04.03.2026,"4,487.45","4,459.38","4,495.12","4,443.95",,0.69%
03.03.2026,"4,456.84","4,534.54","4,535.60","4,396.86",,-1.67%
02.03.2026,"4,532.50","4,553.03","4,554.50","4,490.26",,-0.42%
01.03.2026,"4,551.42","4,553.03","4,554.50","4,551.33",,-0.12%
27.02.2026,"4,556.79","4,565.21","4,574.55","4,532.54",,-0.20%
26.02.2026,"4,565.87","4,581.39","4,586.51","4,537.67",,-0.27%
25.02.2026,"4,578.08","4,541.75","4,581.65","4,541.48",,0.83%
24.02.2026,"4,540.38","4,516.46","4,545.58","4,502.65",,0.51%
23.02.2026,"4,517.31","4,559.03","4,559.65","4,507.30",,-0.92%
22.02.2026,"4,559.31","4,555.44","4,559.36","4,555.28",,0.09%
20.02.2026,"4,555.11","4,528.77","4,558.87","4,515.46",,0.59%
19.02.2026,"4,528.33","4,538.17","4,542.77","4,513.50",,-0.29%
18.02.2026,"4,541.48","4,514.51","4,554.59","4,514.10",,0.74%
17.02.2026,"4,507.95","4,508.17","4,523.27","4,470.36",,0.00%
16.02.2026,"4,508.07","4,512.64","4,512.64","4,507.45",,-0.09%
15.02.2026,"4,511.95","4,512.64","4,512.64","4,511.59",,0.05%
13.02.2026,"4,509.69","4,513.40","4,533.09","4,485.34",,-0.14%
12.02.2026,"4,515.82","4,571.57","4,592.38","4,509.56",,-1.16%
11.02.2026,"4,568.94","4,568.51","4,597.14","4,553.56",,-0.03%
10.02.2026,"4,570.51","4,571.36","4,591.16","4,566.65",,-0.01%
09.02.2026,"4,570.79","4,527.99","4,577.87","4,527.43",,0.92%
08.02.2026,"4,529.28","4,527.99","4,529.44","4,527.43",,0.01%
06.02.2026,"4,528.99","4,449.41","4,533.95","4,446.21",,1.73%
05.02.2026,"4,452.13","4,504.95","4,506.78","4,440.52",,-1.18%
04.02.2026,"4,505.15","4,523.10","4,536.65","4,482.27",,-0.40%
03.02.2026,"4,523.15","4,541.97","4,557.79","4,494.42",,-0.34%
02.02.2026,"4,538.49","4,521.03","4,547.40","4,512.17",,0.39%
01.02.2026,"4,520.81","4,521.03","4,521.81","4,519.39",,-0.15%
30.01.2026,"4,527.59","4,550.69","4,554.68","4,502.47",,-0.41%
29.01.2026,"4,546.29","4,554.06","4,568.33","4,499.46",,-0.14%
28.01.2026,"4,552.76","4,569.50","4,569.73","4,542.18",,-0.17%
27.01.2026,"4,560.73","4,532.35","4,572.64","4,530.58",,0.58%
26.01.2026,"4,534.47","4,520.68","4,540.25","4,511.64",,0.37%
25.01.2026,"4,517.78","4,520.68","4,521.24","4,517.19",,0.28%
23.01.2026,"4,505.18","4,501.77","4,515.99","4,492.08",,0.11%
22.01.2026,"4,500.06","4,468.70","4,510.93","4,467.58",,0.68%
21.01.2026,"4,469.60","4,436.93","4,484.86","4,429.11",,0.71%
20.01.2026,"4,438.23","4,509.25","4,509.74","4,433.56",,-1.58%
19.01.2026,"4,509.41","4,514.59","4,518.48","4,506.69",,-0.20%
18.01.2026,"4,518.27","4,514.59","4,518.48","4,514.59",,0.07%
16.01.2026,"4,515.28","4,518.12","4,527.73","4,504.86",,-0.06%
15.01.2026,"4,518.15","4,507.17","4,535.33","4,507.00",,0.21%
14.01.2026,"4,508.85","4,518.14","4,525.52","4,487.92",,-0.23%
13.01.2026,"4,519.08","4,521.28","4,531.73","4,506.55",,-0.07%
12.01.2026,"4,522.40","4,509.91","4,525.30","4,501.41",,0.28%
11.01.2026,"4,509.62","4,509.91","4,509.99","4,509.42",,-0.03%
09.01.2026,"4,511.01","4,484.22","4,516.05","4,483.40",,0.60%
08.01.2026,"4,484.29","4,489.06","4,489.06","4,472.03",,-0.13%
07.01.2026,"4,490.24","4,504.13","4,511.22","4,488.20",,-0.36%
06.01.2026,"4,506.64","4,479.96","4,508.10","4,479.96",,0.64%
05.01.2026,"4,477.92","4,443.35","4,487.83","4,443.26",,0.82%
04.01.2026,"4,441.36","4,442.21","4,442.57","4,441.23",,-0.09%
02.01.2026,"4,445.21","4,430.82","4,460.29","4,425.18",,0.33%
01.01.2026,"4,430.58","4,430.56","4,430.81","4,430.56",,0.00%
31.12.2025,"4,430.38","4,457.62","4,457.67","4,430.38",,-0.63%
30.12.2025,"4,458.28","4,461.27","4,468.10","4,456.31",,-0.07%
29.12.2025,"4,461.19","4,472.56","4,474.20","4,452.34",,-0.26%
28.12.2025,"4,472.71","4,472.56","4,473.21","4,472.47",,-0.01%
26.12.2025,"4,473.23","4,474.57","4,480.62","4,468.61",,-0.03%
25.12.2025,"4,474.59","4,474.77","4,475.09","4,473.80",,0.01%
24.12.2025,"4,474.20","4,465.91","4,476.84","4,461.95",,0.23%
23.12.2025,"4,463.97","4,442.84","4,465.83","4,442.84",,0.48%
22.12.2025,"4,442.65","4,414.33","4,444.63","4,413.79",,0.64%
21.12.2025,"4,414.20","4,414.33","4,414.50","4,413.79",,0.01%
19.12.2025,"4,413.79","4,382.22","4,418.61","4,379.54",,0.72%
18.12.2025,"4,382.41","4,350.56","4,403.01","4,347.77",,0.70%
17.12.2025,"4,352.02","4,391.63","4,397.26","4,349.99",,-0.93%
16.12.2025,"4,392.75","4,407.95","4,408.24","4,373.58",,-0.36%
15.12.2025,"4,408.60","4,407.97","4,431.13","4,401.44",,0.02%
14.12.2025,"4,407.65","4,407.97","4,408.15","4,407.58",,0.00%
12.12.2025,"4,407.82","4,444.62","4,452.75","4,394.65",,-0.82%
11.12.2025,"4,444.32","4,430.06","4,444.32","4,410.04",,0.44%
10.12.2025,"4,424.74","4,400.98","4,436.77","4,393.64",,0.56%
09.12.2025,"4,400.15","4,405.57","4,413.45","4,398.84",,-0.11%
08.12.2025,"4,405.03","4,418.63","4,423.06","4,396.86",,-0.30%
07.12.2025,"4,418.15","4,418.63","4,418.70","4,418.04",,-0.01%
05.12.2025,"4,418.63","4,415.12","4,434.59","4,411.08",,0.00%
04.12.2025,"4,418.46","4,403.45","4,419.98","4,402.02",,0.36%
03.12.2025,"4,402.44","4,387.07","4,408.73","4,382.63",,0.38%
02.12.2025,"4,385.76","4,376.40","4,397.58","4,375.18",,0.17%
01.12.2025,"4,378.36","4,398.35","4,398.35","4,371.72",,-0.45%
30.11.2025,"4,397.99","4,397.37","4,398.21","4,397.30",,-0.01%
28.11.2025,"4,398.44","4,375.12","4,398.44","4,373.01",,0.53%
27.11.2025,"4,375.31","4,373.32","4,377.00","4,371.92",,0.06%
26.11.2025,"4,372.48","4,335.94","4,382.17","4,335.23",,0.88%
25.11.2025,"4,334.46","4,296.52","4,339.24","4,279.18",,0.89%
24.11.2025,"4,296.12","4,244.70","4,300.81","4,243.40",,1.22%
23.11.2025,"4,244.19","4,244.70","4,244.76","4,244.01",,0.04%
21.11.2025,"4,242.67","4,215.49","4,270.69","4,201.98",,0.60%
20.11.2025,"4,217.24","4,263.01","4,334.43","4,214.21",,-1.10%
19.11.2025,"4,264.13","4,258.89","4,291.86","4,243.46",,0.15%
18.11.2025,"4,257.67","4,303.87","4,304.04","4,234.14",,-1.11%
17.11.2025,"4,305.44","4,343.78","4,346.63","4,287.78",,-0.88%
16.11.2025,"4,343.45","4,343.78","4,344.12","4,343.19",,0.00%
14.11.2025,"4,343.64","4,354.96","4,362.45","4,297.87",,-0.32%
13.11.2025,"4,357.50","4,414.84","4,421.22","4,350.58",,-1.31%
12.11.2025,"4,415.24","4,403.56","4,421.49","4,403.39",,0.24%
