"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"05.03.2026","68,605.76","70,362.09","70,362.09","68,488.49","47.18M","-2.59%"
"04.03.2026","70,428.03","68,447.86","70,513.20","68,394.69","185.02M","2.91%"
"03.03.2026","68,436.26","70,241.89","70,241.89","66,938.45","233.78M","-3.04%"
"02.03.2026","70,584.75","71,487.82","71,487.82","70,092.86","177.78M","-1.15%"
"27.02.2026","71,405.77","71,325.97","71,890.34","70,925.18","359.88M","0.02%"
"26.02.2026","71,390.10","71,026.28","71,440.27","70,795.17","216.10M","0.35%"
"25.02.2026","71,144.35","71,230.74","71,358.67","70,626.60","207.55M","0.30%"
"24.02.2026","70,934.82","70,656.46","71,114.37","69,853.60","234.15M","0.43%"
"23.02.2026","70,633.77","71,171.68","71,713.48","70,141.84","145.17M","-1.12%"
"20.02.2026","71,436.55","70,715.52","71,478.09","70,715.52","133.83M","0.83%"
"19.02.2026","70,845.66","70,771.22","71,284.51","70,691.08","145.23M","-0.06%"
"18.02.2026","70,885.22","71,156.93","71,694.88","70,771.96","181.88M","-0.38%"
"17.02.2026","71,155.69","71,288.08","71,288.08","70,691.03","142.94M","-0.28%"
"16.02.2026","71,353.29","71,468.99","71,535.02","71,180.08","17.35M","-0.18%"
"13.02.2026","71,478.81","70,973.19","71,558.73","70,329.29","159.29M","0.83%"
"12.02.2026","70,888.04","71,581.16","72,111.41","70,465.72","263.86M","-1.00%"
"11.02.2026","71,601.35","71,461.00","71,675.64","70,594.14","189.69M","0.46%"
"10.02.2026","71,271.56","71,535.96","71,715.32","71,072.46","164.63M","-0.33%"
"09.02.2026","71,509.45","70,806.18","71,551.29","70,651.28","143.43M","0.99%"
"06.02.2026","70,809.57","68,798.31","70,870.57","68,725.66","211.53M","2.83%"
"05.02.2026","68,858.28","68,335.70","69,181.12","67,721.97","166.83M","0.19%"
"04.02.2026","68,730.69","69,888.56","69,888.56","68,186.96","218.82M","-1.44%"
"03.02.2026","69,735.06","68,001.12","70,111.74","67,979.98","221.52M","3.16%"
"30.01.2026","67,598.95","69,190.03","69,190.03","67,468.04","221.15M","-2.72%"
"29.01.2026","69,492.43","70,297.85","70,483.16","69,033.52","202.99M","-0.67%"
"28.01.2026","69,959.73","69,073.56","70,037.79","69,038.62","196.93M","1.57%"
"27.01.2026","68,877.64","68,612.72","69,255.14","68,336.05","203.54M","0.25%"
"26.01.2026","68,706.03","68,420.10","69,366.71","68,420.10","143.99M","0.75%"
"23.01.2026","68,195.15","68,438.86","68,533.38","67,493.56","154.47M","-0.22%"
"22.01.2026","68,347.98","67,989.83","68,799.70","67,964.97","181.54M","0.46%"
"21.01.2026","68,036.13","67,735.27","68,761.37","67,735.27","189.83M","0.52%"
"20.01.2026","67,683.38","67,462.88","67,945.26","66,851.34","173.48M","0.32%"
"19.01.2026","67,467.82","67,254.28","67,553.10","66,762.29","31.60M","0.49%"
"16.01.2026","67,141.11","66,632.72","67,229.19","66,511.27","192.26M","0.74%"
"15.01.2026","66,649.28","67,464.68","67,656.97","66,456.37","223.55M","-1.12%"
"14.01.2026","67,403.08","66,485.83","67,561.89","66,228.17","169.95M","1.61%"
"13.01.2026","66,337.42","66,839.73","66,913.68","66,214.12","212.22M","-0.61%"
"12.01.2026","66,745.61","66,113.53","66,942.87","66,038.60","148.97M","1.03%"
"09.01.2026","66,062.62","65,542.07","66,152.73","65,384.57","178.31M","0.83%"
"08.01.2026","65,521.01","64,874.11","65,617.40","64,477.63","147.36M","1.00%"
"07.01.2026","64,871.70","64,942.30","65,156.63","64,043.15","126.39M","-0.23%"
