Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,245.0,234.73,246.94,234.73,591.44K,5.03%
10.12.2025,233.27,233.64,237.78,230.0,471.49K,0.34%
09.12.2025,232.48,230.47,235.96,229.53,927.79K,0.92%
08.12.2025,230.36,231.7,235.47,228.11,662.02K,-0.53%
05.12.2025,231.58,234.53,234.62,229.49,508.03K,-0.77%
04.12.2025,233.37,237.32,239.97,232.34,855.04K,-1.90%
03.12.2025,237.89,242.78,242.95,237.03,1.31M,-1.65%
02.12.2025,241.87,244.11,244.96,240.26,906.26K,-1.36%
01.12.2025,245.2,244.33,247.16,240.92,390.11K,-0.15%
28.11.2025,245.56,244.17,247.69,241.06,519.62K,0.37%
27.11.2025,244.65,247.99,247.99,244.02,80.39K,0.04%
26.11.2025,244.55,248.0,248.79,242.04,252.25K,-1.52%
25.11.2025,248.32,239.0,248.97,236.0,2.47M,4.13%
24.11.2025,238.47,234.74,238.99,233.03,1.84M,1.08%
21.11.2025,235.92,233.0,237.99,232.48,751.52K,1.76%
20.11.2025,231.84,238.5,238.5,231.31,574.77K,-1.41%
19.11.2025,235.16,237.21,238.55,233.16,388.25K,-0.33%
18.11.2025,235.93,241.48,244.52,234.5,1.11M,-2.30%
14.11.2025,241.48,240.8,245.39,238.25,428.72K,-0.21%
13.11.2025,241.99,240.7,245.48,240.1,466.39K,1.01%
12.11.2025,239.56,245.15,246.77,237.5,560.16K,-2.02%
11.11.2025,244.51,238.54,245.61,238.5,552.99K,2.50%
10.11.2025,238.54,241.29,241.79,237.67,217.63K,-1.06%
07.11.2025,241.09,244.33,246.39,240.27,334.68K,-1.31%
06.11.2025,244.3,247.84,250.14,243.86,273.28K,-1.92%
05.11.2025,249.09,234.0,252.29,229.04,955.52K,7.66%
04.11.2025,231.36,222.46,233.95,222.11,543.71K,1.40%
03.11.2025,228.16,223.22,231.28,223.22,435.42K,-0.34%
31.10.2025,228.94,228.01,230.34,225.41,614.14K,-0.22%
30.10.2025,229.44,239.99,239.99,228.6,1.12M,-3.52%
29.10.2025,237.81,235.65,239.35,234.95,334.91K,0.41%
28.10.2025,236.84,237.79,238.4,234.35,641.69K,0.10%
27.10.2025,236.61,237.0,237.87,230.33,536.93K,0.22%
24.10.2025,236.09,235.64,238.48,226.0,1.04M,0.40%
23.10.2025,235.15,229.18,236.82,228.52,1.22M,0.04%
22.10.2025,235.05,230.96,235.93,230.1,870.08K,0.79%
21.10.2025,233.21,237.0,237.95,231.99,364.70K,-1.85%
20.10.2025,237.6,236.31,241.87,235.09,627.50K,-0.83%
17.10.2025,239.58,236.57,240.21,233.31,1.35M,0.77%
16.10.2025,237.76,237.72,239.88,234.44,721.87K,-0.49%
15.10.2025,238.92,239.9,240.21,235.28,728.78K,0.48%
14.10.2025,237.77,234.5,239.6,234.5,446.59K,-0.43%
13.10.2025,238.8,241.99,244.03,238.13,1.04M,-1.62%
10.10.2025,242.72,237.76,243.47,235.72,561.40K,2.57%
09.10.2025,236.63,239.17,240.11,235.55,581.49K,-1.06%
08.10.2025,239.17,234.31,240.9,234.31,441.02K,1.91%
07.10.2025,234.68,234.72,238.26,234.2,383.51K,0.45%
06.10.2025,233.64,232.97,235.51,230.02,341.74K,0.48%
03.10.2025,232.52,237.43,237.43,231.07,398.75K,-1.12%
02.10.2025,235.16,234.77,236.33,231.5,423.63K,0.17%
01.10.2025,234.77,243.46,243.46,232.55,619.55K,-0.93%
30.09.2025,236.98,237.48,240.91,233.52,923.46K,0.27%
29.09.2025,236.34,242.0,242.99,235.57,479.47K,-1.84%
26.09.2025,240.77,241.67,244.86,237.0,632.53K,-0.97%
25.09.2025,243.12,237.0,245.3,237.0,428.00K,1.14%
24.09.2025,240.38,249.99,249.99,239.0,606.82K,-3.42%
23.09.2025,248.89,244.4,249.75,243.01,515.04K,1.84%
22.09.2025,244.4,241.92,247.41,241.92,512.89K,-1.03%
19.09.2025,246.95,247.08,252.49,246.44,2.55M,-0.22%
18.09.2025,247.5,244.64,249.25,240.02,560.57K,0.83%
17.09.2025,245.47,247.0,248.79,243.0,879.84K,-1.96%
15.09.2025,250.38,258.3,258.3,249.25,400.92K,-2.93%
12.09.2025,257.93,253.0,258.32,252.5,651.56K,1.44%
11.09.2025,254.27,250.1,254.88,247.03,889.42K,2.17%
10.09.2025,248.86,248.01,252.2,247.72,718.24K,-0.91%
09.09.2025,251.15,248.89,252.26,245.11,980.82K,1.19%
08.09.2025,248.19,247.0,250.12,243.31,383.61K,0.87%
05.09.2025,246.04,242.5,246.74,239.41,1.23M,2.03%
04.09.2025,241.14,238.93,244.8,236.52,505.31K,1.23%
03.09.2025,238.22,242.72,242.82,237.05,705.95K,-1.85%
02.09.2025,242.72,242.61,244.39,239.05,1.53M,0.62%
01.09.2025,241.23,239.9,243.98,237.5,92.75K,1.06%
29.08.2025,238.71,243.75,243.75,237.39,645.08K,-1.80%
28.08.2025,243.09,242.84,246.02,239.64,1.09M,-0.46%
