Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,178.29,181.25,183.11,177.87,8.87M,-1.64%
11.12.2025,181.27,181.37,181.64,178.09,6.32M,-0.52%
10.12.2025,182.21,175.81,183.44,175.25,11.10M,3.53%
09.12.2025,176.0,174.5,176.35,172.32,7.72M,0.39%
08.12.2025,175.31,174.74,175.5,173.72,6.69M,0.29%
05.12.2025,174.81,174.74,177.25,174.5,8.40M,0.26%
04.12.2025,174.35,174.33,174.93,173.23,7.25M,-0.41%
03.12.2025,175.07,170.9,175.09,170.35,7.62M,2.56%
02.12.2025,170.7,168.75,171.17,167.64,9.16M,1.58%
01.12.2025,168.04,165.91,169.03,165.5,6.82M,-0.03%
28.11.2025,168.09,165.03,168.19,164.13,5.07M,1.79%
26.11.2025,165.14,164.12,166.25,163.15,7.97M,1.13%
25.11.2025,163.3,163.99,164.97,161.87,7.76M,-1.07%
24.11.2025,165.06,164.37,166.94,163.72,12.07M,1.08%
21.11.2025,163.3,160.75,165.27,159.1,10.82M,2.32%
20.11.2025,159.59,167.13,168.88,158.85,12.08M,-3.93%
19.11.2025,166.11,164.69,167.51,164.11,8.18M,0.64%
18.11.2025,165.06,164.89,166.79,161.39,11.07M,-1.01%
17.11.2025,166.75,172.8,174.84,165.17,10.21M,-4.16%
14.11.2025,173.98,171.77,175.69,171.4,7.95M,-0.30%
13.11.2025,174.5,176.63,178.83,173.03,9.53M,-1.23%
12.11.2025,176.67,175.0,177.42,174.88,8.79M,1.55%
11.11.2025,173.98,171.0,175.98,171.0,8.42M,1.40%
10.11.2025,171.57,173.76,174.8,169.5,10.13M,0.40%
07.11.2025,170.89,172.73,174.25,168.25,10.61M,-1.33%
06.11.2025,173.2,177.8,178.51,170.06,16.18M,-3.63%
05.11.2025,179.72,174.76,183.43,174.32,18.85M,3.98%
04.11.2025,172.84,177.48,179.34,172.29,12.32M,-4.36%
03.11.2025,180.72,182.95,183.45,179.09,8.54M,-0.10%
31.10.2025,180.9,178.52,182.15,176.83,9.45M,2.05%
30.10.2025,177.26,178.68,179.88,177.19,7.86M,-0.79%
29.10.2025,178.67,182.0,183.49,178.2,11.61M,-1.30%
28.10.2025,181.03,183.93,185.91,179.41,20.32M,-3.54%
27.10.2025,187.68,168.95,205.95,168.82,81.80M,11.09%
24.10.2025,168.94,171.69,172.42,168.47,6.26M,-0.64%
23.10.2025,170.03,168.33,171.25,167.88,6.55M,0.45%
22.10.2025,169.27,167.49,169.78,166.02,10.08M,0.26%
21.10.2025,168.83,166.8,169.24,166.2,6.18M,1.07%
20.10.2025,167.04,163.34,167.65,162.06,8.19M,2.20%
17.10.2025,163.45,162.86,163.79,161.67,4.83M,-0.38%
16.10.2025,164.08,164.49,165.19,162.21,5.69M,0.68%
15.10.2025,162.97,164.24,164.24,160.31,7.33M,0.76%
14.10.2025,161.74,159.3,164.26,159.26,8.68M,-0.02%
13.10.2025,161.78,155.95,162.39,155.78,10.31M,5.33%
10.10.2025,153.59,164.82,165.09,153.35,15.82M,-7.29%
09.10.2025,165.66,167.37,167.61,163.23,6.93M,-1.26%
08.10.2025,167.77,166.24,168.55,163.88,7.30M,1.40%
07.10.2025,165.46,169.9,171.98,165.14,7.15M,-1.87%
06.10.2025,168.62,170.54,170.88,167.72,8.27M,-0.33%
03.10.2025,169.18,168.85,171.75,168.74,5.14M,0.20%
02.10.2025,168.85,167.75,169.54,167.18,5.50M,1.42%
01.10.2025,166.49,165.8,166.77,164.49,6.15M,0.08%
30.09.2025,166.36,165.64,166.84,164.88,5.59M,0.64%
29.09.2025,165.3,169.2,169.84,164.76,7.52M,-2.30%
26.09.2025,169.2,169.68,170.93,168.13,4.85M,-0.28%
25.09.2025,169.68,171.21,171.97,167.93,8.09M,-2.23%
24.09.2025,173.55,169.05,174.44,168.67,9.21M,2.37%
23.09.2025,169.53,169.82,170.85,168.3,5.47M,-0.11%
22.09.2025,169.72,166.85,170.22,165.92,6.20M,1.72%
19.09.2025,166.85,169.17,169.58,166.29,19.44M,-0.76%
18.09.2025,168.13,166.88,168.86,166.23,10.42M,1.74%
17.09.2025,165.26,164.68,166.37,163.23,6.06M,0.68%
16.09.2025,164.14,161.82,165.0,161.5,8.00M,1.81%
15.09.2025,161.22,161.4,162.68,160.21,5.60M,-0.38%
12.09.2025,161.83,161.33,162.33,159.58,5.43M,0.20%
11.09.2025,161.51,159.19,162.07,157.96,8.36M,1.61%
10.09.2025,158.95,158.62,159.21,156.61,8.26M,0.18%
09.09.2025,158.66,160.37,161.6,157.57,6.13M,-0.99%
08.09.2025,160.24,160.29,160.29,158.01,7.02M,0.25%
05.09.2025,159.84,160.08,163.49,159.15,7.95M,0.08%
04.09.2025,159.71,156.2,159.86,154.47,7.78M,1.55%
03.09.2025,157.28,159.4,159.57,156.06,6.34M,-0.94%
02.09.2025,158.78,157.82,158.94,154.6,7.52M,-1.21%
