Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
15.12.2025,41.18,43.11,43.42,40.8,78.22M,-1.27%
12.12.2025,41.71,46.92,47.38,41.06,138.09M,-14.51%
11.12.2025,48.79,48.01,48.9,44.66,88.06M,-1.73%
10.12.2025,49.65,47.65,50.09,47.01,91.15M,3.89%
09.12.2025,47.79,47.04,48.04,46.47,56.37M,-0.42%
08.12.2025,47.99,47.56,48.6,46.7,69.22M,3.20%
05.12.2025,46.5,46.47,48.05,46.3,77.05M,2.97%
04.12.2025,45.16,45.89,46.1,44.44,77.66M,-3.05%
03.12.2025,46.58,44.45,46.68,43.15,94.30M,6.35%
02.12.2025,43.8,42.79,44.61,42.03,111.74M,6.03%
01.12.2025,41.31,39.58,42.36,39.46,79.43M,0.12%
28.11.2025,41.26,39.65,41.33,39.25,57.19M,5.28%
26.11.2025,39.19,37.44,40.15,37.3,104.20M,8.35%
25.11.2025,36.17,34.34,36.45,32.05,108.63M,0.86%
24.11.2025,35.86,32.69,36.31,32.65,108.83M,13.02%
21.11.2025,31.73,30.85,33.04,28.12,205.54M,2.99%
20.11.2025,30.81,38.79,39.19,30.41,228.88M,-14.32%
19.11.2025,35.96,34.72,37.3,34.2,120.46M,4.69%
18.11.2025,34.35,35.31,36.01,33.15,153.52M,-6.76%
17.11.2025,36.84,37.9,40.08,35.53,101.94M,-5.20%
14.11.2025,38.86,35.74,40.6,35.15,125.40M,-0.92%
13.11.2025,39.22,42.17,42.63,38.0,126.12M,-10.27%
12.11.2025,43.71,44.01,44.63,42.85,77.73M,4.54%
11.11.2025,41.81,43.72,44.04,41.65,80.86M,-7.01%
10.11.2025,44.96,45.06,45.52,43.46,74.22M,7.71%
07.11.2025,41.74,41.1,41.74,37.04,143.01M,-2.95%
06.11.2025,43.01,46.46,46.99,42.15,106.42M,-8.16%
05.11.2025,46.83,43.22,48.43,43.21,76.49M,9.42%
04.11.2025,42.8,44.77,46.88,42.53,87.73M,-11.90%
03.11.2025,48.58,49.5,50.19,48.03,52.61M,1.67%
31.10.2025,47.78,48.77,49.99,46.71,75.65M,0.82%
30.10.2025,47.39,48.5,49.97,47.27,76.96M,-4.03%
29.10.2025,49.38,49.37,50.76,48.05,88.27M,5.15%
28.10.2025,46.96,46.44,47.6,45.94,53.99M,0.26%
27.10.2025,46.84,45.49,47.16,45.13,72.68M,8.58%
24.10.2025,43.14,43.43,44.16,42.96,69.87M,4.79%
23.10.2025,41.17,37.73,41.47,37.55,72.47M,7.24%
22.10.2025,38.39,40.08,40.81,35.97,110.65M,-7.52%
21.10.2025,41.51,41.81,42.03,40.52,54.39M,-1.73%
20.10.2025,42.24,41.16,43.04,41.13,62.42M,4.84%
17.10.2025,40.29,39.61,40.8,38.32,92.08M,-0.69%
16.10.2025,40.57,41.45,41.92,39.28,89.40M,1.48%
15.10.2025,39.98,39.55,40.17,37.71,96.06M,9.15%
14.10.2025,36.63,36.62,39.01,35.95,100.36M,-6.41%
13.10.2025,39.14,38.23,39.47,37.37,89.27M,14.41%
10.10.2025,34.21,42.52,42.84,34.17,204.86M,-19.01%
09.10.2025,42.24,42.58,42.84,41.01,63.10M,-1.26%
08.10.2025,42.78,38.87,42.94,38.68,77.15M,10.17%
07.10.2025,38.83,42.78,43.02,38.7,96.38M,-6.90%
06.10.2025,41.71,42.83,43.37,41.66,99.88M,9.10%
03.10.2025,38.23,39.47,40.06,37.62,69.25M,-2.18%
02.10.2025,39.08,38.96,39.32,38.14,68.83M,6.02%
01.10.2025,36.86,34.18,36.98,33.98,67.09M,5.80%
30.09.2025,34.84,34.06,34.96,33.57,60.70M,2.41%
29.09.2025,34.02,35.03,35.49,33.99,56.59M,0.00%
26.09.2025,34.02,33.93,34.23,32.83,60.94M,0.50%
25.09.2025,33.85,32.44,34.06,31.36,79.97M,-1.02%
24.09.2025,34.2,33.96,34.39,32.81,58.37M,-0.29%
23.09.2025,34.3,34.7,35.3,33.67,63.66M,-0.38%
22.09.2025,34.43,33.19,34.75,33.19,62.95M,4.27%
19.09.2025,33.02,33.56,33.6,32.12,66.11M,-1.84%
18.09.2025,33.64,32.76,34.14,32.43,104.51M,10.40%
17.09.2025,30.47,30.28,31.25,29.16,80.48M,-0.03%
16.09.2025,30.48,30.33,30.65,29.79,54.15M,1.60%
15.09.2025,30.0,29.14,30.03,28.92,61.27M,2.39%
12.09.2025,29.3,29.37,29.55,28.79,52.50M,0.45%
11.09.2025,29.17,29.06,29.61,28.97,69.92M,1.99%
10.09.2025,28.6,28.48,28.83,28.07,86.72M,5.22%
