Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
13.12.2025,"0,00815","0,00847","0,00902","0,00798","68,68M","-3,79%"
12.12.2025,"0,00847","0,00901","0,00905","0,00797","160,32M","-6,20%"
11.12.2025,"0,00903","0,01041","0,01114","0,00888","141,27M","-14,25%"
10.12.2025,"0,01053","0,00984","0,01228","0,00910","299,13M","8,00%"
09.12.2025,"0,00975","0,00927","0,01136","0,00888","308,76M","5,51%"
08.12.2025,"0,00924","0,00861","0,00993","0,00800","140,68M","7,19%"
07.12.2025,"0,00862","0,01233","0,01345","0,00837","241,12M","-29,62%"
06.12.2025,"0,01225","0,00716","0,01380","0,00709","351,09M","71,80%"
05.12.2025,"0,00713","0,00631","0,00849","0,00626","212,68M","13,31%"
04.12.2025,"0,00629","0,00614","0,00640","0,00598","13,23M","2,52%"
03.12.2025,"0,00614","0,00599","0,00622","0,00596","5,67M","2,42%"
02.12.2025,"0,00599","0,00569","0,00608","0,00563","9,75M","5,27%"
01.12.2025,"0,00569","0,00609","0,00610","0,00547","30,99M","-6,68%"
30.11.2025,"0,00610","0,00599","0,00618","0,00593","6,83M","1,83%"
29.11.2025,"0,00599","0,00597","0,00616","0,00593","10,11M","0,26%"
28.11.2025,"0,00597","0,00596","0,00620","0,00590","21,20M","0,30%"
27.11.2025,"0,00596","0,00603","0,00610","0,00596","6,27M","-1,29%"
26.11.2025,"0,00603","0,00604","0,00608","0,00589","6,83M","0,00%"
25.11.2025,"0,00604","0,00593","0,00612","0,00584","7,01M","1,88%"
24.11.2025,"0,00593","0,00574","0,00597","0,00567","7,99M","3,29%"
23.11.2025,"0,00574","0,00569","0,00598","0,00568","14,05M","0,82%"
22.11.2025,"0,00569","0,00578","0,00627","0,00554","36,79M","-1,71%"
21.11.2025,"0,00579","0,00623","0,00642","0,00518","47,99M","-7,09%"
20.11.2025,"0,00623","0,00669","0,00674","0,00618","22,40M","-6,99%"
19.11.2025,"0,00670","0,00654","0,00713","0,00623","46,82M","2,38%"
18.11.2025,"0,00654","0,00664","0,00689","0,00635","32,14M","-1,47%"
17.11.2025,"0,00664","0,00651","0,00804","0,00640","64,36M","2,05%"
16.11.2025,"0,00651","0,00676","0,00676","0,00637","7,38M","-3,72%"
15.11.2025,"0,00676","0,00666","0,00689","0,00664","4,45M","1,50%"
14.11.2025,"0,00666","0,00671","0,00685","0,00646","10,51M","-1,32%"
13.11.2025,"0,00675","0,00696","0,00718","0,00649","7,59M","-3,10%"
12.11.2025,"0,00696","0,00702","0,00725","0,00684","6,01M","-0,74%"
11.11.2025,"0,00702","0,00753","0,00757","0,00701","11,74M","-6,79%"
10.11.2025,"0,00753","0,00736","0,00777","0,00732","11,77M","2,23%"
09.11.2025,"0,00736","0,00748","0,00750","0,00709","10,10M","-1,61%"
08.11.2025,"0,00748","0,00754","0,00758","0,00718","10,36M","-0,72%"
07.11.2025,"0,00754","0,00661","0,00775","0,00659","19,30M","15,12%"
06.11.2025,"0,00655","0,00679","0,00687","0,00652","11,38M","-3,61%"
05.11.2025,"0,00679","0,00650","0,00684","0,00626","10,35M","4,43%"
04.11.2025,"0,00650","0,00681","0,00698","0,00610","18,54M","-4,52%"
03.11.2025,"0,00681","0,00800","0,00800","0,00639","41,70M","-14,88%"
02.11.2025,"0,00800","0,00790","0,00826","0,00771","11,22M","1,34%"
01.11.2025,"0,00790","0,00781","0,00806","0,00774","9,73M","1,17%"
31.10.2025,"0,00781","0,00740","0,00794","0,00740","9,35M","5,51%"
30.10.2025,"0,00740","0,00781","0,00790","0,00725","11,45M","-5,28%"
29.10.2025,"0,00781","0,00778","0,00795","0,00763","10,30M","0,38%"
28.10.2025,"0,00778","0,00797","0,00812","0,00761","13,65M","-2,40%"
27.10.2025,"0,00797","0,00834","0,00837","0,00794","22,69M","-4,24%"
26.10.2025,"0,00833","0,00817","0,00840","0,00812","22,70M","1,94%"
25.10.2025,"0,00817","0,00814","0,00828","0,00811","8,31M","0,36%"
24.10.2025,"0,00814","0,00810","0,00829","0,00796","27,74M","0,51%"
23.10.2025,"0,00810","0,00770","0,00814","0,00770","20,45M","5,22%"
22.10.2025,"0,00770","0,00795","0,00839","0,00744","56,15M","-3,15%"
21.10.2025,"0,00795","0,00825","0,00879","0,00786","39,24M","-3,70%"
20.10.2025,"0,00825","0,00833","0,00848","0,00819","16,58M","-0,93%"
