Date,Close,Open,High,Low,Vol.,Change %
12/12/25,186.09,187.8,187.9,185.43,295.96K,-0.94%
12/11/25,187.85,187.03,187.95,186.33,498.65K,0.38%
12/10/25,187.13,185.86,187.6,185.55,1.26M,0.67%
12/09/25,185.88,185.9,186.51,185.76,301.88K,-0.02%
12/08/25,185.91,186.86,186.86,185.57,391.02K,-0.36%
12/05/25,186.58,186.76,187.34,186.34,277.98K,0.18%
12/04/25,186.25,186.63,186.63,185.69,372.78K,0.10%
12/03/25,186.06,185.18,186.25,184.95,209.97K,0.42%
12/02/25,185.28,185.32,185.69,184.76,466.68K,0.24%
12/01/25,184.83,184.57,185.55,184.57,363.10K,-0.45%
11/28/2025,185.66,184.9,185.77,184.84,413.60K,0.50%
11/26/2025,184.73,183.95,185.09,183.8,468.99K,0.82%
11/25/2025,183.22,181.47,183.42,180.49,820.85K,1.14%
11/24/2025,181.16,179.98,181.57,179.61,886.01K,1.11%
11/21/2025,179.18,178.23,180.44,177.15,893.46K,1.06%
11/20/2025,177.3,182.47,183.08,177.23,396.76K,-1.53%
11/19/2025,180.06,179.75,181.18,179.12,208.67K,0.16%
11/18/2025,179.77,180.02,180.78,178.57,229.21K,-0.83%
11/17/2025,181.28,182.4,183.37,180.45,496.65K,-1.04%
11/14/2025,183.19,181.68,184.02,181.2,233.70K,-0.02%
11/13/2025,183.23,185.53,185.59,182.94,320.94K,-1.62%
11/12/25,186.24,186.43,186.48,185.77,373.47K,0.26%
11/11/25,185.76,185.07,185.97,184.86,194.93K,0.32%
11/10/25,185.17,184.13,185.39,183.64,353.28K,1.43%
11/07/25,182.56,181.55,182.6,180.13,1.22M,0.21%
11/06/25,182.17,183.78,183.93,181.89,749.04K,-0.95%
11/05/25,183.91,183.12,184.59,182.91,166.45K,0.45%
11/04/25,183.08,183.28,184.28,182.87,280.79K,-1.23%
11/03/25,185.36,185.86,185.86,184.43,134.76K,0.18%
10/31/2025,185.03,185.58,185.6,184.29,582.68K,0.21%
10/30/2025,184.65,185.28,185.89,184.62,140.85K,-0.84%
10/29/2025,186.21,186.88,187.01,185.3,232.73K,-0.23%
10/28/2025,186.64,186.46,187.07,186.11,267.10K,0.20%
10/27/2025,186.26,185.63,186.29,185.57,102.52K,1.07%
10/24/2025,184.29,184.16,184.61,184.03,146.43K,0.62%
10/23/2025,183.16,182.3,183.38,182.27,130.57K,0.64%
10/22/2025,181.99,182.92,182.99,180.94,586.40K,-0.48%
10/21/2025,182.86,183.04,183.31,182.57,213.24K,-0.21%
10/20/2025,183.24,182.47,183.43,182.47,1.57M,0.88%
10/17/2025,181.64,180.38,181.89,180.06,373.04K,0.42%
10/16/2025,180.88,182.27,182.62,180.1,3.49M,-0.35%
10/15/2025,181.51,181.88,182.67,180.2,167.93K,0.41%
10/14/2025,180.77,179.09,181.48,178.39,304.78K,0.07%
