Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
28.11.2025,18.3,18.3605,18.3875,18.2859,,-0.29%
27.11.2025,18.3535,18.359,18.3725,18.3291,,0.01%
26.11.2025,18.3514,18.3858,18.416,18.3332,,-0.22%
25.11.2025,18.391,18.504,18.5365,18.3714,,-0.58%
24.11.2025,18.4986,18.463,18.535,18.4129,,0.15%
21.11.2025,18.47,18.382,18.538,18.3586,,0.47%
20.11.2025,18.3844,18.3385,18.425,18.3006,,0.24%
19.11.2025,18.3396,18.3444,18.376,18.3025,,-0.03%
18.11.2025,18.3458,18.415,18.497,18.3258,,-0.43%
17.11.2025,18.4245,18.3015,18.467,18.2954,,0.66%
14.11.2025,18.3028,18.316,18.4095,18.2924,,-0.06%
13.11.2025,18.313,18.298,18.344,18.2512,,0.12%
12.11.2025,18.2914,18.327,18.3393,18.2743,,-0.18%
11.11.2025,18.3235,18.3805,18.411,18.2956,,-0.31%
10.11.2025,18.3805,18.4535,18.4638,18.365,,-0.43%
07.11.2025,18.459,18.5925,18.6025,18.4336,,-0.66%
06.11.2025,18.5819,18.5992,18.6635,18.55,,-0.09%
05.11.2025,18.5987,18.69,18.7765,18.57,,-0.43%
04.11.2025,18.679,18.496,18.717,18.4717,,0.99%
03.11.2025,18.496,18.5526,18.575,18.4635,,-0.36%
31.10.2025,18.562,18.5435,18.601,18.5155,,0.17%
30.10.2025,18.53,18.4885,18.609,18.4491,,0.22%
29.10.2025,18.4885,18.434,18.5085,18.3948,,0.32%
28.10.2025,18.429,18.4045,18.469,18.3789,,0.13%
27.10.2025,18.405,18.4225,18.4515,18.3585,,-0.26%
24.10.2025,18.4534,18.4033,18.4745,18.3395,,0.29%
23.10.2025,18.3996,18.427,18.466,18.3788,,-0.15%
22.10.2025,18.427,18.4361,18.4755,18.366,,-0.05%
21.10.2025,18.4361,18.3865,18.4943,18.3813,,0.27%
20.10.2025,18.3865,18.379,18.4243,18.3503,,0.09%
17.10.2025,18.3705,18.435,18.5593,18.3612,,-0.38%
16.10.2025,18.4415,18.457,18.4853,18.3549,,-0.09%
