Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,10.43,9.62,10.5,9.53,3.76M,8.20%
10.12.2025,9.64,9.41,9.69,9.21,3.74M,2.01%
09.12.2025,9.45,9.08,9.88,8.97,2.96M,5.23%
08.12.2025,8.98,8.98,9.1,8.89,2.06M,-0.22%
05.12.2025,9.0,9.03,9.15,8.96,671.49K,-0.33%
04.12.2025,9.03,9.03,9.07,8.93,311.95K,0.00%
03.12.2025,9.03,8.99,9.11,8.99,505.82K,0.00%
02.12.2025,9.03,8.93,9.15,8.9,649.27K,1.12%
01.12.2025,8.93,9.1,9.13,8.91,807.93K,-1.76%
28.11.2025,9.09,9.11,9.16,9.01,739.82K,-0.33%
27.11.2025,9.12,9.03,9.16,9.03,394.75K,0.77%
26.11.2025,9.05,9.2,9.2,9.01,736.43K,-0.44%
25.11.2025,9.09,9.38,9.38,9.08,1.11M,-1.30%
24.11.2025,9.21,8.88,9.38,8.88,7.65M,1.54%
21.11.2025,9.07,9.08,9.18,8.85,808.62K,1.34%
20.11.2025,8.95,9.01,9.1,8.7,784.57K,-0.67%
19.11.2025,9.01,9.05,9.22,8.94,809.92K,0.22%
18.11.2025,8.99,9.17,9.28,8.92,1.26M,-2.71%
14.11.2025,9.24,9.13,9.33,9.12,724.29K,0.43%
13.11.2025,9.2,9.26,9.37,9.17,698.90K,-0.33%
12.11.2025,9.23,9.22,9.35,9.18,480.26K,0.44%
11.11.2025,9.19,9.15,9.29,9.15,742.74K,0.00%
10.11.2025,9.19,9.29,9.33,9.17,592.47K,-0.54%
07.11.2025,9.24,9.19,9.3,9.16,623.82K,0.54%
06.11.2025,9.19,9.35,9.43,9.15,745.06K,-0.97%
05.11.2025,9.28,9.37,9.4,9.25,765.56K,-0.32%
04.11.2025,9.31,9.35,9.45,9.27,579.57K,-1.17%
03.11.2025,9.42,9.52,9.6,9.35,1.01M,0.21%
31.10.2025,9.4,9.35,9.45,9.19,675.00K,1.08%
30.10.2025,9.3,9.21,9.37,9.15,776.14K,-0.64%
29.10.2025,9.36,9.56,9.59,9.32,562.60K,-0.95%
28.10.2025,9.45,9.92,9.97,9.39,797.02K,-1.77%
27.10.2025,9.62,9.24,9.89,9.18,727.54K,2.01%
24.10.2025,9.43,9.48,9.57,9.33,1.12M,-0.21%
23.10.2025,9.45,9.45,9.57,9.34,707.71K,0.75%
22.10.2025,9.38,9.61,9.87,9.33,1.24M,-4.38%
21.10.2025,9.81,10.2,10.26,9.74,654.79K,-4.01%
20.10.2025,10.22,10.25,10.42,9.95,827.42K,2.40%
17.10.2025,9.98,10.29,10.54,9.83,967.15K,-4.95%
16.10.2025,10.5,10.0,10.8,9.88,2.54M,5.11%
15.10.2025,9.99,9.93,10.03,9.76,700.80K,1.22%
14.10.2025,9.87,9.94,9.96,9.79,382.51K,-0.70%
13.10.2025,9.94,9.75,10.08,9.73,538.70K,1.95%
10.10.2025,9.75,9.84,9.89,9.56,1.50M,0.31%
09.10.2025,9.72,10.0,10.07,9.62,1.07M,-2.80%
08.10.2025,10.0,10.28,10.32,9.89,688.05K,-2.34%
07.10.2025,10.24,10.72,10.72,10.13,650.78K,-3.21%
06.10.2025,10.58,9.9,10.84,9.83,1.19M,5.48%
03.10.2025,10.03,10.15,10.15,9.81,2.02M,-0.40%
02.10.2025,10.07,10.04,10.12,9.52,2.30M,0.30%
01.10.2025,10.04,9.96,10.1,9.76,1.21M,1.01%
30.09.2025,9.94,9.22,10.01,9.22,1.00M,7.46%
29.09.2025,9.25,9.48,9.49,9.2,585.38K,-1.80%
26.09.2025,9.42,9.3,9.47,9.12,706.33K,0.43%
25.09.2025,9.38,9.61,9.61,9.3,1.34M,-2.39%
24.09.2025,9.61,9.9,9.92,9.27,1.65M,-3.51%
23.09.2025,9.96,9.3,10.1,9.18,2.94M,6.98%
22.09.2025,9.31,8.94,9.4,8.8,3.72M,4.14%
19.09.2025,8.94,8.3,9.06,8.24,6.57M,8.10%
18.09.2025,8.27,8.17,8.3,8.09,1.47M,1.47%
