Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,50.05,48.72,50.43,48.67,2.22M,2.29%
10.12.2025,48.93,49.59,49.89,48.82,1.02M,-1.87%
09.12.2025,49.86,49.99,50.5,49.01,3.06M,0.22%
08.12.2025,49.75,48.71,50.0,48.3,4.04M,2.54%
05.12.2025,48.52,48.5,48.96,48.25,2.37M,-0.47%
04.12.2025,48.75,48.7,49.19,48.3,3.40M,-0.41%
03.12.2025,48.95,48.75,49.58,48.03,5.17M,0.02%
02.12.2025,48.94,47.95,49.33,47.16,4.80M,1.22%
01.12.2025,48.35,48.11,48.65,47.22,3.19M,0.71%
28.11.2025,48.01,47.36,48.55,46.84,699.17K,1.76%
27.11.2025,47.18,47.44,47.88,47.01,331.27K,0.06%
26.11.2025,47.15,46.48,47.29,46.17,3.14M,1.27%
25.11.2025,46.56,46.7,47.17,45.77,1.36M,-0.36%
24.11.2025,46.73,45.36,46.99,44.98,3.47M,3.45%
21.11.2025,45.17,44.45,45.49,43.79,2.23M,1.69%
20.11.2025,44.42,43.7,44.84,43.7,2.82M,0.84%
19.11.2025,44.05,45.24,45.25,43.64,2.34M,-1.63%
18.11.2025,44.78,45.81,46.09,44.57,2.46M,-2.69%
14.11.2025,46.02,46.93,46.95,45.85,1.63M,-1.46%
13.11.2025,46.7,47.34,47.66,46.5,1.98M,-1.33%
12.11.2025,47.33,48.82,49.0,46.92,3.46M,-2.57%
11.11.2025,48.58,48.09,49.55,47.35,4.92M,1.38%
10.11.2025,47.92,47.68,48.19,47.3,2.40M,1.23%
07.11.2025,47.34,47.56,47.76,47.05,1.72M,-0.40%
06.11.2025,47.53,47.66,47.75,47.0,2.25M,-0.02%
05.11.2025,47.54,47.57,48.73,47.23,2.72M,0.74%
04.11.2025,47.19,47.0,47.91,47.0,2.04M,0.28%
03.11.2025,47.06,47.78,47.87,47.0,935.62K,-1.07%
31.10.2025,47.57,47.67,48.19,47.06,1.56M,-0.36%
30.10.2025,47.74,47.58,48.25,46.89,1.79M,0.42%
29.10.2025,47.54,47.5,48.21,46.9,1.65M,0.23%
28.10.2025,47.43,45.64,47.71,45.33,2.73M,4.10%
27.10.2025,45.56,44.25,45.76,43.94,1.92M,3.47%
24.10.2025,44.03,44.58,44.58,43.79,1.51M,-0.56%
23.10.2025,44.28,45.02,45.07,44.01,1.75M,-2.06%
22.10.2025,45.21,45.23,45.97,44.9,1.39M,0.20%
21.10.2025,45.12,44.61,45.77,44.29,1.12M,1.08%
20.10.2025,44.64,44.87,45.08,44.02,1.11M,-0.02%
17.10.2025,44.65,45.96,46.68,44.38,1.18M,-2.96%
16.10.2025,46.01,45.53,47.08,45.53,1.66M,0.90%
