Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
01/02/18,7.458,7.68,7.73,7.42,23.91M,-1.45%
01/02/19,5.197,5.205,5.261,5.062,23.99M,0.52%
01/02/21,3.758,3.846,3.848,3.736,22.71M,-0.24%
01/02/22,5.752,5.685,5.753,5.645,24.69M,2.09%
01/02/23,6.767,6.5,6.79,6.482,32.23M,4.70%
01/02/24,8.674,8.65,8.848,8.622,11.35M,-0.02%
01/03/18,6.79,6.851,6.88,6.78,17.49M,-1.45%
01/03/19,5.379,5.496,5.51,5.379,20.43M,-1.74%
01/03/21,4.61,4.669,4.7,4.581,14.45M,0.15%
01/03/22,5.084,5.269,5.372,5.084,47.11M,-3.89%
01/03/23,7.225,7.412,7.431,7.2,15.33M,-2.01%
01/03/24,9.362,9.198,9.422,9.174,8.38M,1.92%
01/04/19,5.306,5.197,5.337,5.156,31.48M,4.18%
01/04/20,2.727,2.78,2.798,2.714,272.03M,-6.47%
01/04/21,4.445,4.457,4.484,4.428,9.41M,0.44%
01/04/22,5.29,5.263,5.321,5.235,35.33M,1.54%
01/04/25,12.755,12.615,12.85,12.565,178.30K,1.67%
01/04/26,18.87,18.9,19.06,18.735,13.44M,3.40%
01/06/18,6.018,5.971,6.074,5.89,30.42M,3.07%
01/06/20,2.861,2.871,2.889,2.796,18.14M,2.43%
01/06/21,5.226,5.153,5.247,5.141,15.34M,1.75%
01/06/22,5.008,5.11,5.139,5.001,13.53M,-1.40%
01/06/23,6.256,6.216,6.324,6.182,8.46M,2.22%
01/07/19,4.973,4.981,5.026,4.973,14.33M,1.14%
01/07/20,3.008,3.065,3.096,2.975,20.19M,-1.83%
01/07/21,5.409,5.29,5.409,5.284,12.90M,3.46%
01/07/22,4.313,4.302,4.424,4.275,16.96M,-0.39%
01/07/24,9.5,9.528,9.624,9.434,7.02M,1.58%
01/07/25,12.85,13.03,13.06,12.785,5.51M,-1.57%
01/08/18,6.224,6.294,6.33,6.204,11.76M,-0.99%
01/08/19,4.636,4.601,4.723,4.59,20.29M,0.80%
01/08/22,4.365,4.417,4.511,4.36,16.47M,-1.17%
01/08/23,7,7.21,7.24,6.97,11.74M,-2.91%
01/08/24,9.21,9.512,9.642,9.168,14.64M,-5.09%
01/08/25,14.355,14.585,14.645,14.205,11.82M,-1.95%
01/09/20,2.463,2.497,2.5,2.42,26.99M,0.41%
01/09/21,5.637,5.624,5.688,5.602,13.23M,1.62%
01/09/22,4.436,4.45,4.509,4.399,11.20M,-1.25%
01/09/23,7.264,7.304,7.414,7.264,10.12M,-0.03%
01/09/25,15.6,15.565,15.6,15.475,2.46M,0.71%
01/10/18,5.515,5.477,5.605,5.467,20.13M,0.46%
01/10/19,4.7,4.82,4.828,4.7,16.18M,-1.67%
01/10/20,2.377,2.401,2.42,2.355,23.10M,0.21%
01/10/21,5.633,5.61,5.646,5.511,72.59M,-1.47%
01/10/24,9.3,9.754,9.754,9.23,14.24M,-4.20%
01/10/25,16.375,16.3,16.44,16.045,8.29M,0.21%
01/11/18,5.032,4.895,5.036,4.885,23.28M,3.01%
01/11/19,4.733,4.72,4.738,4.63,22.49M,0.21%
01/11/21,6.279,6.052,6.292,6.03,19.04M,3.58%
01/11/22,5.255,5.249,5.299,5.229,11.44M,0.88%
01/11/23,7.59,7.478,7.648,7.426,11.48M,2.26%
01/11/24,9.416,9.152,9.416,9.11,10.20M,2.91%
01/12/20,4.005,3.865,4.007,3.837,45.13M,1.91%
01/12/21,4.818,4.756,4.839,4.73,29.66M,2.45%
01/12/22,5.566,5.64,5.665,5.564,15.28M,-0.82%
01/12/23,8.556,8.572,8.61,8.534,8.05M,0.59%
01/12/25,18.76,18.57,18.76,18.45,6.92M,1.05%
02/01/18,7.082,7.139,7.169,7.05,15.96M,-0.42%
02/01/19,4.663,4.574,4.696,4.51,15.43M,0.58%
02/01/20,5.11,5.031,5.124,5.021,11.85M,2.55%
02/01/23,5.782,5.691,5.786,5.669,7.79M,2.63%
02/01/24,8.426,8.28,8.482,8.272,12.88M,2.43%
