Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,"48,458.05","48,714.75","48,886.86","48,334.10",498.52M,-0.51%
11.12.2025,"48,704.01","48,082.90","48,756.34","48,082.90",493.96M,1.34%
10.12.2025,"48,057.75","47,573.96","48,197.30","47,462.94",551.57M,1.05%
09.12.2025,"47,560.29","47,724.52","47,957.79","47,533.60",426.65M,-0.38%
08.12.2025,"47,739.32","47,971.51","47,971.51","47,611.93",513.95M,-0.45%
05.12.2025,"47,954.99","47,879.60","48,133.54","47,871.51",459.24M,0.22%
04.12.2025,"47,850.94","47,888.16","48,049.72","47,692.96",498.75M,-0.07%
03.12.2025,"47,882.90","47,371.62","47,969.64","47,371.62",494.33M,0.86%
02.12.2025,"47,474.46","47,416.91","47,597.11","47,263.92",516.78M,0.39%
01.12.2025,"47,289.33","47,580.85","47,676.03","47,271.11",482.19M,-0.90%
28.11.2025,"47,716.42","47,482.25","47,750.77","47,475.61",272.51M,0.61%
26.11.2025,"47,427.12","47,196.15","47,571.40","47,196.15",458.14M,0.67%
25.11.2025,"47,112.45","46,482.36","47,182.90","46,341.35",659.61M,1.43%
24.11.2025,"46,448.27","46,351.93","46,587.71","46,108.01",748.69M,0.44%
21.11.2025,"46,245.41","45,808.65","46,577.50","45,781.58",795.91M,1.08%
20.11.2025,"45,752.26","46,567.51","46,856.75","45,728.93",729.23M,-0.84%
19.11.2025,"46,138.77","46,138.68","46,299.13","45,905.19",555.37M,0.10%
18.11.2025,"46,091.74","46,382.92","46,382.92","45,913.60",598.05M,-1.07%
17.11.2025,"46,590.24","47,068.06","47,202.56","46,430.27",514.87M,-1.18%
14.11.2025,"47,147.48","47,222.38","47,380.07","46,863.05",553.82M,-0.65%
13.11.2025,"47,457.22","48,173.92","48,233.25","47,411.10",610.42M,-1.65%
12.11.2025,"48,254.82","48,015.79","48,431.57","48,015.79",501.49M,0.68%
11.11.2025,"47,927.96","47,384.51","47,974.37","47,384.51",454.97M,1.18%
10.11.2025,"47,368.63","47,095.06","47,412.89","46,934.35",490.08M,0.81%
07.11.2025,"46,987.10","46,797.03","46,996.71","46,495.62",591.10M,0.16%
06.11.2025,"46,912.30","47,255.12","47,359.29","46,787.44",552.16M,-0.84%
05.11.2025,"47,311.00","47,097.31","47,460.36","47,041.31",469.01M,0.48%
04.11.2025,"47,085.24","47,148.04","47,274.90","46,877.06",514.66M,-0.53%
03.11.2025,"47,336.68","47,697.33","47,697.33","47,135.96",571.74M,-0.48%
31.10.2025,"47,562.87","47,659.96","47,718.38","47,347.28",716.64M,0.09%
30.10.2025,"47,522.12","47,446.88","48,014.92","47,381.91",614.87M,-0.23%
29.10.2025,"47,632.00","47,746.79","48,040.64","47,448.59",694.17M,-0.16%
28.10.2025,"47,706.37","47,752.35","47,943.16","47,675.70",609.30M,0.34%
27.10.2025,"47,544.59","47,412.80","47,564.52","47,375.96",433.36M,0.71%
24.10.2025,"47,207.12","46,811.51","47,326.73","46,811.51",406.03M,1.01%
23.10.2025,"46,734.61","46,519.13","46,802.15","46,490.06",407.57M,0.31%
22.10.2025,"46,590.41","46,941.56","46,941.56","46,461.52",458.46M,-0.71%
21.10.2025,"46,924.74","46,707.08","47,125.66","46,688.25",436.74M,0.47%
20.10.2025,"46,706.58","46,312.88","46,759.27","46,312.88",444.01M,1.12%
17.10.2025,"46,190.61","45,862.37","46,327.07","45,862.37",484.93M,0.52%
16.10.2025,"45,952.24","46,289.09","46,422.34","45,781.18",481.61M,-0.65%
15.10.2025,"46,253.31","46,375.17","46,693.34","46,027.23",488.71M,-0.04%
14.10.2025,"46,270.46","45,871.89","46,522.67","45,452.03",515.34M,0.44%
13.10.2025,"46,067.58","45,698.46","46,153.49","45,698.46",414.07M,1.29%
10.10.2025,"45,479.60","46,394.88","46,641.74","45,470.72",658.11M,-1.90%
09.10.2025,"46,358.42","46,622.31","46,684.41","46,271.40",493.08M,-0.52%
08.10.2025,"46,601.78","46,649.32","46,816.28","46,498.39",423.51M,0.00%
07.10.2025,"46,602.98","46,700.90","46,868.49","46,448.02",411.29M,-0.20%
06.10.2025,"46,694.97","46,776.04","46,846.45","46,426.96",500.01M,-0.14%
03.10.2025,"46,758.28","46,583.95","47,049.64","46,566.87",426.41M,0.51%
02.10.2025,"46,519.72","46,461.11","46,589.31","46,283.57",442.79M,0.17%
01.10.2025,"46,441.10","46,366.78","46,528.78","46,276.39",554.41M,0.09%
30.09.2025,"46,397.89","46,282.63","46,425.30","46,103.39",584.79M,0.18%
29.09.2025,"46,316.07","46,306.34","46,387.06","46,149.05",479.74M,0.15%
26.09.2025,"46,247.29","46,101.45","46,353.03","46,051.92",437.56M,0.65%
25.09.2025,"45,947.32","46,097.43","46,122.42","45,785.17",509.19M,-0.38%
24.09.2025,"46,121.28","46,368.94","46,453.07","46,096.39",421.04M,-0.37%
23.09.2025,"46,292.78","46,364.11","46,714.27","46,217.58",552.04M,-0.19%
22.09.2025,"46,381.54","46,206.69","46,447.13","46,035.83",627.46M,0.14%
19.09.2025,"46,315.27","46,211.16","46,396.47","46,105.02",978.32M,0.37%
18.09.2025,"46,142.42","46,056.55","46,317.52","45,954.73",495.16M,0.27%
17.09.2025,"46,018.32","45,778.40","46,261.95","45,687.59",512.40M,0.57%
16.09.2025,"45,757.90","45,919.54","45,967.11","45,667.42",443.41M,-0.27%
15.09.2025,"45,883.45","45,848.39","45,978.43","45,771.88",405.19M,0.11%
12.09.2025,"45,834.22","46,077.14","46,077.14","45,813.93",421.74M,-0.59%
11.09.2025,"46,108.00","45,577.09","46,137.20","45,577.09",448.35M,1.36%
10.09.2025,"45,490.92","45,731.50","45,731.50","45,380.06",579.92M,-0.48%
09.09.2025,"45,711.34","45,547.62","45,764.20","45,433.51",449.66M,0.43%
08.09.2025,"45,514.95","45,430.61","45,542.56","45,277.73",472.24M,0.25%
05.09.2025,"45,400.86","45,656.49","45,770.20","45,211.78",558.93M,-0.48%
04.09.2025,"45,621.29","45,204.87","45,632.39","45,160.74",457.49M,0.77%
03.09.2025,"45,271.23","45,309.43","45,309.43","44,980.36",479.21M,-0.05%
02.09.2025,"45,295.81","45,287.73","45,295.81","44,948.16",533.19M,-0.55%
29.08.2025,"45,544.88","45,590.96","45,616.16","45,377.21",497.40M,-0.20%
28.08.2025,"45,636.90","45,581.03","45,682.83","45,442.68",540.89M,0.16%
27.08.2025,"45,565.23","45,417.46","45,621.08","45,372.78",430.99M,0.32%
26.08.2025,"45,418.07","45,236.83","45,437.62","45,192.29",490.98M,0.30%
25.08.2025,"45,282.47","45,605.25","45,605.25","45,273.09",393.96M,-0.77%
22.08.2025,"45,631.74","44,952.88","45,757.84","44,952.88",484.73M,1.89%
21.08.2025,"44,785.50","44,808.21","44,892.61","44,579.03",414.56M,-0.34%
20.08.2025,"44,938.31","44,922.70","45,033.75","44,767.97",512.55M,0.04%
19.08.2025,"44,922.27","44,952.36","45,207.39","44,816.50",466.01M,0.02%
18.08.2025,"44,911.82","44,963.17","44,998.83","44,868.32",416.46M,-0.08%
15.08.2025,"44,946.12","45,159.91","45,203.52","44,897.98",547.28M,0.08%
14.08.2025,"44,911.26","44,890.84","44,948.70","44,690.50",453.53M,-0.02%
13.08.2025,"44,922.27","44,571.53","44,949.12","44,571.53",521.43M,1.04%
12.08.2025,"44,458.61","44,050.53","44,497.59","44,050.53",442.86M,1.10%
11.08.2025,"43,975.09","44,184.36","44,273.03","43,911.31",431.52M,-0.45%
08.08.2025,"44,175.61","44,044.95","44,272.75","44,028.94",452.51M,0.47%
07.08.2025,"43,968.64","44,430.09","44,498.43","43,799.20",492.48M,-0.51%
06.08.2025,"44,193.12","44,196.61","44,290.09","44,017.71",518.97M,0.18%
05.08.2025,"44,111.74","44,200.07","44,308.50","43,923.81",466.51M,-0.14%
04.08.2025,"44,173.64","43,724.02","44,188.36","43,724.02",519.87M,1.34%
01.08.2025,"43,588.58","43,781.77","43,781.77","43,340.68",705.16M,-1.23%
31.07.2025,"44,130.98","44,665.82","44,665.82","44,049.01",689.05M,-0.74%
30.07.2025,"44,461.28","44,677.90","44,739.53","44,261.71",464.22M,-0.38%
29.07.2025,"44,632.99","44,833.74","44,883.66","44,568.83",492.12M,-0.46%
28.07.2025,"44,837.56","44,946.98","44,946.98","44,739.96",416.51M,-0.14%
25.07.2025,"44,901.92","44,757.28","44,944.46","44,650.59",371.73M,0.47%
24.07.2025,"44,693.91","44,776.41","44,912.27","44,674.57",453.01M,-0.70%
23.07.2025,"45,010.29","44,661.12","45,016.71","44,638.44",446.63M,1.14%
22.07.2025,"44,502.44","44,338.62","44,542.53","44,272.60",483.57M,0.40%
21.07.2025,"44,323.07","44,368.40","44,601.85","44,311.42",446.59M,-0.04%
18.07.2025,"44,342.19","44,571.68","44,571.68","44,224.59",497.81M,-0.32%
17.07.2025,"44,484.49","44,229.88","44,558.05","44,200.04",455.31M,0.52%
16.07.2025,"44,254.78","44,152.74","44,260.19","43,758.98",450.19M,0.53%
15.07.2025,"44,023.29","44,459.84","44,504.27","44,002.39",498.93M,-0.98%
14.07.2025,"44,459.65","44,346.15","44,472.13","44,237.28",410.25M,0.20%
11.07.2025,"44,371.51","44,480.77","44,480.77","44,275.25",474.10M,-0.63%
10.07.2025,"44,650.64","44,427.75","44,775.47","44,372.92",452.34M,0.43%
09.07.2025,"44,458.30","44,327.13","44,556.68","44,225.88",533.54M,0.49%
08.07.2025,"44,240.76","44,378.58","44,436.96","44,201.37",445.68M,-0.37%
07.07.2025,"44,406.36","44,803.36","44,803.36","44,160.32",442.35M,-0.94%
03.07.2025,"44,828.53","44,565.75","44,885.83","44,550.42",346.63M,0.77%
02.07.2025,"44,484.42","44,455.66","44,557.82","44,354.01",502.60M,-0.02%
01.07.2025,"44,494.94","44,061.49","44,604.15","44,013.54",593.61M,0.91%
30.06.2025,"44,094.77","44,020.66","44,138.69","43,889.16",623.63M,0.63%
27.06.2025,"43,819.27","43,505.60","43,966.37","43,505.60",921.34M,1.00%
26.06.2025,"43,386.84","43,084.07","43,430.99","43,084.07",536.71M,0.94%
25.06.2025,"42,982.43","43,130.33","43,130.33","42,871.50",527.47M,-0.25%
24.06.2025,"43,089.02","42,807.13","43,183.48","42,794.08",516.07M,1.19%
23.06.2025,"42,581.78","42,178.55","42,609.47","41,981.14",503.06M,0.89%
20.06.2025,"42,206.82","42,291.09","42,432.19","42,089.99",859.85M,0.08%
18.06.2025,"42,171.66","42,236.03","42,510.07","42,118.23",487.54M,-0.10%
17.06.2025,"42,215.80","42,358.62","42,530.83","42,132.65",423.07M,-0.70%
16.06.2025,"42,515.09","42,300.13","42,707.73","42,300.13",467.05M,0.75%
13.06.2025,"42,197.79","42,579.48","42,602.48","42,081.09",485.94M,-1.79%
12.06.2025,"42,967.62","42,737.36","42,970.40","42,606.42",455.76M,0.24%
11.06.2025,"42,865.77","42,882.86","43,115.69","42,738.62",467.27M,0.00%
10.06.2025,"42,866.87","42,738.27","42,925.94","42,710.09",446.85M,0.25%
09.06.2025,"42,761.76","42,786.19","42,893.09","42,567.55",485.79M,0.00%
06.06.2025,"42,762.87","42,631.82","42,924.56","42,582.55",416.67M,1.05%
05.06.2025,"42,319.74","42,487.89","42,601.45","42,211.69",532.85M,-0.25%
04.06.2025,"42,427.74","42,574.13","42,645.00","42,427.74",409.60M,-0.22%
03.06.2025,"42,519.64","42,304.50","42,568.38","42,186.44",504.41M,0.51%
02.06.2025,"42,305.48","42,199.94","42,317.00","41,853.62",454.68M,0.08%
30.05.2025,"42,270.07","42,192.35","42,376.08","41,906.16",801.68M,0.13%
29.05.2025,"42,215.73","42,190.02","42,266.00","41,828.35",665.31M,0.28%
28.05.2025,"42,098.70","42,361.63","42,448.72","42,042.26",518.84M,-0.58%
27.05.2025,"42,343.65","41,849.04","42,350.66","41,849.04",501.34M,1.78%
23.05.2025,"41,603.07","41,525.70","41,788.61","41,354.09",497.07M,-0.61%
22.05.2025,"41,859.09","41,763.68","42,090.42","41,714.43",476.08M,0.00%
21.05.2025,"41,860.44","42,354.46","42,439.27","41,785.22",607.90M,-1.91%
20.05.2025,"42,677.24","42,735.11","42,800.04","42,485.37",441.54M,-0.27%
