Date,Close,Open,High,Low,Vol.,Change %
03/20/2026,55.64,56.95,57.01,55.44,78.53M,-3.44%
03/19/2026,57.62,56.44,57.87,56.26,50.96M,0.10%
03/18/2026,57.56,58.38,58.63,57.54,37.21M,-2.03%
03/17/2026,58.75,58.88,59.06,58.53,24.93M,0.63%
03/16/2026,58.38,58.05,58.64,57.99,36.20M,2.78%
03/13/2026,56.8,57.62,58.01,56.66,47.90M,-0.26%
03/12/26,56.95,57.99,58.03,56.86,53.04M,-3.20%
03/11/26,58.83,58.7,59.16,58.38,35.66M,0.26%
03/10/26,58.68,58.65,59.88,58.34,56.42M,0.39%
03/09/26,58.45,56.66,58.65,56.24,65.07M,1.97%
03/06/26,57.32,56.83,57.7,56.56,55.73M,-0.54%
03/05/26,57.63,58.02,58.58,56.89,81.40M,-2.40%
03/04/26,59.05,58.54,59.58,58.24,74.07M,1.08%
03/03/26,58.42,57.97,58.9,56.74,99.94M,-5.01%
03/02/26,61.5,60.79,61.85,60.79,46.88M,-1.73%
02/27/2026,62.58,62.2,65.96,62.12,34.83M,-0.21%
02/26/2026,62.71,63.28,63.31,62.08,52.08M,-0.95%
02/25/2026,63.31,63.42,63.43,63.04,42.20M,1.10%
02/24/2026,62.62,62.24,62.84,62.1,44.41M,1.57%
02/23/2026,61.65,62.01,62.25,61.51,36.57M,-1.11%
02/20/2026,62.34,61.01,62.36,60.97,56.42M,2.13%
02/19/2026,61.04,60.83,61.07,60.58,38.04M,-0.25%
02/18/2026,61.19,61.03,61.55,60.91,29.97M,0.53%
02/17/2026,60.87,60.72,61.08,60.19,38.13M,-0.41%
02/13/2026,61.12,60.72,61.21,60.13,40.09M,0.43%
02/12/26,60.86,61.83,61.9,60.68,48.07M,-1.14%
02/11/26,61.56,61.17,61.63,60.78,38.16M,1.58%
02/10/26,60.6,60.72,60.82,60.42,32.25M,0.15%
02/09/26,60.51,59.97,60.65,59.9,35.32M,0.73%
02/06/26,60.07,59.24,60.09,59.22,37.53M,2.63%
02/05/26,58.53,58.55,59.03,58.22,50.88M,-0.46%
02/04/26,58.8,59.89,59.91,58.55,50.85M,-1.34%
02/03/26,59.6,59.93,59.99,59.03,41.13M,0.54%
02/02/26,59.28,58.58,59.47,58.56,44.51M,0.30%
01/30/2026,59.1,59.81,60.07,58.83,73.86M,-2.22%
01/29/2026,60.44,60.86,60.95,59.54,70.85M,-0.51%
01/28/2026,60.75,60.87,60.87,60.37,52.07M,0.68%
01/27/2026,60.34,59.97,60.37,59.88,62.22M,1.98%
01/26/2026,59.17,59.04,59.39,58.99,37.94M,0.17%
01/23/2026,59.07,58.56,59.15,58.43,31.58M,0.63%
01/22/2026,58.7,58.7,58.93,58.49,33.73M,0.76%
01/21/2026,58.26,57.99,58.48,57.92,44.19M,1.66%
01/20/2026,57.31,57.35,57.75,57.24,37.03M,-0.97%
01/16/2026,57.87,57.97,58.01,57.57,30.62M,-0.38%
01/15/2026,58.09,58.15,58.38,57.93,60.44M,0.59%
01/14/2026,57.75,57.58,57.77,57.44,45.16M,0.42%
01/13/2026,57.51,57.77,57.81,57.38,34.41M,-0.74%
01/12/26,57.94,57.24,57.97,57.21,47.30M,1.40%
01/09/26,57.14,56.88,57.16,56.71,31.54M,0.47%
01/08/26,56.87,56.75,56.89,56.62,27.72M,0.04%
01/07/26,56.85,57.03,57.05,56.8,26.93M,-0.75%
01/06/26,57.28,57.17,57.43,57.16,29.80M,0.74%
01/05/26,56.86,56.59,56.86,56.36,37.08M,1.10%
01/02/26,56.24,55.89,56.25,55.81,38.26M,2.80%
12/31/2025,54.71,54.9,54.92,54.67,20.00M,-0.31%
12/30/2025,54.88,54.87,54.99,54.81,24.64M,0.40%
12/29/2025,54.66,54.52,54.68,54.43,18.82M,-0.26%
12/26/2025,54.8,54.57,54.82,54.53,11.35M,0.70%
12/25/2025,54.42,54.41,54.42,54.42,9.57M,0.00%
12/24/2025,54.42,54.41,54.46,54.34,9.57M,0.20%
12/23/2025,54.31,53.99,54.33,53.9,25.32M,0.56%
12/22/2025,54.01,53.97,54.05,53.88,21.65M,0.54%
12/19/2025,53.72,53.54,53.89,53.5,28.83M,0.98%
12/18/2025,53.2,53.27,53.5,53.13,29.99M,1.14%
12/17/2025,52.6,53.26,53.31,52.58,35.74M,-0.72%
12/16/2025,52.98,52.96,53.13,52.77,38.18M,-2.03%
12/15/2025,54.08,54.55,54.58,54.07,29.14M,-0.29%
12/12/25,54.24,54.91,54.94,54.1,30.59M,-1.17%
12/11/25,54.88,54.7,54.95,54.48,22.01M,-0.47%
12/10/25,55.14,54.65,55.24,54.58,35.02M,1.12%
12/09/25,54.53,54.3,54.58,54.25,17.79M,-0.16%
12/08/25,54.62,54.87,54.87,54.48,29.06M,-0.22%
12/05/25,54.74,54.93,55.12,54.67,20.11M,0.75%
12/04/25,54.33,54.41,54.41,54.18,14.44M,-0.02%
12/03/25,54.34,54.14,54.35,54.05,16.75M,0.07%
12/02/25,54.3,54.36,54.38,54.07,22.52M,0.04%
