Fecha,BONOM10,UDIBONOS10,Cierre
02/01/18 0:00,7.55,4,3.55
03/01/18 0:00,7.5,4,3.5
04/01/18 0:00,7.44,4,3.44
05/01/18 0:00,7.45,4,3.45
08/01/18 0:00,7.43,4,3.43
09/01/18 0:00,7.48,4,3.48
10/01/18 0:00,7.58,4,3.58
11/01/18 0:00,7.58,4,3.58
12/01/18 0:00,7.56,4,3.56
15/01/18 0:00,7.53,4,3.53
16/01/18 0:00,7.548,4,3.548
17/01/18 0:00,7.556,4,3.556
18/01/18 0:00,7.55,4,3.55
19/01/18 0:00,7.56,4,3.56
22/01/18 0:00,7.567,4,3.567
23/01/18 0:00,7.49,4,3.49
24/01/18 0:00,7.48,4,3.48
25/01/18 0:00,7.5,4,3.5
26/01/18 0:00,7.521,4,3.521
29/01/18 0:00,7.5,4,3.5
30/01/18 0:00,7.64,4,3.64
31/01/18 0:00,7.59,4,3.59
01/02/18 0:00,7.55,4,3.55
02/02/18 0:00,7.57,4,3.57
06/02/18 0:00,7.6,4,3.6
07/02/18 0:00,7.57,4,3.57
08/02/18 0:00,7.64,4,3.64
09/02/18 0:00,7.68,4,3.68
12/02/18 0:00,7.74,4,3.74
13/02/18 0:00,7.75,4,3.75
14/02/18 0:00,7.79,4,3.79
15/02/18 0:00,7.71,4,3.71
16/02/18 0:00,7.67,4,3.67
19/02/18 0:00,7.69,4,3.69
20/02/18 0:00,7.72,4,3.72
21/02/18 0:00,7.69,4,3.69
22/02/18 0:00,7.61,4,3.61
23/02/18 0:00,7.61,4,3.61
26/02/18 0:00,7.63,4,3.63
27/02/18 0:00,7.64,4,3.64
28/02/18 0:00,7.62,4,3.62
01/03/18 0:00,7.59,4,3.59
02/03/18 0:00,7.58,4,3.58
05/03/18 0:00,7.61,4,3.61
06/03/18 0:00,7.56,4,3.56
07/03/18 0:00,7.55,4,3.55
08/03/18 0:00,7.55,4,3.55
09/03/18 0:00,7.52,4,3.52
12/03/18 0:00,7.53,4,3.53
13/03/18 0:00,7.54,4,3.54
14/03/18 0:00,7.56,4,3.56
15/03/18 0:00,7.56,4,3.56
16/03/18 0:00,7.419,4,3.419
20/03/18 0:00,7.55,4,3.55
21/03/18 0:00,7.54,4,3.54
22/03/18 0:00,7.49,4,3.49
23/03/18 0:00,7.47,4,3.47
26/03/18 0:00,7.41,4,3.41
27/03/18 0:00,7.35,4,3.35
28/03/18 0:00,7.29,4,3.29
02/04/18 0:00,7.37,4,3.37
03/04/18 0:00,7.31,4,3.31
04/04/18 0:00,7.25,4,3.25
05/04/18 0:00,7.29,4,3.29
06/04/18 0:00,7.25,4,3.25
09/04/18 0:00,7.26,4,3.26
10/04/18 0:00,7.31,4,3.31
11/04/18 0:00,7.33,4,3.33
12/04/18 0:00,7.3,4,3.3
13/04/18 0:00,7.33,4,3.33
16/04/18 0:00,7.4,4,3.4
17/04/18 0:00,7.36,4,3.36
18/04/18 0:00,7.35,4,3.35
19/04/18 0:00,7.44,4,3.44
20/04/18 0:00,7.47,4,3.47
23/04/18 0:00,7.57,4,3.57
24/04/18 0:00,7.545,4,3.545
25/04/18 0:00,7.52,4,3.52
26/04/18 0:00,7.53,4,3.53
27/04/18 0:00,7.44,4,3.44
30/04/18 0:00,7.46,4,3.46
02/05/18 0:00,7.5,4,3.5
03/05/18 0:00,7.52,4,3.52
04/05/18 0:00,7.56,4,3.56
07/05/18 0:00,7.64,4,3.64
08/05/18 0:00,7.71,4,3.71
09/05/18 0:00,7.69,4,3.69
10/05/18 0:00,7.57,4,3.57
11/05/18 0:00,7.59,4,3.59
14/05/18 0:00,7.67,4,3.67
15/05/18 0:00,7.77,4,3.77
16/05/18 0:00,7.74,4,3.74
17/05/18 0:00,7.74,4,3.74
