Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
05.03.2026,"97,910","97,930","97,930","97,905","317,67K","-0,02%"
04.03.2026,"97,930","97,930","97,940","97,905","202,91K","0,01%"
03.03.2026,"97,925","97,940","97,945","97,910","395,03K","-0,02%"
02.03.2026,"97,945","97,955","97,965","97,940","258,79K","-0,02%"
27.02.2026,"97,960","97,960","97,960","97,950","243,39K","0,01%"
26.02.2026,"97,955","97,960","97,960","97,955","66,72K","-0,01%"
25.02.2026,"97,960","97,950","97,960","97,950","77,09K","0,01%"
24.02.2026,"97,955","97,955","97,955","97,950","66,39K","0,00%"
23.02.2026,"97,955","97,950","97,955","97,950","71,07K","0,01%"
20.02.2026,"97,950","97,950","97,955","97,950","57,52K","-0,01%"
19.02.2026,"97,955","97,955","97,960","97,950","73,33K","-0,01%"
18.02.2026,"97,960","97,960","97,960","97,955","51,29K","0,01%"
17.02.2026,"97,955","97,960","97,965","97,955","84,98K","-0,05%"
16.02.2026,"98,001","97,990","97,990","97,985","5,99K","0,01%"
13.02.2026,"97,990","97,995","97,995","97,985","18,02K","0,00%"
12.02.2026,"97,990","97,975","97,995","97,975","24,80K","0,01%"
11.02.2026,"97,980","97,980","97,980","97,970","17,23K","0,00%"
10.02.2026,"97,980","97,975","97,985","97,970","32,80K","0,01%"
09.02.2026,"97,975","97,970","97,985","97,965","26,57K","0,01%"
06.02.2026,"97,970","97,960","97,975","97,960","15,77K","0,01%"
05.02.2026,"97,965","97,960","97,965","97,950","20,59K","0,01%"
04.02.2026,"97,960","97,960","97,960","97,950","18,44K","0,00%"
03.02.2026,"97,960","97,960","97,965","97,955","6,50K","-0,01%"
02.02.2026,"97,965","97,960","97,970","97,955","11,19K","0,01%"
30.01.2026,"97,960","97,960","97,965","97,955","10,19K","-0,01%"
29.01.2026,"97,965","97,960","97,970","97,960","13,99K","0,01%"
28.01.2026,"97,960","97,955","97,965","97,950","28,44K","0,01%"
27.01.2026,"97,950","97,945","97,955","97,945","16,81K","0,01%"
26.01.2026,"97,945","97,945","97,950","97,940","7,10K","0,00%"
23.01.2026,"97,945","97,950","97,950","97,945","13,16K","-0,01%"
22.01.2026,"97,950","97,950","97,955","97,945","9,70K","0,00%"
21.01.2026,"97,950","97,955","97,955","97,945","10,42K","0,00%"
20.01.2026,"97,950","97,945","97,955","97,945","11,30K","-0,02%"
19.01.2026,"97,971","97,965","97,965","97,960","6,27K","0,01%"
16.01.2026,"97,960","97,960","97,965","97,955","14,60K","0,00%"
15.01.2026,"97,960","97,965","97,970","97,960","12,92K","-0,01%"
14.01.2026,"97,970","97,965","97,970","97,960","15,21K","0,01%"
13.01.2026,"97,965","97,955","97,965","97,955","37,39K","0,01%"
12.01.2026,"97,955","97,960","97,965","97,955","14,26K","-0,01%"
09.01.2026,"97,960","97,960","97,965","97,950","21,28K","0,01%"
08.01.2026,"97,955","97,960","97,960","97,955","5,66K","-0,01%"
07.01.2026,"97,960","97,960","97,960","97,955","7,45K","0,01%"
06.01.2026,"97,955","97,955","97,960","97,950","22,34K","0,00%"
05.01.2026,"97,955","97,950","97,960","97,950","16,00K","0,00%"
02.01.2026,"97,955","97,955","97,955","97,950","16,49K","-0,01%"
31.12.2025,"97,960","97,970","97,970","97,960","6,04K","-0,01%"
30.12.2025,"97,965","97,965","97,970","97,965","28,65K","0,00%"
29.12.2025,"97,965","97,955","97,970","97,955","33,98K","0,01%"
26.12.2025,"97,955","97,955","97,955","97,955",,"0,00%"
24.12.2025,"97,955","97,960","97,960","97,955","0,78K","0,00%"
23.12.2025,"97,955","97,950","97,960","97,945","10,70K","0,01%"
22.12.2025,"97,950","97,955","97,955","97,945","12,46K","-0,01%"
19.12.2025,"97,955","97,955","97,960","97,950","35,25K","0,00%"
18.12.2025,"97,955","97,955","97,960","97,945","23,08K","0,01%"
17.12.2025,"97,950","97,950","97,955","97,945","17,56K","0,01%"
16.12.2025,"97,945","97,935","97,950","97,935","33,29K","0,02%"
15.12.2025,"97,928","97,925","97,930","97,925","37,90K","0,00%"
12.12.2025,"97,925","97,925","97,930","97,920","112,34K","0,00%"
11.12.2025,"97,925","97,940","97,945","97,920","257,80K","-0,02%"
10.12.2025,"97,940","97,940","97,945","97,930","167,50K","0,00%"
09.12.2025,"97,940","97,950","97,950","97,935","195,48K","-0,01%"
08.12.2025,"97,945","97,945","97,950","97,940","215,98K","0,00%"
05.12.2025,"97,945","97,955","97,960","97,945","206,35K","-0,01%"
04.12.2025,"97,955","97,960","97,965","97,950","156,03K","-0,01%"
03.12.2025,"97,960","97,955","97,965","97,950","149,65K","0,01%"
02.12.2025,"97,950","97,945","97,955","97,945","111,17K","0,01%"
01.12.2025,"97,945","97,955","97,955","97,945","123,55K","-0,01%"
28.11.2025,"97,955","97,950","97,955","97,950","76,66K","0,01%"
27.11.2025,"97,950","97,950","97,955","97,950","27,56K","-0,01%"
26.11.2025,"97,955","97,950","97,955","97,950","70,51K","0,01%"
25.11.2025,"97,950","97,950","97,955","97,950","54,67K","-0,01%"
24.11.2025,"97,955","97,955","97,960","97,950","62,86K","0,00%"
21.11.2025,"97,955","97,955","97,960","97,950","98,17K","0,01%"
