"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.03.2026","1.0536","0.9304","1.1792","0.9083","1.26M","13.24%"
"20.03.2026","0.9304","1.0080","1.0157","0.9223","128.28K","-7.70%"
"19.03.2026","1.0080","1.0646","1.0911","0.9794","80.64K","-5.32%"
"18.03.2026","1.0646","1.1642","1.1901","1.0495","135.29K","-8.56%"
"17.03.2026","1.1642","1.2395","1.2397","1.1492","122.87K","-6.08%"
"16.03.2026","1.2395","1.2351","1.2658","1.2127","64.06K","0.36%"
"15.03.2026","1.2351","1.1733","1.2846","1.1644","464.44K","5.27%"
"14.03.2026","1.1733","1.2160","1.2337","1.1617","709.52K","-3.51%"
"13.03.2026","1.2160","1.2867","1.3199","1.1817","245.64K","-5.49%"
"12.03.2026","1.2867","1.2575","1.2881","1.2264","26.75K","2.32%"
"11.03.2026","1.2575","1.2752","1.3153","1.2486","72.44K","-1.39%"
"10.03.2026","1.2752","1.2577","1.2967","1.2347","262.41K","1.39%"
"09.03.2026","1.2577","1.2097","1.3029","1.1985","257.74K","3.97%"
"08.03.2026","1.2097","1.1576","1.2390","1.1328","249.28K","4.50%"
"07.03.2026","1.1576","1.2177","1.3099","1.1479","244.18K","-4.94%"
"06.03.2026","1.2177","1.2160","1.2735","1.1245","351.14K","0.14%"
"05.03.2026","1.2160","1.2034","1.2891","1.1831","265.68K","1.05%"
"04.03.2026","1.2034","1.1834","1.2103","1.1573","114.57K","1.69%"
"03.03.2026","1.1834","1.2117","1.2447","1.1834","180.53K","-2.34%"
"02.03.2026","1.2117","1.2124","1.2749","1.1869","336.14K","-0.06%"
"01.03.2026","1.2124","1.3851","1.4304","1.1955","417.05K","-12.47%"
"28.02.2026","1.3851","1.4825","1.5776","1.2506","1.05M","-6.70%"
"27.02.2026","1.4846","1.2563","1.6250","1.2284","2.62M","18.17%"
"26.02.2026","1.2563","1.1712","1.3022","1.1589","348.14K","7.27%"
"25.02.2026","1.1712","1.1768","1.2253","1.1594","280.78K","-0.37%"
"24.02.2026","1.1756","1.1288","1.2512","1.1080","378.44K","4.16%"
