"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.02.2026","134.950","129.630","136.150","127.760","1.03M","3.76%"
"26.02.2026","130.060","128.380","130.840","128.380","238.61K","1.90%"
"25.02.2026","127.640","132.360","132.820","126.400","462.95K","-4.05%"
"24.02.2026","133.030","132.950","133.760","129.540","281.03K","-0.11%"
"23.02.2026","133.180","130.690","134.040","129.130","352.58K","1.29%"
"20.02.2026","131.480","127.290","131.960","127.290","301.12K","3.16%"
"19.02.2026","127.450","125.980","129.390","125.430","311.11K","1.17%"
"18.02.2026","125.980","128.420","130.480","125.700","446.88K","-1.89%"
"17.02.2026","128.410","127.270","129.500","125.740","205.96K","1.65%"
"16.02.2026","126.320","125.540","128.190","125.540","34.16K","-2.56%"
"13.02.2026","129.640","122.450","129.970","121.400","384.34K","5.40%"
"12.02.2026","123.000","120.200","123.940","119.480","352.27K","1.38%"
"11.02.2026","121.330","122.010","122.760","119.510","414.62K","-0.30%"
"10.02.2026","121.700","120.500","124.370","120.070","499.96K","0.74%"
"09.02.2026","120.810","120.590","121.790","119.460","411.31K","0.18%"
"06.02.2026","120.590","118.710","121.100","117.760","429.24K","2.40%"
"05.02.2026","117.760","120.650","123.660","117.510","409.16K","-3.40%"
"04.02.2026","121.900","123.400","123.430","120.020","447.83K","-1.20%"
"03.02.2026","123.380","120.070","125.240","120.070","567.92K","3.71%"
"30.01.2026","118.970","122.490","123.560","118.130","509.31K","-2.95%"
"29.01.2026","122.590","125.500","126.410","122.260","355.91K","-1.63%"
"28.01.2026","124.620","124.440","126.050","124.000","376.89K","0.48%"
"27.01.2026","124.030","127.400","128.080","123.360","459.86K","-2.65%"
"26.01.2026","127.410","125.250","129.730","125.000","396.60K","1.36%"
"23.01.2026","125.700","122.590","126.200","122.590","456.50K","2.18%"
"22.01.2026","123.020","121.100","123.490","120.670","397.78K","2.02%"
"21.01.2026","120.580","121.990","122.610","120.000","412.86K","-0.37%"
"20.01.2026","121.030","121.750","122.990","120.190","262.28K","-1.81%"
"19.01.2026","123.260","122.460","123.330","122.400","155.07K","0.15%"
"16.01.2026","123.080","121.200","123.500","120.750","445.96K","2.30%"
"15.01.2026","120.310","122.420","122.480","119.780","415.35K","-1.72%"
"14.01.2026","122.420","121.190","122.700","117.650","374.21K","1.55%"
"13.01.2026","120.550","120.500","121.200","118.500","319.13K","-0.21%"
"12.01.2026","120.800","121.000","122.190","119.800","227.49K","-0.61%"
"09.01.2026","121.540","118.690","122.190","118.180","467.88K","2.01%"
"08.01.2026","119.150","117.180","119.780","116.060","305.53K","1.82%"
"07.01.2026","117.020","117.590","117.660","115.200","335.33K","-0.14%"
"06.01.2026","117.180","120.040","120.500","116.720","511.97K","-2.63%"
"05.01.2026","120.340","117.610","120.500","117.020","402.77K","2.44%"
"02.01.2026","117.470","118.010","118.890","116.600","146.18K","-0.40%"
"31.12.2025","117.940","116.880","118.890","116.450","266.01K","0.91%"
"30.12.2025","116.880","119.370","119.370","116.370","302.28K","-1.81%"
"29.12.2025","119.030","118.910","120.600","118.410","480.59K","-0.43%"
"26.12.2025","119.540","119.590","120.300","117.980","155.00K","-0.08%"
"24.12.2025","119.640","117.700","119.880","117.530","113.68K","1.73%"
"23.12.2025","117.610","115.330","118.330","114.450","211.58K","1.99%"
"22.12.2025","115.320","115.680","116.390","113.100","420.21K","-0.61%"
"19.12.2025","116.030","115.390","117.670","113.550","3.52M","1.05%"
"18.12.2025","114.820","116.360","116.450","114.380","579.12K","-1.01%"
"17.12.2025","115.990","117.210","118.400","114.500","495.93K","-1.51%"
"16.12.2025","117.770","117.820","118.810","116.600","382.32K","-0.26%"
"15.12.2025","118.080","121.130","122.290","117.770","330.82K","-2.52%"
"11.12.2025","121.130","119.870","123.800","119.080","277.27K","1.33%"
"10.12.2025","119.540","120.370","120.480","117.770","524.54K","-0.34%"
"09.12.2025","119.950","121.330","121.360","119.800","340.23K","-0.70%"
"08.12.2025","120.800","123.840","123.990","120.520","433.84K","-2.64%"
"05.12.2025","124.080","125.630","126.080","123.520","150.09K","-1.25%"
"04.12.2025","125.650","123.400","126.090","123.200","263.62K","2.34%"
"03.12.2025","122.780","123.500","123.500","121.730","355.98K","-0.14%"
"02.12.2025","122.950","124.600","124.610","122.800","345.30K","-0.82%"
"01.12.2025","123.970","125.040","126.100","123.600","203.31K","-0.70%"
"28.11.2025","124.840","126.350","126.350","124.000","215.01K","-0.04%"
"27.11.2025","124.890","125.830","126.060","124.600","58.00K","-0.73%"
"26.11.2025","125.810","129.090","130.880","125.600","215.95K","-2.03%"
"25.11.2025","128.420","129.520","130.490","127.020","237.61K","-2.14%"
"24.11.2025","131.230","125.430","133.490","125.430","1.18M","4.42%"
"21.11.2025","125.680","127.270","128.100","125.250","155.89K","-1.37%"
"20.11.2025","127.420","130.700","131.400","125.590","183.39K","-2.56%"
"19.11.2025","130.770","127.600","131.390","127.330","173.18K","2.90%"
"18.11.2025","127.090","127.490","128.680","125.150","226.60K","-0.09%"
"14.11.2025","127.210","127.040","129.680","126.060","183.62K","0.13%"
"13.11.2025","127.040","129.800","130.700","126.550","230.30K","-1.09%"
"12.11.2025","128.440","135.980","135.990","128.000","342.46K","-5.66%"
"11.11.2025","136.140","130.000","136.680","130.000","206.04K","4.84%"
"10.11.2025","129.860","135.050","135.050","129.450","145.29K","-3.46%"
"07.11.2025","134.510","133.600","135.910","131.100","169.01K","0.22%"
"06.11.2025","134.210","136.090","136.300","133.440","283.53K","-1.37%"
"05.11.2025","136.080","133.990","137.000","133.460","265.80K","1.08%"
"04.11.2025","134.620","130.430","137.770","129.660","289.57K","1.65%"
"03.11.2025","132.430","132.100","133.370","128.520","136.50K","-0.26%"
"31.10.2025","132.780","130.510","134.000","128.120","391.35K","1.13%"
"30.10.2025","131.290","133.550","134.680","129.320","247.27K","-2.27%"
"29.10.2025","134.340","130.500","134.800","130.500","229.92K","1.27%"
"28.10.2025","132.650","126.760","134.900","125.030","586.45K","3.82%"
"27.10.2025","127.770","122.310","128.150","121.400","242.66K","5.39%"
"24.10.2025","121.230","125.500","125.500","120.500","403.83K","-2.04%"
"23.10.2025","123.760","122.370","124.200","120.670","174.50K","0.28%"
"22.10.2025","123.420","122.850","123.990","121.000","196.82K","0.92%"
"21.10.2025","122.290","124.120","124.120","122.000","156.73K","-1.29%"
"20.10.2025","123.890","124.440","126.870","122.550","333.48K","-0.26%"
"17.10.2025","124.210","127.180","127.800","123.650","194.15K","-2.46%"
"16.10.2025","127.340","124.600","127.990","123.900","252.67K","3.72%"
"15.10.2025","122.770","124.590","126.340","122.190","254.00K","-1.45%"
"14.10.2025","124.580","125.970","126.290","124.040","162.11K","-1.53%"
"13.10.2025","126.520","123.870","127.970","123.800","187.15K","2.15%"
"10.10.2025","123.860","129.530","129.530","123.030","609.46K","-5.14%"
"09.10.2025","130.570","129.640","130.990","126.080","179.47K","1.98%"
"08.10.2025","128.030","130.610","131.180","127.520","180.04K","-2.89%"
"07.10.2025","131.840","130.990","133.590","130.380","277.25K","0.65%"
"06.10.2025","130.990","129.430","131.610","126.010","204.13K","1.48%"
"03.10.2025","129.080","127.000","129.490","125.800","117.23K","2.33%"
"02.10.2025","126.140","127.530","128.730","125.530","236.04K","-2.58%"
"01.10.2025","129.480","131.430","132.200","126.710","185.01K","-0.99%"
"30.09.2025","130.770","131.800","133.480","129.580","414.82K","1.48%"
"29.09.2025","128.860","132.090","132.990","128.220","191.64K","-2.86%"
"26.09.2025","132.660","131.050","134.050","131.010","126.62K","0.71%"
"25.09.2025","131.720","128.290","133.020","128.290","321.31K","2.77%"
"24.09.2025","128.170","133.360","133.360","127.510","258.40K","-4.11%"
"23.09.2025","133.670","133.300","134.490","130.520","134.08K","0.66%"
"22.09.2025","132.790","134.000","136.250","128.020","261.80K","-1.73%"
"19.09.2025","135.130","130.950","136.920","126.260","1.73M","2.53%"
"18.09.2025","131.790","132.480","132.950","127.000","235.11K","-0.55%"
"17.09.2025","132.520","131.500","133.800","130.270","530.62K","0.78%"
"15.09.2025","131.500","126.290","132.050","126.290","202.79K","3.22%"
"12.09.2025","127.400","127.000","131.000","125.430","222.37K","0.29%"
"11.09.2025","127.030","123.940","129.830","123.940","236.90K","3.13%"
"10.09.2025","123.170","127.020","127.020","123.000","197.58K","-3.06%"
"09.09.2025","127.060","128.850","130.330","126.380","292.20K","-1.28%"
"08.09.2025","128.710","130.540","130.540","127.050","159.49K","-2.37%"
"05.09.2025","131.830","128.250","132.000","126.940","149.82K","3.82%"
"04.09.2025","126.980","124.000","128.890","123.340","182.06K","2.67%"
"03.09.2025","123.680","127.220","127.910","123.150","222.47K","-2.71%"
"02.09.2025","127.120","123.820","127.870","123.780","98.26K","2.19%"
"01.09.2025","124.400","124.080","124.650","123.520","36.06K","0.60%"
"29.08.2025","123.660","124.000","124.490","122.770","319.11K","0.32%"
"28.08.2025","123.260","123.110","125.000","121.760","157.16K","0.11%"
"27.08.2025","123.120","122.320","124.000","120.010","155.57K","1.83%"
"26.08.2025","120.910","125.550","126.900","120.000","999.20K","-3.72%"
"25.08.2025","125.580","126.740","128.980","125.000","100.39K","-0.81%"
"22.08.2025","126.600","125.000","127.900","125.000","83.87K","0.90%"
"21.08.2025","125.470","125.250","128.700","124.490","66.02K","0.18%"
"20.08.2025","125.240","127.670","128.040","125.020","188.03K","-2.12%"
"19.08.2025","127.950","127.790","129.910","127.670","98.36K","-0.16%"
"18.08.2025","128.160","130.440","130.440","126.510","183.47K","-2.03%"
"15.08.2025","130.810","128.980","131.790","128.900","85.69K","2.45%"
"14.08.2025","127.680","128.670","129.670","127.240","104.79K","-0.76%"
"13.08.2025","128.660","129.970","132.860","128.100","149.29K","-0.93%"
"12.08.2025","129.870","130.160","133.000","128.610","150.33K","-1.21%"
"11.08.2025","131.460","132.350","133.670","130.520","143.60K","-1.14%"
"08.08.2025","132.970","133.630","134.000","130.020","251.01K","0.08%"
"07.08.2025","132.860","130.500","133.000","129.860","96.71K","2.15%"
"06.08.2025","130.060","129.760","132.580","129.300","164.65K","1.59%"
"05.08.2025","128.030","127.750","131.040","126.980","151.14K","-0.09%"
"04.08.2025","128.140","130.960","130.960","127.710","160.41K","-1.08%"
"01.08.2025","129.540","134.380","136.090","129.200","191.83K","-3.71%"
"31.07.2025","134.530","134.710","137.990","132.000","200.73K","0.40%"
"30.07.2025","133.990","137.460","138.440","133.100","132.75K","-3.30%"
"29.07.2025","138.560","137.130","139.740","134.020","181.84K","-0.06%"
"28.07.2025","138.640","140.100","140.970","137.750","160.37K","-1.01%"
"25.07.2025","140.050","138.040","141.150","137.010","86.45K","1.16%"
"24.07.2025","138.450","137.690","141.190","136.330","209.15K","0.37%"
"23.07.2025","137.940","132.410","140.580","132.410","289.42K","3.85%"
"22.07.2025","132.830","138.970","139.010","131.020","303.57K","-4.82%"
"21.07.2025","139.560","144.220","145.870","138.740","326.33K","-3.46%"
"18.07.2025","144.560","139.510","145.520","139.510","254.33K","4.22%"
"17.07.2025","138.700","135.100","141.490","135.100","392.23K","2.38%"
"16.07.2025","135.470","138.330","139.500","135.160","161.36K","-0.67%"
"15.07.2025","136.390","137.070","138.490","135.030","72.87K","0.39%"
"14.07.2025","135.860","136.210","139.480","134.950","207.91K","-1.19%"
"11.07.2025","137.490","138.990","141.120","135.310","291.16K","-0.50%"
"10.07.2025","138.180","137.990","139.390","135.030","381.75K","1.91%"
"09.07.2025","135.590","136.180","138.980","134.030","266.80K","-0.48%"
"08.07.2025","136.240","132.410","136.890","130.860","237.60K","2.08%"
"07.07.2025","133.460","136.480","137.510","132.980","198.34K","-1.91%"
"04.07.2025","136.060","134.640","136.600","134.630","32.70K","0.86%"
"03.07.2025","134.900","138.460","138.460","133.220","204.70K","-3.06%"
"02.07.2025","139.160","135.620","141.700","134.850","554.98K","2.68%"
"01.07.2025","135.530","132.260","136.180","131.270","269.26K","1.31%"
"30.06.2025","133.780","134.660","136.320","132.450","295.21K","-0.39%"
"27.06.2025","134.300","137.620","146.500","133.620","290.43K","-4.01%"
"26.06.2025","139.910","138.100","141.390","135.940","426.48K","1.33%"
"25.06.2025","138.070","128.750","138.800","128.750","348.33K","7.26%"
"24.06.2025","128.720","130.150","133.310","127.810","146.51K","-1.76%"
"23.06.2025","131.030","129.200","132.880","127.350","170.22K","1.22%"
"20.06.2025","129.450","129.000","132.090","127.450","2.31M","-1.26%"
"19.06.2025","131.100","130.950","131.740","128.890","20.68K","-0.56%"
"18.06.2025","131.840","127.000","132.100","125.550","169.91K","4.59%"
"17.06.2025","126.060","129.020","129.950","125.690","172.43K","-3.16%"
"16.06.2025","130.170","128.030","131.960","126.700","299.71K","1.45%"
"13.06.2025","128.310","128.000","128.680","126.710","150.78K","-0.07%"
"12.06.2025","128.400","126.660","128.870","125.600","146.63K","0.59%"
"11.06.2025","127.650","127.760","129.000","125.620","171.25K","-0.36%"
"10.06.2025","128.110","125.520","128.800","125.520","220.51K","1.30%"
"09.06.2025","126.470","126.600","127.000","125.050","80.73K","-0.61%"
"06.06.2025","127.240","124.510","127.800","123.290","200.53K","1.00%"
"05.06.2025","125.980","127.900","128.000","124.240","183.74K","-1.39%"
"04.06.2025","127.760","124.000","128.000","123.170","500.59K","3.01%"
"03.06.2025","124.030","124.190","124.740","121.870","287.80K","1.22%"
"02.06.2025","122.530","124.010","126.970","120.590","372.96K","-0.88%"
"30.05.2025","123.620","131.900","131.900","123.270","1.49M","-5.53%"
"29.05.2025","130.850","130.040","134.220","130.040","348.14K","1.20%"
"28.05.2025","129.300","131.610","134.920","129.010","485.96K","-1.23%"
"27.05.2025","130.910","129.910","144.410","129.910","659.99K","1.66%"
"26.05.2025","128.770","129.300","130.000","127.040","36.82K","0.22%"
"23.05.2025","128.490","124.910","129.480","123.960","299.75K","1.97%"
"22.05.2025","126.010","124.210","128.420","124.100","293.48K","1.31%"
"21.05.2025","124.380","124.850","128.500","123.020","285.64K","-0.62%"
"20.05.2025","125.150","128.640","128.640","124.150","195.13K","-1.60%"
"19.05.2025","127.190","126.010","129.810","124.170","183.19K","0.74%"
"16.05.2025","126.250","126.860","128.270","125.050","238.18K","-0.27%"
"15.05.2025","126.590","126.100","127.100","123.800","267.88K","-0.49%"
