"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"27.02.2026","196.390","197.410","198.910","193.810","12.41M","-1.23%"
"26.02.2026","198.830","197.310","200.000","197.310","6.67M","-0.02%"
"25.02.2026","198.870","200.290","200.540","196.430","6.78M","-0.47%"
"24.02.2026","199.800","198.610","200.500","197.680","10.43M","0.46%"
"23.02.2026","198.880","199.100","201.550","196.840","8.83M","-0.56%"
"20.02.2026","200.000","199.500","201.930","199.230","4.49M","-0.17%"
"19.02.2026","200.340","201.410","202.890","199.690","6.07M","-0.71%"
"18.02.2026","201.780","203.700","204.590","201.410","7.04M","-0.94%"
"17.02.2026","203.700","202.750","204.220","199.810","2.97M","0.77%"
"16.02.2026","202.140","203.840","205.120","201.780","500.79K","-1.33%"
"13.02.2026","204.870","202.390","205.490","199.610","4.14M","1.75%"
"12.02.2026","201.350","203.990","206.960","198.910","7.61M","-1.02%"
"11.02.2026","203.430","209.190","209.190","200.590","7.18M","-2.25%"
"10.02.2026","208.110","207.500","210.000","207.340","6.78M","0.47%"
"09.02.2026","207.130","209.100","209.640","206.130","6.28M","-0.78%"
"06.02.2026","208.760","200.210","209.660","200.210","7.15M","4.08%"
"05.02.2026","200.580","200.180","201.290","195.490","5.68M","0.41%"
"04.02.2026","199.760","205.950","209.650","198.100","7.48M","-3.04%"
"03.02.2026","206.020","198.790","207.490","195.090","10.76M","4.28%"
"30.01.2026","197.570","203.010","204.000","196.610","9.81M","-3.55%"
"29.01.2026","204.850","199.840","205.790","198.450","12.78M","2.51%"
"28.01.2026","199.840","190.700","199.990","189.430","9.50M","5.14%"
"27.01.2026","190.070","186.300","191.690","185.610","6.69M","1.31%"
"26.01.2026","187.620","186.890","188.080","185.000","5.10M","0.72%"
"23.01.2026","186.270","185.880","187.010","182.090","5.61M","0.23%"
"22.01.2026","185.840","185.880","188.890","183.610","6.85M","-0.52%"
"21.01.2026","186.820","182.980","189.530","182.920","7.88M","2.06%"
"20.01.2026","183.050","181.380","183.690","180.210","5.80M","0.41%"
"19.01.2026","182.300","183.800","183.800","180.810","1.28M","-0.82%"
"16.01.2026","183.800","179.760","185.090","179.760","8.45M","2.09%"
