Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
05.03.2026,"96,42","96,44","96,57","96,39","8,68M","-0,40%"
04.03.2026,"96,81","96,97","96,99","96,79","12,54M","-0,21%"
03.03.2026,"97,01","96,67","97,15","96,64","13,71M","-0,11%"
02.03.2026,"97,12","97,38","97,39","96,95","17,71M","-0,89%"
27.02.2026,"97,99","97,88","98,04","97,83","9,97M","0,40%"
26.02.2026,"97,60","97,42","97,60","97,42","8,18M","0,27%"
25.02.2026,"97,34","97,27","97,42","97,26","8,76M","-0,08%"
24.02.2026,"97,42","97,43","97,47","97,33","9,49M","-0,02%"
23.02.2026,"97,44","97,17","97,53","97,17","9,86M","0,36%"
20.02.2026,"97,09","97,13","97,14","96,89","11,20M","0,00%"
19.02.2026,"97,09","96,96","97,14","96,94","4,99M","0,09%"
18.02.2026,"97,00","97,03","97,09","96,97","7,78M","-0,21%"
17.02.2026,"97,20","97,25","97,31","97,15","8,62M","-0,01%"
13.02.2026,"97,21","97,12","97,26","97,09","11,68M","0,39%"
12.02.2026,"96,83","96,40","96,85","96,39","13,10M","0,61%"
11.02.2026,"96,24","96,18","96,45","96,15","9,11M","-0,28%"
10.02.2026,"96,51","96,43","96,55","96,40","9,75M","0,44%"
09.02.2026,"96,09","96,01","96,13","95,93","8,17M","0,02%"
06.02.2026,"96,07","96,11","96,13","95,92","7,76M","0,00%"
05.02.2026,"96,07","95,80","96,10","95,71","12,09M","0,59%"
04.02.2026,"95,51","95,45","95,61","95,41","7,27M","-0,02%"
03.02.2026,"95,53","95,39","95,57","95,37","7,31M","0,09%"
02.02.2026,"95,44","95,67","95,70","95,43","8,99M","-0,52%"
30.01.2026,"95,94","95,99","96,06","95,91","8,24M","-0,06%"
29.01.2026,"96,00","95,79","96,09","95,78","11,05M","0,10%"
28.01.2026,"95,90","95,92","95,94","95,72","17,03M","-0,08%"
27.01.2026,"95,98","96,03","96,15","95,95","9,86M","-0,11%"
26.01.2026,"96,09","96,10","96,15","96,04","6,80M","0,15%"
23.01.2026,"95,95","95,83","95,97","95,75","8,15M","0,17%"
22.01.2026,"95,79","95,69","95,86","95,64","10,21M","-0,01%"
21.01.2026,"95,80","95,65","95,84","95,56","11,97M","0,26%"
20.01.2026,"95,55","95,60","95,72","95,53","13,61M","-0,40%"
16.01.2026,"95,93","96,23","96,25","95,91","11,98M","-0,38%"
15.01.2026,"96,30","96,50","96,52","96,28","6,17M","-0,21%"
14.01.2026,"96,50","96,38","96,60","96,37","7,33M","0,21%"
13.01.2026,"96,30","96,34","96,37","96,20","7,62M","0,12%"
12.01.2026,"96,18","96,14","96,30","96,12","6,36M","-0,12%"
09.01.2026,"96,30","96,16","96,38","96,07","10,28M","0,11%"
08.01.2026,"96,19","96,22","96,31","96,18","6,93M","-0,30%"
07.01.2026,"96,48","96,51","96,55","96,34","7,99M","0,19%"
06.01.2026,"96,30","96,25","96,32","96,10","12,83M","-0,07%"
05.01.2026,"96,37","96,22","96,38","96,17","8,69M","0,30%"
02.01.2026,"96,08","96,29","96,29","96,07","6,61M","-0,08%"
31.12.2025,"96,16","96,34","96,46","96,15","6,80M","-0,33%"
30.12.2025,"96,48","96,44","96,56","96,40","4,11M","-0,10%"
29.12.2025,"96,58","96,55","96,60","96,45","5,03M","0,15%"
