Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,122.39,124.0,124.17,121.74,2.52M,-1.63%
11.12.2025,124.42,123.77,124.48,122.84,2.03M,-0.08%
10.12.2025,124.52,123.9,124.83,123.44,3.38M,0.39%
09.12.2025,124.04,123.88,124.35,123.62,1.47M,-0.03%
08.12.2025,124.08,124.71,124.85,123.62,1.81M,-0.34%
05.12.2025,124.5,124.36,124.95,124.12,1.55M,0.31%
04.12.2025,124.11,124.28,124.28,123.43,1.77M,0.41%
03.12.2025,123.6,123.06,123.88,122.62,2.44M,0.19%
02.12.2025,123.37,123.43,124.06,122.9,1.83M,0.32%
01.12.2025,122.98,122.56,123.52,122.3,2.27M,-0.51%
28.11.2025,123.61,123.3,123.61,123.11,1.33M,0.41%
26.11.2025,123.1,122.93,123.44,122.48,1.88M,0.65%
25.11.2025,122.31,121.11,122.52,119.83,2.32M,0.84%
24.11.2025,121.29,119.46,121.52,119.43,2.43M,2.36%
21.11.2025,118.49,118.17,119.81,116.69,5.97M,0.67%
20.11.2025,117.7,122.45,122.97,117.52,6.47M,-1.79%
19.11.2025,119.84,119.08,120.81,118.79,2.68M,0.97%
18.11.2025,118.69,119.3,119.83,117.77,9.68M,-1.15%
17.11.2025,120.07,120.58,121.75,119.28,4.91M,-0.80%
14.11.2025,121.04,119.19,121.78,118.69,3.49M,0.14%
13.11.2025,120.87,122.88,122.88,120.46,4.14M,-2.22%
12.11.2025,123.61,124.48,124.48,122.98,2.48M,-0.24%
11.11.2025,123.91,123.73,124.09,123.08,2.06M,-0.33%
10.11.2025,124.32,123.31,124.54,123.01,2.13M,2.29%
07.11.2025,121.54,121.04,121.58,119.23,3.35M,-0.19%
06.11.2025,121.77,123.54,123.54,121.37,2.39M,-1.46%
05.11.2025,123.57,123.13,124.49,122.84,2.97M,0.32%
04.11.2025,123.17,123.64,124.41,123.01,3.15M,-1.76%
03.11.2025,125.38,125.82,125.95,124.98,1.98M,0.47%
31.10.2025,124.79,125.73,125.82,124.3,2.96M,0.31%
30.10.2025,124.4,125.58,125.78,124.39,2.51M,-1.49%
29.10.2025,126.28,126.17,126.61,125.19,2.91M,0.57%
28.10.2025,125.57,125.08,125.99,124.68,1.84M,0.78%
27.10.2025,124.6,124.08,124.7,123.87,1.91M,1.57%
24.10.2025,122.67,122.38,123.0,122.24,1.54M,1.00%
23.10.2025,121.45,120.41,121.64,120.4,2.14M,0.81%
22.10.2025,120.48,121.46,121.59,119.46,2.23M,-0.58%
21.10.2025,121.18,121.43,121.53,120.93,1.77M,-0.20%
20.10.2025,121.42,120.84,121.65,120.84,1.62M,0.85%
17.10.2025,120.4,119.25,120.6,118.89,2.11M,0.53%
16.10.2025,119.76,120.85,121.36,118.98,3.31M,-0.53%
15.10.2025,120.4,121.01,121.48,119.19,2.30M,0.48%
14.10.2025,119.82,119.42,120.75,118.18,4.01M,-0.75%
13.10.2025,120.73,120.25,120.95,119.88,1.87M,2.06%
10.10.2025,118.29,122.24,122.66,118.24,3.50M,-3.09%
09.10.2025,122.06,122.22,122.24,121.57,2.28M,0.05%
08.10.2025,122.0,121.24,122.02,121.21,1.63M,0.84%
07.10.2025,120.98,121.76,121.95,120.57,1.26M,-0.54%
06.10.2025,121.64,121.22,121.86,120.97,1.52M,0.48%
03.10.2025,121.06,121.62,121.76,120.66,1.62M,-0.28%
02.10.2025,121.4,121.92,121.92,120.97,1.38M,0.14%
01.10.2025,121.23,120.01,121.45,119.9,1.78M,0.42%
30.09.2025,120.72,120.1,120.8,119.69,1.98M,0.47%
29.09.2025,120.16,120.38,120.82,119.84,1.45M,0.34%
26.09.2025,119.75,119.55,119.85,118.83,1.48M,0.46%
25.09.2025,119.2,119.02,119.68,118.27,1.42M,-0.58%
24.09.2025,119.9,120.81,120.84,119.43,1.36M,-0.42%
23.09.2025,120.41,121.63,121.64,120.12,3.34M,-1.02%
22.09.2025,121.65,120.54,121.77,120.44,3.27M,0.72%
19.09.2025,120.78,120.48,120.92,120.11,1.55M,0.69%
18.09.2025,119.95,119.99,120.55,119.57,1.46M,0.66%
17.09.2025,119.16,119.62,119.71,118.13,3.16M,-0.48%
16.09.2025,119.74,120.14,120.17,119.56,5.26M,-0.33%
15.09.2025,120.14,119.54,120.19,119.5,1.74M,0.96%
12.09.2025,119.0,118.94,119.29,118.67,936.10K,0.11%
11.09.2025,118.87,118.79,119.01,118.27,1.54M,0.52%
10.09.2025,118.25,118.36,118.87,117.86,2.76M,0.94%
09.09.2025,117.15,116.79,117.21,116.24,2.70M,0.46%
08.09.2025,116.61,116.5,117.02,116.5,1.41M,0.53%
05.09.2025,115.99,117.02,117.11,115.04,2.48M,-0.09%
04.09.2025,116.1,115.25,116.14,114.92,1.58M,0.91%
03.09.2025,115.05,114.74,115.29,114.35,1.85M,1.04%
02.09.2025,113.87,113.08,113.94,112.63,1.89M,-0.90%
29.08.2025,114.9,115.82,115.82,114.46,1.58M,-1.14%
28.08.2025,116.23,115.61,116.39,115.3,1.59M,0.55%
27.08.2025,115.59,115.32,115.8,115.06,1.11M,0.12%
26.08.2025,115.45,114.71,115.48,114.5,2.01M,0.61%
25.08.2025,114.75,114.76,115.39,114.53,1.56M,-0.16%
22.08.2025,114.93,113.29,115.25,113.09,1.81M,1.61%
21.08.2025,113.11,113.28,113.74,112.7,1.59M,-0.44%
20.08.2025,113.61,113.92,113.92,112.11,2.18M,-0.44%
19.08.2025,114.11,115.56,115.56,113.9,1.93M,-1.26%
18.08.2025,115.57,115.23,115.64,115.08,2.86M,0.10%
15.08.2025,115.45,115.91,116.0,115.14,1.37M,-0.30%
14.08.2025,115.8,115.25,116.09,115.24,1.67M,0.12%
13.08.2025,115.66,116.2,116.38,115.22,1.58M,-0.15%
12.08.2025,115.83,115.04,115.84,114.44,1.16M,1.12%
11.08.2025,114.55,114.71,115.22,114.3,1.20M,-0.16%
08.08.2025,114.73,114.2,114.9,114.14,1.07M,0.74%
07.08.2025,113.89,114.86,114.99,113.09,1.94M,-0.39%
06.08.2025,114.34,113.13,114.43,113.1,2.72M,1.14%
05.08.2025,113.05,113.92,114.21,112.8,1.71M,-0.75%
04.08.2025,113.9,112.61,113.93,112.61,3.33M,1.95%
01.08.2025,111.72,112.46,112.53,111.23,3.16M,-1.91%
31.07.2025,113.9,115.69,115.69,113.67,3.08M,-0.11%
30.07.2025,114.02,113.92,114.46,113.33,1.40M,0.23%
29.07.2025,113.76,114.55,114.75,113.63,1.35M,-0.41%
28.07.2025,114.23,114.12,114.28,113.87,1.23M,0.32%
25.07.2025,113.86,113.47,114.07,113.41,1.38M,0.50%
24.07.2025,113.29,113.4,113.57,112.96,1.48M,0.20%
23.07.2025,113.06,112.51,113.06,112.14,3.27M,0.96%
22.07.2025,111.98,112.71,112.71,111.32,1.43M,-0.59%
21.07.2025,112.65,112.58,113.15,112.57,2.11M,0.30%
18.07.2025,112.31,112.59,112.64,112.05,1.79M,-0.01%
17.07.2025,112.32,111.66,112.41,111.53,2.64M,0.71%
16.07.2025,111.53,111.48,111.63,110.4,1.45M,0.29%
15.07.2025,111.21,112.04,112.07,111.2,1.88M,0.09%
14.07.2025,111.11,110.71,111.27,110.36,1.15M,0.37%
11.07.2025,110.7,110.52,111.04,110.3,1.20M,-0.24%
10.07.2025,110.97,111.08,111.17,110.3,1.25M,0.08%
09.07.2025,110.88,110.39,111.07,110.39,1.34M,0.89%
08.07.2025,109.9,110.43,110.43,109.71,1.28M,-0.23%
07.07.2025,110.15,110.46,110.62,109.63,1.77M,-0.59%
03.07.2025,110.8,110.36,111.06,110.25,1.30M,0.95%
02.07.2025,109.76,108.91,109.8,108.89,1.45M,0.72%
01.07.2025,108.97,109.65,109.78,108.48,3.58M,-1.03%
30.06.2025,110.1,110.18,110.35,109.68,4.44M,0.56%
27.06.2025,109.49,109.09,109.75,108.62,1.50M,0.53%
26.06.2025,108.91,108.25,108.99,107.97,3.29M,1.00%
25.06.2025,107.83,107.88,108.21,107.57,1.62M,0.33%
24.06.2025,107.48,106.97,107.63,106.74,6.95M,1.47%
23.06.2025,105.92,104.68,106.0,104.21,1.55M,1.25%
20.06.2025,104.61,105.82,105.9,104.4,1.43M,-0.63%
18.06.2025,105.27,105.58,106.16,105.11,1.48M,-0.11%
17.06.2025,105.39,105.8,106.14,105.25,1.28M,-0.83%
16.06.2025,106.27,105.69,106.68,105.69,1.15M,1.11%
13.06.2025,105.1,105.22,106.03,104.8,2.09M,-1.23%
12.06.2025,106.41,105.71,106.6,105.63,1.57M,0.41%
11.06.2025,105.98,106.5,106.81,105.62,1.82M,-0.20%
10.06.2025,106.19,105.75,106.3,105.2,1.86M,0.58%
09.06.2025,105.58,105.68,105.87,105.3,2.49M,0.03%
06.06.2025,105.55,105.54,105.98,105.19,1.04M,1.07%
05.06.2025,104.43,105.63,105.97,104.02,1.76M,-0.83%
04.06.2025,105.3,105.25,105.51,104.87,6.89M,0.19%
03.06.2025,105.1,104.48,105.36,104.34,1.28M,0.68%
02.06.2025,104.39,103.22,104.41,102.92,1.45M,0.78%
30.05.2025,103.58,103.59,103.93,102.32,2.39M,-0.20%
29.05.2025,103.79,104.8,104.86,103.29,1.57M,0.35%
28.05.2025,103.43,103.93,104.29,103.29,1.75M,-0.37%
27.05.2025,103.81,102.73,103.89,102.56,2.30M,2.35%
23.05.2025,101.43,100.83,102.03,100.76,7.20M,-0.74%
22.05.2025,102.19,101.96,102.94,101.77,1.94M,0.25%
21.05.2025,101.94,102.73,103.93,101.63,2.71M,-1.48%
20.05.2025,103.47,103.56,103.74,102.81,13.11M,-0.50%
19.05.2025,103.99,102.5,104.13,102.5,1.50M,0.07%
16.05.2025,103.92,103.71,104.0,103.03,1.05M,0.59%
15.05.2025,103.31,102.82,103.75,102.54,1.91M,0.10%
14.05.2025,103.21,102.98,103.47,102.72,2.04M,0.74%
13.05.2025,102.45,101.25,102.92,101.06,2.73M,1.69%
12.05.2025,100.75,100.51,100.82,99.45,2.00M,3.80%
09.05.2025,97.06,97.51,97.78,96.63,940.59K,-0.12%
08.05.2025,97.18,97.44,98.09,96.48,1.43M,0.69%
07.05.2025,96.51,96.35,96.94,95.32,1.15M,0.34%
06.05.2025,96.18,95.85,96.85,95.68,1.02M,-0.93%
05.05.2025,97.08,96.66,97.69,96.66,2.32M,-0.49%
02.05.2025,97.56,97.01,97.97,96.78,1.63M,1.86%
01.05.2025,95.78,96.3,96.96,95.69,1.39M,1.19%
30.04.2025,94.65,93.0,95.02,92.1,1.15M,-0.03%
29.04.2025,94.68,93.67,94.85,93.56,1.14M,0.68%
28.04.2025,94.04,94.31,94.59,92.8,943.89K,-0.07%
