Fecha,Cierre,Apertura,Máximo,Mínimo,% var.
10/04/26,90.69,90.69,90.69,90.69,1.68%
09/04/26,89.19,89.19,89.36,89.19,-7.24%
08/04/26,96.16,96.16,96.16,91.19,-7.53%
07/04/26,103.99,103.99,103.99,103.65,-0.64%
06/04/26,104.65,104.65,104.65,103.65,-0.48%
03/04/26,105.15,105.15,105.15,105.15,0.16%
02/04/26,104.99,104.99,104.99,104.99,-0.14%
01/04/26,105.13,105.13,105.13,102.99,-4.68%
31/03/26,110.29,110.29,110.29,109.3,-1.50%
30/03/26,111.97,111.97,113.79,111.97,3.07%
27/03/26,108.64,108.64,110.47,108.64,3.97%
26/03/26,104.49,104.49,107.64,104.49,0.33%
25/03/26,104.14,104.14,104.14,103.49,-2.35%
24/03/26,106.65,106.65,106.82,106.65,0.01%
23/03/26,106.64,106.64,106.64,106.31,-1.27%
20/03/26,108.01,108.01,110.31,108.01,9.09%
19.03.2026,99.01,99.01,99.01,99.01,2.24%
18.03.2026,96.84,96.84,99.67,96.84,-1.35%
17.03.2026,98.17,98.17,98.17,96.68,-0.84%
16.03.2026,99,99,99.83,99,2.40%
13.03.2026,96.68,96.68,98.17,96.68,4.87%
12.03.2026,92.19,92.19,94.01,92.19,3.16%
11.03.2026,89.37,89.37,89.86,89.37,-1.08%
10.03.2026,90.35,90.35,90.35,88.7,-3.73%
09.03.2026,93.85,93.85,93.85,92.01,1.43%
06.03.2026,92.53,92.53,93.85,92.53,5.70%
05.03.2026,87.54,87.54,89.19,87.54,-0.73%
04.03.2026,88.19,88.19,88.19,87.2,-4.86%
03.03.2026,92.69,92.69,92.69,89.85,4.11%
02.03.2026,89.03,89.03,89.35,89.03,0.56%
27.02.2026,88.53,88.53,89.37,88.53,1.72%
26.02.2026,87.04,87.04,87.7,87.04,0.00%
25.02.2026,87.04,87.04,87.04,86.87,0.00%
24.02.2026,87.04,87.04,87.37,87.04,0.38%
23.02.2026,86.71,86.71,86.71,86.37,-0.19%
20.02.2026,86.87,86.87,86.87,86.21,-0.77%
19.02.2026,87.54,87.54,87.87,87.54,1.16%
18.02.2026,86.53,86.53,86.53,86.2,-1.89%
17.02.2026,88.2,88.2,88.2,87.03,-0.19%
16.02.2026,88.37,88.37,88.37,88.2,1.14%
13.02.2026,87.37,87.37,88.37,87.37,-0.38%
12.02.2026,87.7,87.7,88.04,87.7,0.00%
11.02.2026,87.71,87.71,88.03,87.71,1.15%
10.02.2026,86.7,86.7,86.88,86.7,0.20%
09.02.2026,86.53,86.53,86.56,86.53,-3.70%
06.02.2026,89.86,89.86,89.86,87.36,-1.82%
05.02.2026,91.53,91.53,91.69,91.53,1.28%
04.02.2026,90.36,90.36,90.53,90.36,1.87%
03.02.2026,88.7,88.7,90.36,88.7,0.38%
02.02.2026,88.37,88.37,88.7,88.37,0.19%
30.01.2026,88.2,88.2,88.7,88.2,-0.93%
29.01.2026,89.03,89.03,89.03,87.71,0.00%
28.01.2026,89.03,89.03,89.03,88.7,0.19%
27.01.2026,88.87,88.87,88.87,88.7,-0.37%
26.01.2026,89.2,89.2,89.2,89.2,0.37%
23.01.2026,88.87,88.87,89.53,88.87,0.19%
22.01.2026,88.7,88.7,89.03,88.7,-1.84%
21.01.2026,90.36,90.36,90.36,89.53,-1.27%
20.01.2026,91.53,91.53,91.53,91.03,0.36%
19.01.2026,91.19,91.19,91.36,91.19,0.00%
16.01.2026,91.2,91.2,91.2,90.69,0.56%
15.01.2026,90.69,90.69,90.69,90.19,-1.90%
14.01.2026,92.45,92.45,92.52,92.45,1.93%
13.01.2026,90.7,90.7,91.45,90.7,1.30%
12.01.2026,89.53,89.53,89.69,89.53,-0.73%
09.01.2026,90.19,90.19,90.19,89.7,-0.56%
08.01.2026,90.7,90.7,91.19,90.7,1.49%
07.01.2026,89.37,89.37,91.2,89.37,-0.36%
06.01.2026,89.69,89.69,89.69,88.37,-2.28%
05.01.2026,91.78,91.78,92.03,91.78,1.19%
02.01.2026,90.7,90.7,90.95,90.7,0.37%
01.01.2026,90.37,90.37,90.37,90.37,-0.36%
31.12.2025,90.69,90.69,90.69,90.36,0.19%
30.12.2025,90.53,90.53,90.53,90.36,0.00%
29.12.2025,90.53,90.53,90.53,90.53,0.00%
26.12.2025,90.53,90.53,90.53,90.53,0.00%
25.12.2025,90.53,90.53,90.53,90.53,0.00%
24.12.2025,90.53,90.53,90.53,90.53,-0.37%
23.12.2025,90.86,90.86,90.86,90.52,-0.18%
22.12.2025,91.03,91.03,91.03,90.53,-0.54%
19.12.2025,91.52,91.52,91.69,91.52,-0.72%
18.12.2025,92.19,92.19,92.19,92.19,-0.54%
17.12.2025,92.69,92.69,92.86,92.69,1.09%
16.12.2025,91.69,91.69,92.19,91.69,-0.36%
15.12.2025,92.03,92.03,92.03,92.03,-0.71%
12.12.2025,92.69,92.69,92.69,91.69,-2.10%
11.12.2025,94.68,94.68,94.68,93.35,-1.90%
10.12.2025,96.51,96.51,96.51,94.85,1.22%
09.12.2025,95.35,95.35,96.35,95.35,1.41%
08.12.2025,94.02,94.02,94.51,94.02,1.08%
05.12.2025,93.02,93.02,93.35,93.02,-0.36%
04.12.2025,93.36,93.36,93.36,93.35,0.91%
03.12.2025,92.52,92.52,92.52,91.69,-2.11%
02.12.2025,94.51,94.51,94.51,94.18,-2.91%
01.12.2025,97.34,97.34,97.34,95.84,-0.51%
28.11.2025,97.84,97.84,97.84,97.67,0.00%
27.11.2025,97.84,97.84,97.84,97.84,-0.84%
26.11.2025,98.66,98.66,98.66,97.84,-2.31%
25.11.2025,101,101,101,100.33,-0.65%
24.11.2025,101.65,101.65,101.65,100.33,-0.66%
21.11.2025,102.33,102.33,102.49,102.33,3.19%
20.11.2025,99.17,99.17,102,99.17,-0.99%
19.11.2025,100.16,100.16,100.16,100,-1.16%
18.11.2025,101.34,101.34,101.34,101.16,3.05%
17.11.2025,98.34,98.34,100.34,98.34,-0.17%
14.11.2025,98.51,98.51,98.51,98.01,1.89%
13.11.2025,96.68,96.68,98.35,96.68,1.58%
12.11.2025,95.18,95.18,96.35,95.18,-0.69%
11.11.2025,95.85,95.85,95.85,95.68,-2.19%
10.11.2025,97.99,97.99,97.99,95.86,-1.20%
07.11.2025,99.18,99.18,99.99,99.18,2.76%
06.11.2025,96.52,96.52,97.51,96.52,2.65%
05.11.2025,94.02,94.02,95.02,94.02,0.53%
04.11.2025,93.53,93.53,94.35,93.53,1.45%
03.11.2025,92.19,92.19,92.19,91.69,0.18%
31.10.2025,92.03,92.03,92.36,92.03,-0.71%
30.10.2025,92.69,92.69,92.86,92.69,2.76%
29.10.2025,90.2,90.2,92.19,90.2,0.19%
28.10.2025,90.03,90.03,90.03,89.87,0.93%
27.10.2025,89.2,89.2,89.2,88.7,-4.79%
24.10.2025,93.68,93.68,93.68,92.53,-1.14%
