Date,Close,Open,High,Low,Vol.,Change %
03/20/2026,32.14,31.66,32.32,31.66,17.88M,1.93%
03/19/2026,31.53,31.73,31.85,31.39,16.94M,0.29%
03/18/2026,31.44,31.1,31.45,31.01,9.71M,1.48%
03/17/2026,30.98,31.01,31.07,30.86,6.74M,-0.55%
03/16/2026,31.15,31.16,31.21,30.96,9.42M,-1.08%
03/13/2026,31.49,31.17,31.55,30.98,12.73M,0.64%
03/12/26,31.29,31.01,31.3,30.94,11.78M,1.76%
03/11/26,30.75,30.69,30.88,30.52,11.07M,0.00%
03/10/26,30.75,30.74,30.86,30.47,13.53M,0.03%
03/09/26,30.74,31.45,31.59,30.66,17.12M,-1.28%
03/06/26,31.14,31.13,31.22,30.84,13.85M,1.50%
03/05/26,30.68,30.75,31,30.48,13.68M,0.33%
03/04/26,30.58,30.91,30.95,30.46,16.70M,-1.48%
03/03/26,31.04,31.32,31.53,30.92,14.65M,1.07%
03/02/26,30.71,31.17,31.22,30.61,11.23M,-0.13%
02/27/2026,30.75,30.96,31,30.69,12.51M,0.39%
02/26/2026,30.63,30.31,30.89,30.31,10.52M,1.22%
02/25/2026,30.26,30.54,30.54,30.25,7.54M,-1.40%
02/24/2026,30.69,30.99,31.11,30.64,7.91M,-1.10%
02/23/2026,31.03,30.76,31.14,30.69,9.05M,1.21%
02/20/2026,30.66,31.1,31.14,30.57,10.62M,-0.81%
02/19/2026,30.91,30.95,31.05,30.79,8.30M,0.42%
02/18/2026,30.78,30.98,31.05,30.58,9.98M,-0.77%
02/17/2026,31.02,31.17,31.42,30.88,10.47M,0.16%
02/13/2026,30.97,31.05,31.25,30.74,11.89M,-0.16%
02/12/26,31.02,30.31,31.07,30.27,16.50M,2.07%
02/11/26,30.39,30.24,30.67,30.18,9.65M,-0.26%
02/10/26,30.47,30.28,30.49,30.19,8.21M,0.49%
02/09/26,30.32,30.66,30.78,30.22,9.58M,-0.75%
02/06/26,30.55,31.04,31.11,30.46,12.36M,-2.05%
02/05/26,31.19,31.04,31.31,30.81,23.07M,1.40%
02/04/26,30.76,30.3,31,30.29,19.05M,1.79%
02/03/26,30.22,29.66,30.48,29.64,20.24M,1.58%
02/02/26,29.75,30.1,30.12,29.64,12.42M,-0.67%
01/30/2026,29.95,29.78,30.08,29.65,16.40M,1.22%
01/29/2026,29.59,29.43,30.1,29.39,17.46M,0.61%
01/28/2026,29.41,29.29,29.47,29.24,14.49M,-0.31%
01/27/2026,29.5,29.59,29.67,29.45,8.75M,-0.87%
01/26/2026,29.76,29.86,29.91,29.66,12.21M,-0.40%
01/23/2026,29.88,30.02,30.08,29.75,14.39M,-0.23%
01/22/2026,29.95,29.88,30.11,29.88,15.42M,-0.76%
01/21/2026,30.18,30.51,30.6,29.97,19.15M,-1.34%
01/20/2026,30.59,30.47,30.64,30.25,15.06M,2.10%
01/16/2026,29.96,29.75,30.06,29.72,10.78M,0.20%
01/15/2026,29.9,29.67,29.94,29.63,13.39M,-0.33%
01/14/2026,30,29.87,30.23,29.82,15.94M,1.08%
01/13/2026,29.68,29.63,29.8,29.53,14.12M,0.17%
01/12/26,29.63,29.86,29.86,29.55,10.63M,-0.03%
01/09/26,29.64,29.9,30.01,29.59,12.62M,-1.00%
01/08/26,29.94,29.81,30.06,29.8,16.85M,0.64%
01/07/26,29.75,29.8,29.83,29.57,12.18M,-0.07%
01/06/26,29.77,29.99,30.01,29.75,12.61M,-0.90%
01/05/26,30.04,29.98,30.09,29.9,10.69M,-0.76%
01/02/26,30.27,29.93,30.42,29.8,10.49M,0.23%
12/31/2025,30.2,29.94,30.2,29.93,9.24M,0.87%
12/30/2025,29.94,29.92,29.94,29.81,6.33M,0.27%
12/29/2025,29.86,29.9,29.97,29.78,8.27M,0.47%
12/26/2025,29.72,29.69,29.75,29.64,4.34M,0.03%
12/24/2025,29.71,29.78,29.81,29.68,3.56M,-1.52%
12/23/2025,30.17,30.37,30.38,30.16,5.86M,-0.49%
12/22/2025,30.32,30.2,30.38,30.19,10.56M,-0.39%
12/19/2025,30.44,30.71,30.71,30.42,10.61M,-1.26%
12/18/2025,30.83,30.81,30.95,30.64,13.01M,-1.44%
12/17/2025,31.28,30.66,31.29,30.62,12.09M,1.86%
12/16/2025,30.71,30.88,30.95,30.62,12.66M,-0.23%
12/15/2025,30.78,30.39,30.83,30.38,11.27M,0.56%
12/12/25,30.61,30.19,30.71,30.13,13.55M,1.97%
12/11/25,30.02,30.09,30.38,30,13.71M,0.37%
12/10/25,29.91,30.08,30.23,29.84,14.51M,-0.37%
12/09/25,30.02,30.13,30.19,29.99,9.56M,-0.13%
12/08/25,30.06,29.91,30.18,29.83,6.65M,0.23%
12/05/25,29.99,30.03,30.07,29.83,7.90M,-0.40%
12/04/25,30.11,30.01,30.26,30,7.00M,0.13%
12/03/25,30.07,30.26,30.33,30.03,6.08M,-0.20%
12/02/25,30.13,30.25,30.35,30.05,8.82M,-0.79%
12/01/25,30.37,30.53,30.59,30.25,6.57M,0.36%
11/28/2025,30.26,30.41,30.44,30.25,3.99M,-0.72%
11/26/2025,30.48,30.57,30.68,30.39,9.88M,-0.85%
11/25/2025,30.74,31.01,31.33,30.68,14.87M,-0.58%
11/24/2025,30.92,31.47,31.47,30.85,8.98M,-2.58%
11/21/2025,31.74,31.89,32.24,31.36,13.32M,-0.69%
11/20/2025,31.96,30.61,32.01,30.48,14.10M,2.37%
11/19/2025,31.22,31.36,31.49,30.88,11.38M,-0.54%
11/18/2025,31.39,31.23,31.65,31.09,13.47M,1.19%
11/17/2025,31.02,30.89,31.21,30.56,10.17M,0.88%
11/14/2025,30.75,31.23,31.34,30.52,13.86M,0.00%
11/13/2025,30.75,30.31,30.86,30.28,8.25M,2.09%
11/12/25,30.12,29.94,30.28,29.94,8.96M,0.03%
11/11/25,30.11,30.15,30.29,30.05,8.67M,0.27%
11/10/25,30.03,30.23,30.33,29.96,10.47M,-2.12%
11/07/25,30.68,30.77,31.24,30.68,16.49M,0.36%
11/06/25,30.57,30.08,30.64,30.07,10.60M,1.90%
11/05/25,30,30.24,30.3,29.84,7.38M,-0.66%
11/04/25,30.2,30.02,30.24,29.84,12.27M,2.06%
11/03/25,29.59,29.44,29.7,29.41,8.77M,-0.44%
10/31/2025,29.72,29.49,29.84,29.48,8.83M,-0.47%
10/30/2025,29.86,29.57,29.86,29.51,7.73M,1.60%
10/29/2025,29.39,29.4,29.65,29.34,8.28M,-0.44%
10/28/2025,29.52,29.65,29.69,29.44,7.12M,-0.74%
10/27/2025,29.74,29.92,29.94,29.72,5.85M,-1.78%
10/24/2025,30.28,30.33,30.38,30.21,7.90M,-0.98%
10/23/2025,30.58,30.86,30.89,30.55,6.73M,-0.88%
