"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"05.03.2026","82.66","82.68","82.71","82.66","4.43M","-0.11%"
"04.03.2026","82.75","82.79","82.80","82.73","5.03M","-0.06%"
"03.03.2026","82.80","82.72","82.82","82.71","5.82M","-0.01%"
"02.03.2026","82.81","82.88","82.89","82.79","7.07M","-0.44%"
"27.02.2026","83.18","83.16","83.20","83.15","5.66M","0.13%"
"26.02.2026","83.07","83.03","83.09","83.03","7.86M","0.04%"
"25.02.2026","83.04","83.03","83.04","83.01","4.50M","-0.02%"
"24.02.2026","83.06","83.05","83.07","83.03","5.23M","0.00%"
"23.02.2026","83.06","83.02","83.08","83.00","2.81M","0.08%"
"20.02.2026","82.99","83.01","83.02","82.97","3.45M","0.01%"
"19.02.2026","82.98","82.97","83.01","82.97","2.65M","0.00%"
"18.02.2026","82.98","82.98","83.00","82.98","2.15M","-0.06%"
"17.02.2026","83.03","83.04","83.05","83.01","3.29M","-0.04%"
"13.02.2026","83.06","83.04","83.07","83.03","3.56M","0.16%"
"12.02.2026","82.93","82.88","82.95","82.87","3.38M","0.10%"
"11.02.2026","82.85","82.85","82.89","82.83","3.51M","-0.10%"
"10.02.2026","82.93","82.93","82.95","82.92","4.74M","0.06%"
"09.02.2026","82.88","82.88","82.89","82.87","6.93M","0.02%"
"06.02.2026","82.86","82.89","82.89","82.83","7.41M","0.00%"
"05.02.2026","82.86","82.82","82.88","82.79","6.01M","0.16%"
"04.02.2026","82.73","82.69","82.74","82.69","3.95M","0.05%"
"03.02.2026","82.69","82.68","82.71","82.67","4.45M","-0.01%"
"02.02.2026","82.70","82.74","82.75","82.69","4.08M","-0.35%"
"30.01.2026","82.99","82.96","83.01","82.96","4.27M","0.08%"
"29.01.2026","82.92","82.90","82.95","82.90","4.14M","0.04%"
"28.01.2026","82.89","82.90","82.91","82.87","4.16M","0.00%"
"27.01.2026","82.89","82.87","82.91","82.87","4.34M","0.02%"
"26.01.2026","82.87","82.87","82.88","82.85","3.09M","0.04%"
"23.01.2026","82.84","82.83","82.85","82.82","2.51M","0.04%"
"22.01.2026","82.81","82.81","82.82","82.79","4.88M","-0.04%"
"21.01.2026","82.84","82.83","82.84","82.81","14.15M","0.05%"
"20.01.2026","82.80","82.81","82.82","82.80","5.76M","0.01%"
"16.01.2026","82.79","82.84","82.84","82.78","4.54M","-0.02%"
"15.01.2026","82.81","82.86","82.86","82.81","3.31M","-0.07%"
"14.01.2026","82.87","82.88","82.90","82.86","3.02M","0.02%"
"13.01.2026","82.85","82.86","82.87","82.84","4.66M","0.02%"
"12.01.2026","82.83","82.82","82.84","82.81","2.24M","0.00%"
"09.01.2026","82.83","82.87","82.87","82.81","3.41M","-0.04%"
"08.01.2026","82.86","82.87","82.88","82.86","2.47M","-0.04%"
"07.01.2026","82.89","82.91","82.93","82.88","4.30M","-0.01%"
"06.01.2026","82.90","82.88","82.90","82.85","4.37M","0.01%"
"05.01.2026","82.89","82.88","82.90","82.87","3.06M","0.04%"
"02.01.2026","82.86","82.87","82.87","82.84","3.04M","0.05%"
"31.12.2025","82.82","82.84","82.87","82.82","3.75M","-0.04%"
"30.12.2025","82.85","82.83","82.86","82.83","3.64M","0.02%"
"29.12.2025","82.83","82.83","82.85","82.82","3.43M","0.05%"
"26.12.2025","82.79","82.80","82.81","82.78","2.03M","0.07%"
