Fecha,BONOMX10,BONOUSA10,Close
02/01/18 0:00,7.55,2.461,5.089
03/01/18 0:00,7.5,2.445,5.055
04/01/18 0:00,7.44,2.453,4.987
05/01/18 0:00,7.45,2.476,4.974
08/01/18 0:00,7.43,2.48,4.95
09/01/18 0:00,7.48,2.551,4.929
10/01/18 0:00,7.58,2.559,5.021
11/01/18 0:00,7.58,2.537,5.043
12/01/18 0:00,7.56,2.55,5.01
15/01/18 0:00,7.53,2.552,4.978
16/01/18 0:00,7.548,2.539,5.009
17/01/18 0:00,7.556,2.587,4.969
18/01/18 0:00,7.55,2.624,4.926
19/01/18 0:00,7.56,2.661,4.899
22/01/18 0:00,7.567,2.656,4.911
23/01/18 0:00,7.49,2.617,4.873
24/01/18 0:00,7.48,2.648,4.832
25/01/18 0:00,7.5,2.624,4.876
26/01/18 0:00,7.521,2.66,4.861
29/01/18 0:00,7.5,2.699,4.801
30/01/18 0:00,7.64,2.724,4.916
31/01/18 0:00,7.59,2.713,4.877
01/02/18 0:00,7.55,2.782,4.768
02/02/18 0:00,7.57,2.841,4.729
06/02/18 0:00,7.6,2.805,4.795
07/02/18 0:00,7.57,2.834,4.736
08/02/18 0:00,7.64,2.828,4.812
09/02/18 0:00,7.68,2.857,4.823
12/02/18 0:00,7.74,2.859,4.881
13/02/18 0:00,7.75,2.833,4.917
14/02/18 0:00,7.79,2.913,4.877
15/02/18 0:00,7.71,2.906,4.804
16/02/18 0:00,7.67,2.873,4.797
19/02/18 0:00,7.69,2.889,4.801
20/02/18 0:00,7.72,2.891,4.829
21/02/18 0:00,7.69,2.952,4.738
22/02/18 0:00,7.61,2.919,4.691
23/02/18 0:00,7.61,2.866,4.744
26/02/18 0:00,7.63,2.864,4.766
27/02/18 0:00,7.64,2.901,4.739
28/02/18 0:00,7.62,2.864,4.756
01/03/18 0:00,7.59,2.811,4.779
02/03/18 0:00,7.58,2.868,4.712
05/03/18 0:00,7.61,2.883,4.727
06/03/18 0:00,7.56,2.886,4.674
07/03/18 0:00,7.55,2.881,4.669
08/03/18 0:00,7.55,2.857,4.693
09/03/18 0:00,7.52,2.896,4.624
12/03/18 0:00,7.53,2.866,4.664
13/03/18 0:00,7.54,2.844,4.696
14/03/18 0:00,7.56,2.819,4.741
15/03/18 0:00,7.56,2.826,4.734
16/03/18 0:00,7.419,2.845,4.574
20/03/18 0:00,7.55,2.9,4.65
21/03/18 0:00,7.54,2.881,4.659
22/03/18 0:00,7.49,2.823,4.667
23/03/18 0:00,7.47,2.813,4.657
26/03/18 0:00,7.41,2.852,4.558
27/03/18 0:00,7.35,2.775,4.575
28/03/18 0:00,7.29,2.783,4.507
29/03/18 0:00,7.34,2.741,4.599
02/04/18 0:00,7.37,2.733,4.637
03/04/18 0:00,7.31,2.781,4.529
04/04/18 0:00,7.25,2.808,4.442
05/04/18 0:00,7.29,2.834,4.456
06/04/18 0:00,7.25,2.775,4.475
09/04/18 0:00,7.26,2.781,4.479
10/04/18 0:00,7.31,2.801,4.509
11/04/18 0:00,7.33,2.779,4.551
12/04/18 0:00,7.3,2.843,4.457
13/04/18 0:00,7.33,2.825,4.505
16/04/18 0:00,7.4,2.829,4.571
17/04/18 0:00,7.36,2.83,4.53
18/04/18 0:00,7.35,2.875,4.475
19/04/18 0:00,7.44,2.914,4.526
20/04/18 0:00,7.47,2.96,4.51
23/04/18 0:00,7.57,2.977,4.593
24/04/18 0:00,7.545,3,4.545
25/04/18 0:00,7.52,3.032,4.488
26/04/18 0:00,7.53,2.983,4.547
27/04/18 0:00,7.44,2.959,4.481
30/04/18 0:00,7.46,2.955,4.505
01/05/18 0:00,7.5,2.968,4.532
02/05/18 0:00,7.5,2.976,4.524
03/05/18 0:00,7.52,2.948,4.572
04/05/18 0:00,7.56,2.951,4.609
07/05/18 0:00,7.64,2.952,4.688
08/05/18 0:00,7.71,2.972,4.738
09/05/18 0:00,7.69,3.006,4.684
10/05/18 0:00,7.57,2.964,4.606
11/05/18 0:00,7.59,2.97,4.62
14/05/18 0:00,7.67,3.002,4.668
15/05/18 0:00,7.77,3.072,4.698
16/05/18 0:00,7.74,3.104,4.636
17/05/18 0:00,7.74,3.115,4.625
18/05/18 0:00,7.76,3.06,4.7
21/05/18 0:00,7.71,3.058,4.652
22/05/18 0:00,7.71,3.063,4.647
23/05/18 0:00,7.64,2.993,4.647
24/05/18 0:00,7.66,2.977,4.683
25/05/18 0:00,7.62,2.931,4.689
28/05/18 0:00,7.63,2.898,4.732
29/05/18 0:00,7.66,2.79,4.87
30/05/18 0:00,7.73,2.857,4.873
31/05/18 0:00,7.78,2.86,4.92
01/06/18 0:00,7.82,2.902,4.918
04/06/18 0:00,7.829,2.944,4.885
05/06/18 0:00,7.82,2.926,4.894
06/06/18 0:00,7.75,2.974,4.776
07/06/18 0:00,7.84,2.922,4.918
08/06/18 0:00,7.82,2.948,4.872
11/06/18 0:00,7.86,2.952,4.908
12/06/18 0:00,7.93,2.964,4.966
13/06/18 0:00,7.9,2.974,4.926
14/06/18 0:00,7.93,2.935,4.995
15/06/18 0:00,7.99,2.922,5.068
18/06/18 0:00,7.9,2.917,4.983
19/06/18 0:00,7.9,2.897,5.003
20/06/18 0:00,7.79,2.937,4.853
21/06/18 0:00,7.77,2.899,4.871
22/06/18 0:00,7.72,2.895,4.825
25/06/18 0:00,7.72,2.882,4.838
26/06/18 0:00,7.64,2.877,4.763
27/06/18 0:00,7.66,2.827,4.833
28/06/18 0:00,7.58,2.84,4.74
29/06/18 0:00,7.58,2.86,4.72
02/07/18 0:00,7.65,2.871,4.779
03/07/18 0:00,7.56,2.833,4.727
04/07/18 0:00,7.61,2.842,4.768
05/07/18 0:00,7.58,2.833,4.747
06/07/18 0:00,7.68,2.824,4.856
09/07/18 0:00,7.71,2.858,4.852
10/07/18 0:00,7.67,2.867,4.803
11/07/18 0:00,7.69,2.84,4.85
12/07/18 0:00,7.68,2.849,4.831
13/07/18 0:00,7.74,2.829,4.911
16/07/18 0:00,7.7,2.856,4.844
17/07/18 0:00,7.69,2.86,4.83
18/07/18 0:00,7.64,2.875,4.765
19/07/18 0:00,7.7,2.838,4.862
20/07/18 0:00,7.66,2.895,4.765
23/07/18 0:00,7.67,2.96,4.71
24/07/18 0:00,7.73,2.95,4.78
25/07/18 0:00,7.7,2.973,4.727
26/07/18 0:00,7.71,2.982,4.728
27/07/18 0:00,7.75,2.958,4.792
30/07/18 0:00,7.71,2.975,4.735
31/07/18 0:00,7.74,2.962,4.778
01/08/18 0:00,7.76,3.004,4.756
02/08/18 0:00,7.71,2.986,4.724
03/08/18 0:00,7.69,2.951,4.739
06/08/18 0:00,7.69,2.945,4.745
07/08/18 0:00,7.68,2.977,4.703
08/08/18 0:00,7.64,2.964,4.676
09/08/18 0:00,7.67,2.929,4.741
10/08/18 0:00,7.73,2.873,4.857
13/08/18 0:00,7.78,2.877,4.903
14/08/18 0:00,7.81,2.9,4.91
15/08/18 0:00,7.818,2.864,4.954
16/08/18 0:00,7.89,2.87,5.02
17/08/18 0:00,7.84,2.864,4.976
20/08/18 0:00,7.85,2.819,5.031
21/08/18 0:00,7.83,2.842,4.988
22/08/18 0:00,7.77,2.821,4.949
23/08/18 0:00,7.8,2.828,4.972
24/08/18 0:00,7.75,2.813,4.937
27/08/18 0:00,7.74,2.846,4.894
28/08/18 0:00,7.82,2.884,4.936
29/08/18 0:00,7.87,2.886,4.984
30/08/18 0:00,7.9,2.859,5.041
31/08/18 0:00,7.91,2.86,5.05
03/09/18 0:00,7.91,2.862,5.048
04/09/18 0:00,8.01,2.898,5.112
05/09/18 0:00,8.03,2.904,5.126
06/09/18 0:00,8,2.878,5.122
07/09/18 0:00,8.04,2.939,5.101
10/09/18 0:00,8.06,2.935,5.125
11/09/18 0:00,8.06,2.981,5.079
12/09/18 0:00,8.04,2.964,5.076
13/09/18 0:00,7.98,2.974,5.006
14/09/18 0:00,8.01,3,5.01
17/09/18 0:00,8.03,2.994,5.036
18/09/18 0:00,8.03,3.057,4.973
19/09/18 0:00,8.03,3.066,4.964
20/09/18 0:00,8.05,3.065,4.985
21/09/18 0:00,8.03,3.066,4.964
24/09/18 0:00,8,3.089,4.911
25/09/18 0:00,8.04,3.098,4.942
26/09/18 0:00,7.94,3.048,4.892
27/09/18 0:00,7.89,3.056,4.834
28/09/18 0:00,7.91,3.065,4.845
01/10/18 0:00,7.93,3.086,4.844
02/10/18 0:00,7.91,3.061,4.849
03/10/18 0:00,7.93,3.181,4.749
04/10/18 0:00,8.01,3.187,4.823
05/10/18 0:00,8.09,3.233,4.857
