Date,Close,Open,High,Low,Vol.,Change %
03/20/2026,35.91,35.16,35.99,35.12,1.02M,3.76%
03/19/2026,34.61,34.99,35.01,34.41,576.51K,-1.23%
03/18/2026,35.04,34.7,35.04,34.63,320.24K,1.30%
03/17/2026,34.59,34.66,34.71,34.54,326.83K,-0.60%
03/16/2026,34.8,34.8,34.98,34.69,406.01K,-1.50%
03/13/2026,35.33,35.03,35.39,34.85,419.78K,1.17%
03/12/26,34.92,35,35.13,34.76,320.26K,0.23%
03/11/26,34.84,34.36,34.87,34.31,486.26K,2.77%
03/10/26,33.9,33.53,33.94,33.45,504.67K,2.08%
03/09/26,33.21,33.96,33.99,33.16,338.00K,-1.66%
03/06/26,33.77,33.92,34.12,33.45,413.42K,0.63%
03/05/26,33.56,33.65,33.76,33.42,514.64K,0.87%
03/04/26,33.27,33.2,33.28,33.05,348.93K,0.51%
03/03/26,33.1,33.38,33.4,32.87,894.97K,0.52%
03/02/26,32.93,32.64,33.09,32.64,1.11M,2.05%
02/27/2026,32.27,32.32,32.43,32.22,636.74K,-1.16%
02/26/2026,32.65,32.76,32.77,32.58,297.76K,-0.91%
02/25/2026,32.95,32.99,33.02,32.75,193.68K,0.40%
02/24/2026,32.82,32.82,32.97,32.77,235.64K,-0.52%
02/23/2026,32.99,33.13,33.14,32.77,288.26K,-0.51%
02/20/2026,33.16,32.99,33.54,32.99,336.94K,0.39%
02/19/2026,33.03,33.21,33.22,32.96,283.73K,-0.36%
02/18/2026,33.15,32.97,33.15,32.87,272.78K,0.88%
02/17/2026,32.86,32.78,32.92,32.67,337.33K,-0.48%
02/13/2026,33.02,33,33.07,32.87,657.68K,-0.66%
02/12/26,33.24,33.96,33.96,33.22,407.88K,-2.75%
02/11/26,34.18,34.21,34.27,33.87,269.43K,1.06%
02/10/26,33.82,34.04,34.04,33.79,380.06K,-2.28%
02/09/26,34.61,34.83,34.99,34.56,231.60K,-0.03%
02/06/26,34.62,34.64,34.83,34.58,341.42K,0.00%
02/05/26,34.62,35,35.17,34.59,849.87K,-2.09%
02/04/26,35.36,35.27,35.41,35.17,186.58K,0.60%
02/03/26,35.15,35.41,35.44,35.14,247.74K,-0.40%
02/02/26,35.29,34.94,35.32,34.93,466.81K,0.51%
01/30/2026,35.11,34.94,35.11,34.78,358.66K,1.15%
01/29/2026,34.71,35.09,35.13,34.62,501.26K,-0.06%
01/28/2026,34.73,34.8,34.94,34.67,297.90K,0.40%
01/27/2026,34.59,34.32,34.64,34.22,327.02K,1.35%
01/26/2026,34.13,34.08,34.21,33.99,616.82K,-0.87%
01/23/2026,34.43,34.5,34.76,34.35,400.46K,-0.46%
01/22/2026,34.59,34.95,35.02,34.54,480.67K,-0.83%
01/21/2026,34.88,35.31,35.45,34.75,695.60K,-1.55%
01/20/2026,35.43,35.45,35.53,35.15,1.03M,2.64%
01/16/2026,34.52,34.26,34.58,34.12,285.21K,1.38%
01/15/2026,34.05,33.84,34.06,33.81,223.91K,0.06%
01/14/2026,34.03,34.39,34.39,33.98,276.87K,-1.28%
01/13/2026,34.47,34.36,34.66,34.36,211.27K,-0.26%
01/12/26,34.56,34.68,34.77,34.38,197.52K,0.76%
01/09/26,34.3,34.83,34.96,34.29,311.19K,-1.44%
01/08/26,34.8,34.79,34.86,34.63,156.84K,1.16%
01/07/26,34.4,34.38,34.66,34.27,324.67K,-1.26%
01/06/26,34.84,34.93,35.14,34.79,363.58K,0.40%
01/05/26,34.7,34.91,34.94,34.63,380.73K,-0.60%
01/02/26,34.91,34.64,34.93,34.02,436.14K,-0.09%
12/31/2025,34.94,34.46,34.94,34.31,286.84K,1.81%
12/30/2025,34.32,34.43,34.45,34.18,243.21K,0.44%
12/29/2025,34.17,34.25,34.35,34.14,121.14K,-0.61%
12/26/2025,34.38,34.1,34.49,34.06,229.78K,0.64%
12/24/2025,34.16,34.33,34.44,34.11,244.99K,-1.70%
12/23/2025,34.75,35.22,35.23,34.75,409.45K,-0.63%
12/22/2025,34.97,34.9,35.03,34.88,240.06K,0.34%
12/19/2025,34.85,34.76,34.89,34.63,283.14K,0.99%
12/18/2025,34.51,34.58,34.62,34.38,243.22K,-0.92%
12/17/2025,34.83,34.98,34.98,34.69,251.32K,0.40%
12/16/2025,34.69,35.3,35.32,34.69,298.74K,-1.34%
12/15/2025,35.16,34.9,35.16,34.75,369.92K,0.20%
12/12/25,35.09,35.16,35.31,35.08,351.14K,1.45%
12/11/25,34.59,34.12,34.59,33.99,289.32K,0.44%
12/10/25,34.44,34.62,34.74,34.18,507.82K,-0.69%
12/09/25,34.68,34.38,34.74,34.26,355.62K,-0.29%
12/08/25,34.78,34.47,34.97,34.47,570.34K,0.81%
