Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
05.03.2026,"115,25","115,38","115,58","115,16","3,84K","-0,42%"
04.03.2026,"115,73","115,92","116,06","115,58","9,16K","-0,20%"
03.03.2026,"115,97","116,13","116,19","115,41","20,18K","-0,04%"
02.03.2026,"116,02","117,06","117,14","115,86","18,24K","-0,70%"
27.02.2026,"116,83","116,44","116,97","116,41","41,95K","0,46%"
26.02.2026,"116,30","115,98","116,41","115,97","215,96K","0,24%"
25.02.2026,"116,02","116,16","116,19","115,92","816,89K","-0,12%"
24.02.2026,"116,16","116,17","116,25","116,03","1,75M","-0,05%"
23.02.2026,"116,22","115,66","116,31","115,56","2,29M","0,49%"
20.02.2026,"115,66","115,81","115,97","115,48","1,33M","-0,09%"
19.02.2026,"115,77","115,70","115,86","115,48","710,52K","0,03%"
18.02.2026,"115,73","115,92","116,03","115,66","698,57K","-0,22%"
17.02.2026,"115,98","116,03","116,34","115,89","806,23K","-0,08%"
16.02.2026,"116,08","116,08","116,25","115,92","141,07K","0,08%"
13.02.2026,"115,98","115,53","116,05","115,34","876,54K","0,41%"
12.02.2026,"115,52","114,81","115,58","114,77","749,40K","0,60%"
11.02.2026,"114,83","115,05","115,25","114,52","877,14K","-0,20%"
10.02.2026,"115,06","114,53","115,17","114,52","712,50K","0,41%"
09.02.2026,"114,59","114,39","114,61","114,13","568,28K","0,07%"
06.02.2026,"114,52","114,72","114,94","114,34","622,11K","0,04%"
05.02.2026,"114,47","113,86","114,73","113,81","905,17K","0,54%"
04.02.2026,"113,86","113,94","114,00","113,73","572,86K","-0,03%"
03.02.2026,"113,89","113,80","113,98","113,66","597,01K","0,03%"
02.02.2026,"113,86","114,16","114,45","113,80","638,33K","-0,26%"
30.01.2026,"114,16","114,22","114,25","113,84","1,06M","-0,12%"
29.01.2026,"114,30","114,16","114,36","113,89","815,40K","0,18%"
28.01.2026,"114,09","114,13","114,31","113,91","590,90K","-0,22%"
27.01.2026,"114,34","114,38","114,48","114,11","665,11K","-0,07%"
26.01.2026,"114,42","114,39","114,56","114,28","446,14K","0,21%"
23.01.2026,"114,19","114,14","114,31","113,97","551,15K","0,08%"
22.01.2026,"114,09","114,17","114,25","113,86","580,11K","0,00%"
21.01.2026,"114,09","113,70","114,16","113,64","746,22K","0,33%"
20.01.2026,"113,72","114,44","114,53","113,52","1,14M","-0,26%"
19.01.2026,"114,02","114,02","114,28","113,95","216,35K","-0,23%"
16.01.2026,"114,28","114,83","114,91","114,27","722,74K","-0,56%"
15.01.2026,"114,92","115,19","115,19","114,78","560,98K","-0,16%"
14.01.2026,"115,11","114,73","115,19","114,70","597,15K","0,26%"
13.01.2026,"114,81","114,73","115,00","114,53","601,52K","0,12%"
12.01.2026,"114,67","114,78","114,94","114,47","665,69K","-0,12%"
09.01.2026,"114,81","114,84","114,94","114,42","764,39K","0,10%"
08.01.2026,"114,70","115,00","115,17","114,67","533,24K","-0,35%"
07.01.2026,"115,11","114,77","115,23","114,77","602,64K","0,33%"
06.01.2026,"114,73","114,86","114,89","114,56","530,19K","-0,11%"
05.01.2026,"114,86","114,69","115,02","114,59","544,25K","0,18%"
02.01.2026,"114,66","114,78","115,02","114,58","357,45K","-0,31%"
31.12.2025,"115,02","115,25","115,42","114,73","452,05K","-0,16%"
30.12.2025,"115,20","115,33","115,42","115,08","326,72K","-0,09%"
29.12.2025,"115,31","115,20","115,42","115,06","307,59K","0,14%"
26.12.2025,"115,16","115,14","115,38","114,95","177,70K","-0,01%"
24.12.2025,"115,17","114,84","115,19","114,81","179,43K","0,30%"
23.12.2025,"114,83","114,84","115,09","114,52","344,89K","0,00%"
22.12.2025,"114,83","115,00","115,03","114,77","241,09K","-0,35%"
19.12.2025,"115,23","115,27","115,27","115,20","0,62K","-0,26%"
18.12.2025,"115,53","115,50","115,50","115,50","1,09K","0,26%"
17.12.2025,"115,23","115,02","115,02","114,95","0,27K","0,00%"
16.12.2025,"115,23","114,88","115,23","114,88","0,05K","0,24%"
15.12.2025,"114,95","115,03","115,20","114,95","2,14K","0,11%"
12.12.2025,"114,83","115,16","115,16","115,16","0,00K","-0,35%"
11.12.2025,"115,23","115,23","115,23","115,23",,"0,20%"
10.12.2025,"115,00","114,86","115,09","114,66","2,42K","0,12%"
09.12.2025,"114,86","114,97","115,27","114,94","0,80K","-0,12%"
08.12.2025,"115,00","115,33","115,36","114,84","6,62K","-0,26%"
05.12.2025,"115,30","115,73","115,73","115,36","2,35K","-0,24%"
04.12.2025,"115,58","115,89","115,89","115,63","0,91K","-0,39%"
03.12.2025,"116,03","115,81","116,08","115,81","8,77K","0,22%"
02.12.2025,"115,78","115,72","115,83","115,53","5,28K","0,08%"
01.12.2025,"115,69","116,31","116,31","115,67","9,78K","-0,59%"
28.11.2025,"116,38","116,58","116,64","116,25","11,34K","-0,12%"
27.11.2025,"116,52","116,52","116,64","116,42","2,57K","-0,06%"
26.11.2025,"116,59","116,56","116,64","116,17","182,04K","0,05%"
25.11.2025,"116,53","116,28","116,67","116,13","1,00M","0,28%"
24.11.2025,"116,20","115,92","116,30","115,88","1,85M","0,22%"
21.11.2025,"115,95","115,75","116,22","115,63","2,14M","0,32%"
20.11.2025,"115,58","115,25","115,78","114,88","1,33M","0,22%"
19.11.2025,"115,33","115,48","115,66","115,25","745,53K","-0,08%"
18.11.2025,"115,42","115,23","115,78","115,19","536,28K","0,08%"
17.11.2025,"115,33","115,14","115,47","115,09","424,98K","0,14%"
14.11.2025,"115,17","115,42","115,95","115,14","581,87K","-0,30%"
13.11.2025,"115,52","115,75","115,88","115,39","549,60K","-0,24%"
12.11.2025,"115,80","115,73","115,91","115,53","486,40K","0,04%"
11.11.2025,"115,75","115,30","115,80","115,28","175,79K","0,31%"
10.11.2025,"115,39","115,36","115,52","115,05","407,24K","-0,14%"
07.11.2025,"115,55","115,59","115,80","115,38","445,68K","0,00%"
06.11.2025,"115,55","114,94","115,69","114,92","536,74K","0,50%"
05.11.2025,"114,97","115,63","115,92","114,91","555,13K","-0,53%"
04.11.2025,"115,58","115,36","115,69","115,36","357,41K","0,14%"
03.11.2025,"115,42","115,56","115,67","115,28",,"-0,05%"
31.10.2025,"115,48","115,52","115,70","115,33","539,17K","-0,05%"
30.10.2025,"115,55","115,72","115,88","115,36","649,90K","-0,30%"
29.10.2025,"115,89","116,58","116,64","115,67","510,85K","-0,58%"
28.10.2025,"116,56","116,59","116,69","116,36","409,96K","0,09%"
27.10.2025,"116,45","116,16","116,58","116,02","404,12K","0,01%"
24.10.2025,"116,44","116,38","116,75","116,23","496,10K","-0,05%"
23.10.2025,"116,50","116,86","116,91","116,34","470,36K","-0,29%"
22.10.2025,"116,84","116,78","117,00","116,61","480,17K","0,07%"
21.10.2025,"116,77","116,59","116,91","116,50","429,93K","0,19%"
20.10.2025,"116,55","116,28","116,59","116,16","322,32K","0,19%"
17.10.2025,"116,33","116,66","117,02","116,23","565,64K","-0,27%"
16.10.2025,"116,64","116,09","116,72","115,94","701,79K","0,55%"
15.10.2025,"116,00","116,09","116,41","115,95","506,54K","-0,16%"
14.10.2025,"116,19","115,95","116,42","115,78","650,01K","0,24%"
13.10.2025,"115,91","115,89","115,97","115,66","4,60K","-0,01%"
10.10.2025,"115,92","115,11","116,11","115,11","567,26K","0,75%"
09.10.2025,"115,06","115,30","115,44","115,02","363,37K","-0,14%"
08.10.2025,"115,22","115,28","115,53","115,16","430,33K","-0,03%"
07.10.2025,"115,25","115,00","115,39","114,80","462,55K","0,27%"
06.10.2025,"114,94","115,25","115,25","114,89","402,09K","-0,35%"
