Date,Close,Open,High,Low,Vol.,Change %
"Mar 31, 2026",43.11,43.07,43.32,42.87,,-0.71%
"Mar 30, 2026",43.42,43.74,43.8,43.24,,-2.21%
"Mar 27, 2026",44.4,44.62,44.84,44.1,,0.54%
"Mar 26, 2026",44.16,43.78,44.22,43.54,,2.03%
"Mar 25, 2026",43.28,43.34,43.5,43.14,,-1.46%
"Mar 24, 2026",43.92,43.76,44.26,43.6,,1.34%
"Mar 23, 2026",43.34,43.76,43.96,43.12,,-1.30%
"Mar 20, 2026",43.91,43.04,43.94,42.96,,2.57%
"Mar 19, 2026",42.81,43.08,43.26,42.57,,0.52%
"Mar 18, 2026",42.59,41.97,42.59,41.95,,1.36%
"Mar 17, 2026",42.02,42.16,42.16,41.89,,-0.43%
"Mar 16, 2026",42.2,42.36,42.45,42.18,,-1.52%
"Mar 13, 2026",42.85,42.63,42.9,42.36,,0.28%
12/03/26,42.73,42.26,42.73,42.16,,1.54%
11/03/26,42.08,41.77,42.26,41.65,,1.74%
10/03/26,41.36,41.32,41.54,41.04,,0.00%
09/03/26,41.36,41.73,41.77,41.17,,0.07%
06/03/26,41.33,41.65,41.87,41.05,,-0.31%
05/03/26,41.46,41.33,41.48,41.23,,1.62%
04/03/26,40.8,40.77,40.88,40.63,,0.59%
03/03/26,40.56,40.94,41.17,40.4,,0.20%
02/03/26,40.48,39.98,40.67,39.96,,2.17%
27/02/26,39.62,39.79,39.94,39.56,,-1.37%
26/02/26,40.17,40.42,40.48,40.14,,-0.77%
25/02/26,40.48,40.56,40.58,40.35,,0.37%
24/02/26,40.33,40.42,40.46,40.27,,0.10%
23/02/26,40.29,40.75,40.75,40.18,,-1.40%
20/02/26,40.86,40.6,41.04,40.6,,0.27%
19/02/26,40.75,41.04,41.06,40.65,,-0.10%
18/02/26,40.79,40.64,40.88,40.6,,0.67%
17/02/26,40.52,40.31,40.6,40.25,,-0.10%
13/02/26,40.56,41,41.06,40.46,,-1.17%
12/02/26,41.04,41.58,41.69,41,,-1.63%
11/02/26,41.72,41.33,42.06,41.25,,0.60%
10/02/26,41.47,41.76,41.76,41.35,,-1.21%
09/02/26,41.98,42.38,42.38,41.96,,-0.19%
06/02/26,42.06,42.04,42.24,41.94,,-0.10%
05/02/26,42.1,42.52,42.56,42.04,,-1.52%
04/02/26,42.75,42.68,42.9,42.61,,0.02%
03/02/26,42.74,42.9,43,42.66,,-0.02%
02/02/26,42.75,42.36,42.81,42.31,,0.80%
30/01/26,42.41,42.47,42.61,42.36,,0.33%
29/01/26,42.27,42.47,42.71,42.23,,-0.56%
28/01/26,42.51,42.35,42.71,42.35,,0.66%
27/01/26,42.23,42.35,42.39,42.07,,0.24%
26/01/26,42.13,42.13,42.29,42.03,,-0.61%
23/01/26,42.39,42.37,42.63,42.33,,-0.24%
22/01/26,42.49,42.59,42.77,42.43,,-0.09%
21/01/26,42.53,42.81,43.01,42.49,,-0.98%
20/01/26,42.95,42.79,43.11,42.69,,1.51%
16/01/26,42.31,41.95,42.33,41.81,,1.71%
15/01/26,41.6,41.38,41.64,41.36,,0.48%
14/01/26,41.4,41.6,41.69,41.32,,-0.74%
13/01/26,41.71,41.93,41.95,41.56,,-0.38%
12/01/26,41.87,41.97,42.01,41.69,,0.38%
09/01/26,41.71,41.87,42.11,41.59,,-0.29%
08/01/26,41.83,41.67,41.87,41.61,,1.09%
07/01/26,41.38,41.32,41.61,41.24,,-0.98%
06/01/26,41.79,41.73,41.97,41.65,,0.34%
05/01/26,41.65,41.83,41.91,41.53,,-0.53%
02/01/26,41.87,41.61,41.97,41.59,,0.58%
31/12/25,41.63,41.26,41.73,41.26,,0.80%
30/12/25,41.3,41.41,41.41,41.16,,0.34%
29/12/25,41.16,41.16,41.3,41.08,,-0.48%
26/12/25,41.36,41.22,41.45,41.1,,0.00%
24/12/25,41.36,41.67,41.67,41.32,,-0.79%
23/12/25,41.69,41.51,42.02,41.51,,0.00%
22/12/25,41.69,41.67,41.75,41.55,,0.43%
19/12/25,41.51,41.47,41.57,41.3,,0.85%
18/12/25,41.16,41.25,41.37,41.08,,-0.84%
17/12/25,41.51,41.63,41.7,41.43,,0.05%
16/12/25,41.49,41.7,41.96,41.43,,-0.79%
15/12/25,41.82,41.7,41.86,41.51,,-0.29%
12/12/25,41.94,41.78,42,41.78,,1.28%
11/12/25,41.41,41.31,41.43,41.02,,-0.55%
10/12/25,41.64,42.02,42.04,41.47,,-0.53%
09/12/25,41.86,41.62,41.9,41.43,,0.34%
08/12/25,41.72,41.43,41.92,41.43,,0.80%
05/12/25,41.39,41.18,41.45,40.98,,0.75%
04/12/25,41.08,40.94,41.1,40.83,,1.26%
03/12/25,40.57,40.54,40.86,40.52,,-0.71%
02/12/25,40.86,41.1,41.14,40.81,,-0.24%
01/12/25,40.96,40.5,40.98,40.5,,1.97%
28/11/25,40.17,39.9,40.36,39.9,,0.48%
26/11/25,39.98,40,40.42,39.96,,-0.10%
25/11/25,40.02,40.13,40.27,39.88,,-0.89%
24/11/25,40.38,40.56,40.61,40.32,,-0.62%
21/11/25,40.63,40.71,40.86,40.54,,-1.05%
20/11/25,41.06,41.46,41.62,40.86,,-0.65%
19/11/25,41.33,41.1,41.35,40.98,,0.24%
18/11/25,41.23,41.06,41.39,40.85,,-0.24%
17/11/25,41.33,41.39,41.46,41.25,,-0.36%
14/11/25,41.48,40.67,41.48,40.65,,0.88%
13/11/25,41.12,41.04,41.17,40.88,,1.16%
12/11/25,40.65,40.75,40.91,40.56,,-1.33%
11/11/25,41.2,41.2,41.2,41.2,,0.24%
10/11/25,41.1,41.36,41.38,40.98,,0.42%
07/11/25,40.93,40.87,41.12,40.66,,0.00%
06/11/25,40.93,41.32,41.32,40.77,,-1.54%
05/11/25,41.57,40.97,41.61,40.93,,1.66%
04/11/25,40.89,40.97,41.01,40.79,,-0.41%
03/11/25,41.06,41.06,41.22,40.97,,0.12%
31/10/25,41.01,41.01,41.03,40.76,,0.20%
30/10/25,40.93,40.99,41.16,40.68,,0.86%
29/10/25,40.58,39.95,40.58,39.83,,1.88%
28/10/25,39.83,39.83,40.04,39.7,,-0.35%
27/10/25,39.97,40.2,40.33,39.95,,0.00%
24/10/25,39.97,40.12,40.16,39.64,,0.15%
23/10/25,39.91,39.89,40.05,39.78,,0.96%
22/10/25,39.53,39.51,39.78,39.47,,-0.25%
21/10/25,39.63,39.76,39.76,39.47,,-0.58%
20/10/25,39.86,40.05,40.05,39.86,,-0.52%
17/10/25,40.07,39.95,40.17,39.9,,0.78%
16/10/25,39.76,40.19,40.51,39.71,,-1.73%
15/10/25,40.46,40.24,40.47,40.01,,0.60%
14/10/25,40.22,40.19,40.51,40.15,,-0.72%
13/10/25,40.51,40.51,40.51,40.51,,0.00%
10/10/25,40.51,40.98,41.05,40.44,,-2.34%
09/10/25,41.48,41.33,41.52,41.27,,0.46%
08/10/25,41.29,41.04,41.36,40.96,,0.05%
07/10/25,41.27,41.64,41.71,41.13,,-0.84%
06/10/25,41.62,41.62,41.66,41.33,,1.04%
03/10/25,41.19,40.83,41.19,40.81,,0.76%
02/10/25,40.88,41.06,41.27,40.83,,-0.44%
01/10/25,41.06,41.08,41.29,40.89,,-1.01%
30/09/25,41.48,41.33,41.52,41.06,,0.17%
29/09/25,41.41,41.5,41.68,41.35,,-1.10%
26/09/25,41.87,41.64,41.97,41.52,,0.36%
25/09/25,41.72,41.54,42.01,41.5,,0.60%
24/09/25,41.47,41.29,41.52,41.27,,0.66%
23/09/25,41.2,41.35,41.49,41.1,,-0.56%
22/09/25,41.43,41.31,41.5,41.22,,0.10%
19/09/25,41.39,41.31,41.43,41.16,,0.85%
18/09/25,41.04,40.64,41.37,40.62,,0.69%
17/09/25,40.76,40.24,40.81,39.92,,1.24%
16/09/25,40.26,40.41,40.64,40.22,,-0.20%
15/09/25,40.34,40.59,40.59,40.3,,-0.66%
12/09/25,40.61,40.53,40.83,40.51,,1.25%
11/09/25,40.11,40.51,40.64,39.96,,-0.52%
10/09/25,40.32,40.88,40.91,40.26,,-1.03%
09/09/25,40.74,40.65,40.91,40.4,,0.69%
08/09/25,40.46,40.72,40.88,40.44,,-0.98%
05/09/25,40.86,41.38,41.38,40.63,,-2.16%
04/09/25,41.76,41.9,42.07,41.74,,-0.83%
03/09/25,42.11,42.69,42.83,42.03,,-1.54%
02/09/25,42.77,42.98,43.06,42.6,,1.18%
29/08/25,42.27,42.28,42.42,42.15,,0.48%
28/08/25,42.07,42.34,42.5,42.03,,-0.73%
27/08/25,42.38,42.73,42.91,42.36,,-0.47%
26/08/25,42.58,42.77,42.91,42.54,,-0.40%
25/08/25,42.75,42.81,42.95,42.67,,0.35%
22/08/25,42.6,43.16,43.2,42.42,,-1.62%
21/08/25,43.3,43.16,43.47,42.96,,0.79%
20/08/25,42.96,42.98,43.1,42.75,,-0.14%
19/08/25,43.02,43.24,43.26,42.98,,-0.90%
18/08/25,43.41,42.98,43.51,42.95,,0.30%
15/08/25,43.28,42.93,43.32,42.81,,0.82%
14/08/25,42.93,42.08,42.96,42.04,,1.30%
13/08/25,42.38,42.6,42.6,42.25,,-1.28%
12/08/25,42.93,42.93,43.18,42.46,,0.47%
11/08/25,42.73,42.69,42.85,42.58,,-0.28%
08/08/25,42.85,42.6,42.89,42.54,,0.97%
07/08/25,42.44,42.37,42.54,42.21,,0.57%
06/08/25,42.2,42.3,42.81,42.14,,0.57%
05/08/25,41.96,42.12,42.26,41.88,,-0.10%
04/08/25,42,42.24,42.36,41.98,,-0.47%
01/08/25,42.2,44.04,44.08,42.16,,-3.21%
31/07/25,43.6,43.44,43.6,43.26,,-0.37%
30/07/25,43.76,43.44,43.8,43.32,,1.06%
29/07/25,43.3,43.82,44.04,43.26,,-2.04%
28/07/25,44.2,44,44.2,43.92,,0.78%
25/07/25,43.86,44.16,44.3,43.82,,-0.50%
24/07/25,44.08,44.08,44.42,43.94,,0.46%
23/07/25,43.88,43.58,43.98,43.58,,1.20%
22/07/25,43.36,43.72,43.78,43.28,,-0.82%
21/07/25,43.72,43.68,43.84,43.52,,-1.35%
18/07/25,44.32,44.24,44.42,44.16,,-0.69%
17/07/25,44.63,44.77,44.93,44.29,,0.18%
16/07/25,44.55,44.75,44.89,44.37,,-0.76%
15/07/25,44.89,44.31,44.91,43.96,,1.40%
14/07/25,44.27,44.33,44.47,44.03,,0.09%
11/07/25,44.23,43.88,44.25,43.8,,1.77%
10/07/25,43.46,43.46,43.76,43.42,,0.09%
09/07/25,43.42,44.17,44.23,43.4,,-1.65%
08/07/25,44.15,44.15,44.35,44.13,,0.46%
07/07/25,43.95,43.64,43.99,43.5,,1.08%
03/07/25,43.48,42.57,43.64,42.55,,1.28%
02/07/25,42.93,42.69,43.08,42.63,,0.99%
01/07/25,42.51,42.07,42.77,42.05,,0.50%
30/06/25,42.3,42.53,42.77,42.3,,-1.24%
27/06/25,42.83,42.71,42.93,42.4,,0.71%
26/06/25,42.53,42.77,42.93,42.5,,-0.93%
25/06/25,42.93,43.08,43.38,42.93,,0.00%
