Date,Close,Open,High,Low,Change %
"Mar 20, 2026",3.909,3.834,3.936,3.796,3.01%
"Mar 19, 2026",3.795,3.801,3.96,3.759,1.38%
"Mar 18, 2026",3.743,3.682,3.79,3.655,1.96%
"Mar 17, 2026",3.671,3.68,3.695,3.655,-0.24%
"Mar 16, 2026",3.68,3.708,3.715,3.669,-1.45%
15/03/26,3.706,3.711,3.711,3.706,-0.74%
13/03/26,3.734,3.737,3.761,3.688,-0.74%
12/03/26,3.762,3.686,3.766,3.638,3.47%
11/03/26,3.636,3.59,3.657,3.571,1.88%
10/03/26,3.569,3.556,3.596,3.53,-0.64%
09/03/26,3.592,3.614,3.635,3.536,1.01%
06/03/26,3.556,3.578,3.631,3.519,-1.19%
05/03/26,3.599,3.549,3.599,3.547,1.58%
04/03/26,3.543,3.523,3.553,3.498,1.23%
03/03/26,3.5,3.473,3.599,3.469,0.37%
02/03/26,3.487,3.373,3.502,3.365,3.20%
27/02/26,3.379,3.42,3.426,3.375,-2.00%
26/02/26,3.448,3.465,3.479,3.432,-0.66%
25/02/26,3.471,3.451,3.481,3.448,0.29%
24/02/26,3.461,3.444,3.472,3.444,0.61%
23/02/26,3.44,3.535,3.535,3.436,-1.15%
20/02/26,3.48,3.464,3.499,3.449,0.29%
19/02/26,3.47,3.462,3.487,3.455,0.29%
18/02/26,3.46,3.439,3.468,3.432,0.67%
17/02/26,3.437,3.41,3.445,3.385,0.74%
16/02/26,3.412,3.412,3.412,3.412,0.05%
13/02/26,3.41,3.458,3.485,3.401,-1.62%
12/02/26,3.466,3.514,3.516,3.454,-1.31%
11/02/26,3.512,3.448,3.551,3.444,1.68%
10/02/26,3.454,3.485,3.487,3.444,-0.83%
09/02/26,3.483,3.506,3.522,3.477,-0.34%
06/02/26,3.495,3.434,3.512,3.426,0.34%
05/02/26,3.483,3.555,3.563,3.453,-2.14%
04/02/26,3.559,3.568,3.586,3.549,-0.36%
03/02/26,3.572,3.574,3.592,3.561,0.06%
02/02/26,3.57,3.522,3.576,3.5,1.22%
30/01/26,3.527,3.565,3.58,3.522,-0.68%
29/01/26,3.551,3.567,3.586,3.543,-0.84%
28/01/26,3.581,3.569,3.598,3.563,0.34%
27/01/26,3.569,3.614,3.614,3.565,-0.58%
26/01/26,3.59,3.596,3.607,3.582,-0.42%
23/01/26,3.605,3.61,3.619,3.596,-0.25%
22/01/26,3.614,3.586,3.623,3.584,0.47%
21/01/26,3.597,3.588,3.599,3.57,0.00%
20/01/26,3.597,3.595,3.612,3.572,0.13%
19/01/26,3.592,3.59,3.592,3.59,-0.19%
16/01/26,3.599,3.564,3.613,3.556,0.98%
15/01/26,3.564,3.516,3.57,3.512,1.42%
14/01/26,3.514,3.533,3.534,3.506,-0.40%
13/01/26,3.528,3.536,3.566,3.499,-0.54%
12/01/26,3.547,3.53,3.551,3.518,0.20%
09/01/26,3.54,3.49,3.543,3.488,1.49%
08/01/26,3.488,3.478,3.499,3.453,0.55%
07/01/26,3.469,3.465,3.48,3.447,-0.12%
06/01/26,3.473,3.459,3.488,3.453,0.52%
05/01/26,3.455,3.481,3.481,3.447,-0.63%
02/01/26,3.477,3.494,3.496,3.463,0.05%
