Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,53.42,53.94,53.98,53.33,9.24M,-0.30%
11.12.2025,53.58,53.32,53.96,53.32,10.12M,0.04%
10.12.2025,53.56,51.57,53.73,51.57,10.36M,3.86%
09.12.2025,51.57,51.3,52.0,51.3,9.19M,0.31%
08.12.2025,51.41,51.38,51.91,51.24,7.50M,0.29%
05.12.2025,51.26,51.17,51.78,51.12,7.69M,-0.21%
04.12.2025,51.37,50.95,51.51,50.9,7.92M,0.86%
03.12.2025,50.93,49.96,50.96,49.79,9.58M,2.52%
02.12.2025,49.68,49.63,49.98,49.17,10.79M,0.55%
01.12.2025,49.41,48.94,49.85,48.92,8.98M,0.73%
28.11.2025,49.05,48.91,49.26,48.84,3.28M,0.20%
26.11.2025,48.95,48.92,49.3,48.74,4.45M,0.08%
25.11.2025,48.91,48.05,49.19,47.98,10.15M,2.43%
24.11.2025,47.75,47.77,47.93,47.22,10.96M,-0.06%
21.11.2025,47.78,46.83,48.15,46.63,7.87M,2.77%
20.11.2025,46.49,47.2,47.76,46.43,8.17M,-0.66%
19.11.2025,46.8,45.88,46.84,45.8,8.90M,1.92%
18.11.2025,45.92,45.27,46.34,45.02,8.04M,0.99%
17.11.2025,45.47,46.9,46.99,45.27,7.83M,-3.46%
14.11.2025,47.1,47.19,47.38,46.67,6.12M,-0.44%
13.11.2025,47.31,47.73,48.01,47.07,6.29M,-1.21%
12.11.2025,47.89,47.77,48.51,47.7,5.66M,0.57%
11.11.2025,47.62,47.7,47.94,47.32,4.75M,0.08%
10.11.2025,47.58,47.41,47.81,47.11,5.69M,0.55%
07.11.2025,47.32,46.62,47.34,46.47,6.87M,1.00%
06.11.2025,46.85,46.79,47.18,46.49,7.17M,0.24%
05.11.2025,46.74,46.43,47.01,46.01,5.58M,0.67%
04.11.2025,46.43,46.45,46.99,46.15,7.20M,-0.41%
03.11.2025,46.62,46.55,46.81,45.98,10.46M,-0.13%
31.10.2025,46.68,46.43,46.87,46.08,9.64M,-0.34%
30.10.2025,46.84,46.65,47.71,46.61,7.19M,0.43%
29.10.2025,46.64,46.91,47.49,46.37,8.83M,-1.33%
28.10.2025,47.27,47.54,47.67,47.09,7.55M,-1.11%
27.10.2025,47.8,48.44,48.49,47.49,10.28M,-0.95%
24.10.2025,48.26,48.21,48.6,48.13,10.98M,0.92%
23.10.2025,47.82,47.66,47.88,47.09,12.07M,1.04%
22.10.2025,47.33,47.65,47.84,47.07,8.50M,-0.59%
21.10.2025,47.61,47.03,47.83,46.95,11.28M,1.08%
20.10.2025,47.1,45.97,47.19,45.91,9.44M,3.09%
17.10.2025,45.69,46.29,46.49,45.51,14.03M,0.09%
16.10.2025,45.65,47.24,47.78,45.39,21.62M,-1.72%
15.10.2025,46.45,47.36,47.42,46.17,11.33M,-1.36%
14.10.2025,47.09,45.99,47.36,45.92,8.84M,2.01%
13.10.2025,46.16,45.89,46.32,45.59,6.90M,1.94%
10.10.2025,45.28,47.34,47.4,45.22,12.47M,-3.86%
09.10.2025,47.1,47.18,47.4,46.76,7.01M,0.23%
08.10.2025,46.99,47.73,47.75,46.88,5.32M,-1.07%
07.10.2025,47.5,48.04,48.23,47.45,6.62M,-0.46%
06.10.2025,47.72,48.31,48.99,47.47,8.43M,-0.73%
03.10.2025,48.07,48.03,48.45,47.85,9.29M,0.33%
02.10.2025,47.91,47.86,48.12,47.61,8.47M,0.06%
01.10.2025,47.88,48.18,48.35,47.82,9.42M,-0.93%
30.09.2025,48.33,48.52,48.72,47.47,10.18M,-1.35%
29.09.2025,48.99,49.42,49.51,48.51,9.38M,-0.91%
26.09.2025,49.44,49.4,49.72,49.07,8.31M,0.84%
25.09.2025,49.03,49.04,49.33,48.81,7.20M,-0.31%
24.09.2025,49.18,49.28,49.63,48.92,6.62M,-0.34%
23.09.2025,49.35,49.46,50.22,49.1,9.97M,-0.28%
22.09.2025,49.49,49.94,50.07,49.24,7.67M,-1.83%
19.09.2025,50.41,50.44,50.52,50.03,20.60M,0.40%
18.09.2025,50.21,49.67,50.35,49.41,12.35M,1.21%
17.09.2025,49.61,48.6,50.17,48.57,12.83M,2.52%
16.09.2025,48.39,49.47,49.47,48.03,13.16M,-1.83%
15.09.2025,49.29,49.16,49.56,49.01,7.73M,0.33%
12.09.2025,49.13,49.35,49.38,48.8,8.10M,-0.39%
11.09.2025,49.32,49.3,49.54,49.04,8.64M,0.24%
10.09.2025,49.2,49.51,49.74,48.92,9.99M,-0.34%
09.09.2025,49.37,48.66,49.99,48.56,17.26M,1.48%
08.09.2025,48.65,48.84,48.84,48.03,8.54M,-0.31%
05.09.2025,48.8,49.35,49.49,48.36,8.04M,-0.75%
04.09.2025,49.17,48.76,49.2,48.42,5.56M,1.30%
03.09.2025,48.54,48.48,48.94,48.02,8.34M,0.04%
02.09.2025,48.52,48.34,48.54,47.95,7.05M,-0.63%
29.08.2025,48.83,48.72,49.06,48.58,12.07M,0.33%
28.08.2025,48.67,48.97,48.98,48.38,10.46M,-0.18%
27.08.2025,48.76,48.5,48.99,48.38,9.49M,0.39%
26.08.2025,48.57,47.94,48.62,47.94,9.28M,0.85%
25.08.2025,48.16,48.1,48.26,47.98,7.52M,-0.25%
22.08.2025,48.28,46.5,48.36,46.39,12.68M,4.57%
21.08.2025,46.17,46.22,46.38,45.86,4.98M,-0.52%
20.08.2025,46.41,46.3,46.53,45.96,7.72M,0.43%
19.08.2025,46.21,46.05,46.57,45.91,5.60M,0.22%
18.08.2025,46.11,45.81,46.15,45.72,5.89M,0.39%
15.08.2025,45.93,46.96,47.09,45.93,9.00M,-1.92%
14.08.2025,46.83,46.27,46.87,45.98,6.18M,0.47%
13.08.2025,46.61,45.81,46.69,45.62,10.44M,1.84%
12.08.2025,45.77,44.98,45.8,44.86,8.84M,2.72%
11.08.2025,44.56,44.83,45.07,44.34,7.20M,-0.67%
08.08.2025,44.86,44.5,44.94,44.15,6.07M,1.75%
07.08.2025,44.09,44.87,44.88,43.96,5.41M,-0.79%
06.08.2025,44.44,44.7,44.76,44.41,5.85M,-0.27%
05.08.2025,44.56,44.6,44.71,43.83,8.02M,0.32%
04.08.2025,44.42,44.07,44.49,43.99,6.52M,1.09%
01.08.2025,43.94,44.32,44.54,43.46,9.63M,-2.27%
31.07.2025,44.96,45.71,45.91,44.83,11.82M,-2.01%
30.07.2025,45.88,46.29,46.58,45.65,11.49M,-0.46%
29.07.2025,46.09,46.3,46.37,45.94,10.03M,0.00%
28.07.2025,46.09,46.25,46.36,45.84,6.60M,-0.50%
25.07.2025,46.32,46.13,46.36,45.51,8.08M,0.56%
24.07.2025,46.06,46.24,46.69,46.05,9.03M,-0.50%
23.07.2025,46.29,46.52,46.65,46.12,10.15M,0.28%
22.07.2025,46.16,45.82,46.6,45.81,10.51M,0.83%
21.07.2025,45.78,45.78,46.5,45.75,10.54M,0.20%
18.07.2025,45.69,45.42,45.92,45.08,15.54M,1.06%
17.07.2025,45.21,44.15,45.6,43.92,25.24M,-1.03%
16.07.2025,45.68,45.96,46.19,44.97,21.09M,-0.02%
15.07.2025,45.69,46.86,47.08,45.64,15.90M,-2.91%
14.07.2025,47.06,47.26,47.26,46.78,13.46M,-0.17%
11.07.2025,47.14,47.0,47.38,46.76,11.51M,-0.90%
10.07.2025,47.57,47.31,47.88,47.19,8.61M,0.57%
09.07.2025,47.3,47.98,48.11,47.13,9.18M,-0.76%
08.07.2025,47.66,47.79,47.92,47.49,13.52M,-0.25%
07.07.2025,47.78,48.11,48.39,47.46,14.35M,-0.31%
