Date,Close,Open,High,Low,Vol.,Change %
03/20/2026,27.68,27.66,27.75,27.66,4.22M,0.36%
03/19/2026,27.58,27.79,27.81,27.5,5.03M,-0.97%
03/18/2026,27.85,27.74,27.85,27.7,4.28M,0.61%
03/17/2026,27.68,27.67,27.7,27.64,3.60M,-0.18%
03/16/2026,27.73,27.74,27.78,27.68,7.29M,-0.57%
03/13/2026,27.89,27.77,27.91,27.75,4.23M,0.76%
03/12/26,27.68,27.63,27.71,27.61,2.32M,0.47%
03/11/26,27.55,27.52,27.57,27.47,3.20M,0.36%
03/10/26,27.45,27.36,27.48,27.34,3.28M,-0.04%
03/09/26,27.46,27.51,27.59,27.41,4.29M,-0.04%
03/06/26,27.47,27.57,27.59,27.43,3.32M,-0.04%
03/05/26,27.48,27.49,27.59,27.48,4.09M,0.26%
03/04/26,27.41,27.42,27.45,27.39,2.49M,-0.18%
03/03/26,27.46,27.54,27.65,27.45,3.24M,0.48%
03/02/26,27.33,27.32,27.4,27.27,3.35M,0.92%
02/27/2026,27.08,27.1,27.12,27.05,1.04M,-0.07%
02/26/2026,27.1,27.09,27.17,27.06,1.36M,0.07%
02/25/2026,27.08,27.14,27.14,27.05,1.03M,-0.11%
02/24/2026,27.11,27.13,27.15,27.08,817.35K,0.07%
02/23/2026,27.09,27.07,27.09,27.02,713.81K,0.00%
02/20/2026,27.09,27.14,27.16,27.04,1.28M,-0.11%
02/19/2026,27.12,27.16,27.17,27.09,937.77K,0.15%
02/18/2026,27.08,26.99,27.08,26.97,1.87M,0.63%
02/17/2026,26.91,26.95,27.01,26.89,1.05M,0.34%
02/13/2026,26.82,26.82,26.89,26.8,840.57K,0.00%
02/12/26,26.82,26.81,26.85,26.77,1.10M,-0.04%
02/11/26,26.83,26.82,26.86,26.76,1.45M,0.11%
02/10/26,26.8,26.73,26.81,26.73,1.04M,0.04%
02/09/26,26.79,26.81,26.84,26.77,1.35M,-0.81%
02/06/26,27.01,27.02,27.02,26.97,1.31M,-0.30%
02/05/26,27.09,27.01,27.09,27,1.84M,0.30%
02/04/26,27.01,26.97,27.02,26.95,1.12M,0.33%
02/03/26,26.92,26.98,26.99,26.9,1.16M,-0.26%
02/02/26,26.99,26.96,27.03,26.91,2.78M,0.52%
01/30/2026,26.85,26.73,26.85,26.7,2.76M,0.98%
01/29/2026,26.59,26.57,26.71,26.57,1.59M,-0.15%
01/28/2026,26.63,26.6,26.74,26.56,2.74M,0.60%
01/27/2026,26.47,26.66,26.67,26.4,1.78M,-1.16%
01/26/2026,26.78,26.81,26.82,26.72,1.39M,-0.48%
01/23/2026,26.91,27.13,27.14,26.91,686.35K,-0.88%
01/22/2026,27.15,27.21,27.22,27.12,826.82K,-0.44%
01/21/2026,27.27,27.18,27.3,27.17,1.01M,0.22%
01/20/2026,27.21,27.17,27.23,27.15,931.67K,-0.80%
01/16/2026,27.43,27.38,27.45,27.36,1.46M,0.00%
01/15/2026,27.43,27.41,27.44,27.39,700.11K,0.37%
01/14/2026,27.33,27.31,27.35,27.28,535.72K,-0.07%
01/13/2026,27.35,27.27,27.36,27.27,748.00K,0.26%
01/12/26,27.28,27.25,27.28,27.22,991.74K,-0.18%
01/09/26,27.33,27.3,27.35,27.3,806.92K,0.22%
01/08/26,27.27,27.25,27.28,27.22,591.00K,0.26%
