"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.04.2026","18.810","18.900","20.430","18.150","217.31M","3.07%"
"01.03.2026","18.250","18.900","19.380","17.375","311.88M","-7.59%"
"01.02.2026","19.750","21.230","22.330","19.000","207.25M","-7.93%"
"01.01.2026","21.450","19.950","21.740","19.610","165.99M","6.98%"
"01.12.2025","20.050","18.570","20.130","18.450","158.83M","8.00%"
"01.11.2025","18.565","17.565","19.085","17.100","170.26M","6.48%"
"01.10.2025","17.435","16.300","17.700","15.395","181.20M","6.70%"
"01.09.2025","16.340","15.565","16.535","15.280","153.54M","5.49%"
"01.08.2025","15.490","14.585","16.700","14.205","146.37M","5.81%"
"01.07.2025","14.640","13.030","14.790","12.515","171.46M","12.14%"
"01.06.2025","13.055","13.150","13.350","12.645","155.15M","-1.17%"
"01.05.2025","13.210","12.300","13.900","12.040","128.65M","9.54%"
"01.04.2025","12.060","12.615","12.850","10.110","107.19M","-3.87%"
"01.03.2025","12.545","12.775","13.590","12.115","94.71M","-2.18%"
"01.02.2025","12.825","10.560","12.995","10.480","55.87M","16.06%"
"01.01.2025","11.050","9.430","11.435","8.966","147.45M","16.91%"
"01.12.2024","9.452","8.850","9.834","8.830","111.62M","5.77%"
"01.11.2024","8.936","9.152","9.624","8.700","221.52M","-2.34%"
"01.10.2024","9.150","9.754","9.760","8.820","193.68M","-5.75%"
"01.09.2024","9.708","9.600","9.976","8.796","157.32M","1.23%"
"01.08.2024","9.590","9.555","9.630","8.470","10.43M","-1.17%"
"01.07.2024","9.704","9.528","10.240","9.266","168.56M","3.76%"
"01.06.2024","9.352","10.010","10.110","8.790","238.23M","-5.92%"
"01.05.2024","9.940","10.000","10.425","9.600","344.48M","-2.31%"
"01.04.2024","10.175","11.050","11.275","9.906","413.08M","-7.84%"
"01.03.2024","11.040","9.198","11.140","9.174","256.37M","20.18%"
"01.02.2024","9.186","8.650","9.518","8.622","245.05M","5.88%"
"01.01.2024","8.676","8.280","8.740","7.974","193.06M","5.47%"
"01.12.2023","8.226","8.572","8.718","8.128","182.73M","-3.29%"
"01.11.2023","8.506","7.478","8.726","7.426","291.66M","14.61%"
"01.10.2023","7.422","7.720","7.882","7.050","497.73M","-3.74%"
"01.09.2023","7.710","7.304","7.756","6.826","258.77M","6.11%"
"01.08.2023","7.266","7.210","7.500","6.690","225.06M","0.78%"
"01.07.2023","7.210","7.030","7.438","6.792","181.68M","2.53%"
"01.06.2023","7.032","6.216","7.128","6.182","257.56M","14.90%"
"01.05.2023","6.120","6.698","6.698","6.058","324.81M","-7.97%"
"01.04.2023","6.650","6.280","7.048","6.272","531.14M","1.20%"
"01.03.2023","6.571","7.412","7.555","5.735","803.98M","-10.88%"
"01.02.2023","7.373","6.500","7.450","6.482","314.13M","14.08%"
"01.01.2023","6.463","5.691","6.508","5.669","309.78M","14.71%"
"01.12.2022","5.634","5.640","5.720","5.301","254.74M","0.39%"
"01.11.2022","5.612","5.249","5.663","5.154","341.02M","7.74%"
"01.10.2022","5.209","4.568","5.290","4.506","546.30M","12.74%"
"01.09.2022","4.621","4.450","5.023","4.395","406.58M","2.87%"
"01.08.2022","4.491","4.417","4.947","4.356","317.98M","1.69%"
"01.07.2022","4.417","4.302","4.445","3.972","436.67M","2.00%"
"01.06.2022","4.331","5.110","5.139","4.128","467.42M","-14.74%"
"01.05.2022","5.079","4.972","5.160","4.505","454.84M","0.40%"
"01.04.2022","5.059","5.263","5.343","4.640","829.50M","-2.90%"
"01.03.2022","5.210","5.269","5.553","4.384","781.10M","-1.51%"
"01.02.2022","5.290","5.685","6.120","5.162","613.15M","-6.11%"
"01.01.2022","5.634","5.270","5.833","5.220","412.03M","7.31%"
"01.12.2021","5.250","4.756","5.287","4.719","474.24M","11.64%"
"01.11.2021","4.702","6.052","6.292","4.667","543.02M","-22.43%"
"01.10.2021","6.062","5.610","6.099","5.501","1.10B","6.03%"
"01.09.2021","5.717","5.624","5.859","5.248","649.26M","3.06%"
"01.08.2021","5.547","5.420","5.932","5.403","308.60M","2.51%"
"01.07.2021","5.411","5.290","5.492","4.853","305.75M","3.50%"
"01.06.2021","5.228","5.153","5.548","5.090","417.83M","1.79%"
"01.05.2021","5.136","4.653","5.200","4.630","359.03M","9.97%"
"01.04.2021","4.670","4.398","4.720","4.168","369.86M","6.93%"
"01.03.2021","4.368","4.607","4.832","4.169","453.27M","-3.85%"
"01.02.2021","4.542","3.795","4.745","3.687","449.95M","22.19%"
"01.01.2021","3.717","4.044","4.317","3.717","396.79M","-6.64%"
"01.12.2020","3.982","3.814","4.247","3.746","524.21M","2.67%"
"01.11.2020","3.878","2.467","3.914","2.390","863.49M","59.63%"
"01.10.2020","2.430","2.369","2.507","2.154","484.10M","3.79%"
