Fecha,Cierre,Open,High,Low,Vol.,Change %
01/05/26,140.2247,141.3145,141.6951,139.4038,,-0.20%
30/04/26,140.5091,140.4598,142.0027,139.1887,,0.24%
29/04/26,140.1682,138.2494,140.495,137.657,,1.57%
28/04/26,138.0005,137.28,138.1422,137.141,,0.58%
27/04/26,137.2069,137.0515,137.6812,136.5485,,0.80%
24/04/26,136.1164,136.6857,137.072,135.3947,,-0.22%
23/04/26,136.4148,135.3666,137.1187,134.9601,,0.66%
22/04/26,135.5246,134.052,135.9286,133.7109,,1.28%
21/04/26,133.8179,132.6567,134.3767,132.092,,0.64%
20/04/26,132.9697,132.8784,133.2969,132.1533,,1.13%
17/04/26,131.4824,134.042,134.2823,130.0599,,-2.16%
16/04/26,134.3897,133.5079,134.6904,133.4919,,0.73%
15/04/26,133.4178,133.1087,133.6575,132.7758,,0.35%
14/04/26,132.956,133.2882,134.0676,132.6225,,-0.59%
13/04/26,133.7467,134.3292,135.1906,133.4788,,1.22%
10/04/26,132.1396,132.4806,133.0863,131.9334,,-0.26%
09/04/26,132.4782,132.0675,133.7478,131.7751,,0.76%
08/04/26,131.4806,131.4592,132.2097,130.4002,,-4.61%
07/04/26,137.8322,138.5688,139.2394,137.2476,,-0.06%
06/04/26,137.9129,137.838,138.4782,136.5208,,0.50%
02/04/26,137.2282,136.1617,138.1251,135.847,,1.99%
01/04/26,134.5568,135.9283,136.0058,133.0763,,-0.51%
31/03/26,135.246,134.7178,136.6605,134.4239,,0.18%
30/03/26,135.0088,135.2122,136.156,134.85,,0.63%
27/03/26,134.1694,131.2081,134.3652,131.1139,,1.66%
26/03/26,131.9768,130.7236,132.4197,130.5137,,1.21%
25/03/26,130.4015,129.1,130.569,128.253,,-0.33%
24/03/26,130.827,129.8164,131.2406,129.2092,,1.59%
23/03/26,128.7833,133.6245,134.4513,127.8867,,-3.97%
20/03/26,134.1064,133.0077,134.8171,132.7032,,0.31%
19/03/26,133.6941,136.4487,136.6256,132.8112,,-0.58%
18/03/26,134.4676,133.0677,135.0681,131.9571,,0.55%
17/03/26,133.7265,133.9008,134.4695,132.954,,1.04%
16/03/26,132.349,134.6522,135.3822,132.1337,,-1.92%
13/03/26,134.9437,135.0977,135.4832,133.4818,,-0.10%
12/03/26,135.0787,134.3405,135.5972,133.4906,,2.36%
11/03/26,131.9602,129.551,132.2104,129.4022,,1.72%
10/03/26,129.7234,129.2185,131.6003,127.084,,-2.22%
09/03/26,132.6717,140.4559,142.5958,131.608,,0.90%
06/03/26,131.4871,126.5477,131.931,126.5111,,3.70%
05/03/26,126.7903,126.6292,127.0621,125.1271,,1.78%
04/03/26,124.5732,125.0914,126.777,124.1055,,-0.12%
03/03/26,124.7281,125.2039,127.0633,124.2659,,0.74%
02/03/26,123.8087,123.8565,126.2438,123.1202,,1.75%
27/02/26,121.6831,120.4726,122.1506,120.3933,,1.17%
26/02/26,120.2814,120.4792,120.8083,119.5568,,-0.40%
25/02/26,120.7677,120.6426,120.9294,120.073,,0.77%
24/02/26,119.8473,120.5137,120.5653,119.7144,,-0.15%
23/02/26,120.0324,120.33,120.9925,119.7955,,0.29%
20/02/26,119.6875,118.7136,120.1444,118.59,,0.97%
19/02/26,118.5346,117.9719,118.6448,117.8907,,0.62%
18/02/26,117.8035,115.7087,117.8713,115.7045,,2.05%
17/02/26,115.4338,116.6338,116.7693,115.1337,,-1.63%
13/02/26,117.3452,117.3102,117.4797,116.3477,,0.23%
12/02/26,117.0704,119.1043,119.2693,116.8098,,-1.50%
11/02/26,118.8503,118.4222,119.4564,118.214,,0.94%
10/02/26,117.7393,118.234,118.5599,117.577,,-0.60%
09/02/26,118.4447,117.5778,118.8093,117.3083,,0.41%
06/02/26,117.9562,117.0629,118.9048,116.9634,,0.23%
05/02/26,117.6883,116.8041,118.4831,116.3539,,-0.97%
04/02/26,118.8367,118.6654,119.1544,117.6199,,0.86%
03/02/26,117.8229,115.7384,118.4492,115.6533,,2.36%
02/02/26,115.1036,117.023,117.5396,114.2936,,-4.64%
30/01/26,120.7009,123.0628,123.4544,119.5655,,-3.12%
29/01/26,124.5939,124.7922,127.0412,122.3109,,1.39%
28/01/26,122.8889,122.741,123.3,122.0511,,1.25%
27/01/26,121.3719,120.3599,121.5456,119.8021,,-0.11%
26/01/26,121.5097,121.0414,121.8565,120.5389,,1.61%
23/01/26,119.5832,118.3147,119.7263,117.803,,1.58%
22/01/26,117.7258,117.4544,117.9919,116.933,,0.28%
21/01/26,117.3914,115.963,118.0214,115.9496,,1.16%
20/01/26,116.05,114.882,116.0637,114.8015,,2.16%
16/01/26,113.5932,113.5021,114.3101,113.0842,,-0.32%
15/01/26,113.954,114.0211,114.1752,113.0946,,-0.99%
14/01/26,115.0886,114.8939,115.4474,114.4203,,0.54%
13/01/26,114.4728,113.7507,114.9147,113.4045,,0.59%
12/01/26,113.8005,113.3312,114.3405,113.2796,,1.49%
09/01/26,112.1251,112.052,112.7809,111.7061,,0.68%
08/01/26,111.3679,111.7932,111.8566,110.8587,,-0.32%
07/01/26,111.7233,112.6352,112.7025,111.4408,,-0.86%
06/01/26,112.6877,112.0734,113.1597,111.9993,,0.81%
05/01/26,111.782,110.6606,111.8729,110.4669,,2.08%
02/01/26,109.5094,110.1278,110.6192,109.3191,,-0.16%
31/12/25,109.69,110.9298,111.1423,109.6691,,-2.04%
30/12/25,111.9754,111.1321,112.3771,111.0817,,1.50%
29/12/25,110.3259,112.9542,113.3594,110.2595,,-1.91%
26/12/25,112.4755,112.4059,112.8858,112.1919,,0.99%
24/12/25,111.3695,111.5062,111.9516,110.9509,,0.15%
23/12/25,111.2005,110.336,111.2419,110.0747,,1.27%
22/12/25,109.8052,109.5915,110.1972,109.4857,,0.92%
19/12/25,108.8037,107.9287,108.9254,107.8377,,0.64%
18/12/25,108.1114,108.7718,108.9332,108.1004,,-0.53%
17/12/25,108.6875,108.3208,108.9424,108.2258,,1.08%
16/12/25,107.5235,108.2199,108.2772,107.4162,,-1.06%
15/12/25,108.6732,109.5952,109.7215,108.2786,,-0.28%
12/12/25,108.982,110.2964,110.5067,108.6646,,-1.28%
11/12/25,110.3964,110.1862,110.4364,109.5668,,0.66%
10/12/25,109.6777,109.8918,109.8918,109.3884,,0.14%
09/12/25,109.5204,110.0001,110.3362,109.5007,,-0.65%
08/12/25,110.2408,111.4256,111.7003,110.188,,-1.58%
05/12/25,112.0057,111.274,112.8304,111.1859,,0.79%
04/12/25,111.1287,110.8162,111.2122,110.1964,,0.37%
03/12/25,110.7161,110.6236,111.2835,110.5194,,0.38%
02/12/25,110.3014,110.5959,110.9339,110.2588,,-0.69%
01/12/25,111.0692,110.9046,111.1472,110.4733,,0.59%
28/11/25,110.4126,109.1891,110.5422,109.1419,,1.68%
26/11/25,108.5891,107.6759,108.73,107.6286,,1.19%
25/11/25,107.3115,108.0261,108.1399,106.5121,,-0.18%
24/11/25,107.5094,106.9609,107.6013,106.7125,,-0.01%
21/11/25,107.5232,107.2987,107.643,106.4374,,-0.22%
20/11/25,107.7607,108.7436,109.0181,107.6925,,-0.86%
19/11/25,108.6906,109.2468,109.6422,108.4705,,-0.38%
18/11/25,109.1091,108.1518,109.1838,107.862,,0.21%
17/11/25,108.8797,108.625,109.1836,108.349,,-0.20%
14/11/25,109.0984,110.4794,110.5209,108.5042,,-1.00%
13/11/25,110.1986,109.9893,110.5276,109.9882,,0.06%
12/11/25,110.1376,110.1511,110.2516,109.595,,0.10%
11/11/25,110.0278,109.2655,110.0887,108.9772,,0.82%
10/11/25,109.1375,108.2581,109.1617,108.1151,,1.71%
07/11/25,107.3064,107.3897,107.7987,107.1667,,0.26%
06/11/25,107.0289,107.417,108.124,106.5729,,-0.44%
05/11/25,107.5007,107.2006,107.9637,107.1964,,0.01%
04/11/25,107.4918,107.9155,108.0581,106.9887,,-0.73%
03/11/25,108.2827,107.6649,108.359,107.2627,,0.91%
31/10/25,107.3022,107.135,107.3242,106.7923,,0.45%
30/10/25,106.8183,106.2232,106.8787,105.784,,0.13%
29/10/25,106.6767,106.0675,107.0428,105.7203,,0.50%
28/10/25,106.1451,106.7373,106.7634,105.3636,,-0.54%
27/10/25,106.7205,107.6313,107.8419,106.4968,,-0.61%
24/10/25,107.3785,107.37,107.6567,107.0792,,-0.41%
23/10/25,107.8251,106.4401,108.1593,106.4261,,1.80%
22/10/25,105.9166,105.8217,106.6221,105.6298,,0.10%
21/10/25,105.81,107.4669,107.5248,105.3421,,-1.63%
20/10/25,107.561,106.273,107.5727,105.9973,,1.84%
17/10/25,105.6158,106.0701,106.5838,105.3134,,-0.63%
16/10/25,106.2822,106.0935,106.8006,105.7326,,0.65%
15/10/25,105.5934,105.7181,106.0382,105.4436,,0.14%
14/10/25,105.4431,105.9717,106.2864,104.5818,,-0.33%
13/10/25,105.797,105.3038,105.9217,105.0477,,1.64%
10/10/25,104.0889,105.7526,105.8465,103.9849,,-1.52%
09/10/25,105.6945,106.4882,107.5448,105.6156,,-1.17%
08/10/25,106.9415,106.624,107.3425,106.5742,,0.50%
07/10/25,106.4112,106.0083,106.5729,105.8517,,0.39%
06/10/25,105.997,106.0565,106.3029,105.7519,,0.61%
03/10/25,105.3546,104.9706,105.6914,104.8717,,0.48%
02/10/25,104.8516,105.2986,105.5883,104.6199,,-0.47%
01/10/25,105.3474,104.8966,105.4836,104.5663,,0.69%
30/09/25,104.6288,105.0233,105.1152,104.328,,-0.37%
29/09/25,105.0223,104.8117,105.3349,104.7208,,-0.08%
26/09/25,105.104,104.5841,105.1613,104.39,,0.62%
25/09/25,104.46,104.0385,104.7269,103.9975,,0.42%
24/09/25,104.0225,103.5113,104.321,103.4015,,0.30%
23/09/25,103.7149,102.8508,103.7792,102.6588,,0.71%
22/09/25,102.9793,103.32,103.6494,102.6605,,0.00%
19/09/25,102.9745,103.4361,103.617,102.9091,,-0.37%
18/09/25,103.3603,103.8353,104.1224,103.269,,-0.83%
17/09/25,104.229,105.1712,105.1744,104.1866,,-1.06%
16/09/25,105.3474,104.7424,105.4689,104.5608,,0.63%
15/09/25,104.6868,103.7389,104.7011,103.6201,,0.86%
12/09/25,103.7894,103.0774,104.0605,103.0291,,0.66%
11/09/25,103.1039,103.2549,103.3182,102.7009,,-0.15%
10/09/25,103.2618,102.9927,103.3818,102.9705,,0.21%
09/09/25,103.0468,103.2256,103.6621,102.921,,-0.09%
08/09/25,103.136,102.733,103.2929,102.6204,,0.69%
05/09/25,102.4252,102.8024,103.0703,102.3457,,-0.39%
04/09/25,102.829,103.0281,103.0537,102.3994,,-0.58%
03/09/25,103.4291,103.7072,103.8117,103.2887,,-0.21%
02/09/25,103.6499,103.3382,103.6697,102.5125,,0.84%
29/08/25,102.7876,101.979,102.8079,101.8093,,0.81%
